"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'ESTIMATED REVENUES","'","'","'",
"'40000 LOCAL TAXES","'","'","'",
"'40100 County Property Taxes","'","'","'",
"'40110 Current Property Taxes","'8,628,268","'8,420,387","'8,885,785",
"'40120 Trustees Collection Prior Year","'179,295","'195,000","'179,000",
"'40125 Trustees Collection-Bankruptcy","'4,031","'4,000","'2,000",
"'40130 Clerk & Master Prior Years","'119,579","'116,000","'116,000",
"'40140 Interest and Penalty","'38,720","'40,000","'40,000",
"'40161 Payments in Lieu of Taxes TVA","'8,321","'9,000","'9,000",
"'40162 Payments in Lieu of Taxes-Loc Utilities","'50,485","'31,000","'31,000",
"'40163 Payments in Lieu of Taxes-Other","'21,860","'19,675","'15,000",
"'Total County Property Taxes","'9,050,559","'8,835,062","'9,277,785",
"'40200 County Local Option Taxes","'","'","'",
"'40220 Hotel/Motel Tax","'33,984","'32,000","'50,000",
"'40250 Litigation Tax General","'84,475","'70,000","'84,000",
"'40260 Litigation Tax-Special Purpose","'11,157","'10,000","'11,000",
"'40266 Litigation Tax-Jail, Workhouse, Courthouse","'76,324","'65,000","'75,000",
"'40267 Litigation Tax-Victim Offender","'5,010","'3,000","'5,000",
"'40270 Business Tax","'121,599","'92,000","'115,000",
"'40275 Mixed Drink Tax","'542","'300","'1,000",
"'Total County Local Option Taxes","'333,091","'272,300","'341,000",
"'40300 Statutory Local Taxes","'","'","'",
"'40320 Bank Excise Tax","'44,529","'30,000","'4,000",
"'40330 Wholesale Beer Tax","'227,143","'230,000","'230,000",
"'40390 Other Statutory Local Taxes","'4,380","'4,400","'4,400",
"'Total Local Option Taxes","'276,052","'264,400","'238,400",
"'TOTAL LOCAL TAXES","'9,659,702","'9,371,762","'9,857,185",
"'41000 LICENSES AND PERMITS","'","'","'",
"'41100 Licenses","'","'","'",
"'41140 Cable TV Franchise","'51,870","'49,000","'49,000",
"'41500 Permits","'","'","'",
"'41510 Beer Permits","'3,729","'3,500","'3,500",
"'41520 Building Permits","'113,220","'100,000","'108,000",
"'TOTAL LICENSES AND PERMITS","'168,819","'152,500","'160,500",
,,,

'Confidence Scores % (Table Cell)
""'97.36328125","'93.21289063","'92.96875000","'94.92187500",
"'73.33984375","'73.33984375","'73.33984375","'73.33984375",
"'40.82031250","'40.82031250","'40.82031250","'40.82031250",
"'41.40625000","'41.40625000","'41.40625000","'41.40625000",
"'88.81835938","'84.96093750","'84.76562500","'86.57226563",
"'89.84375000","'85.98632813","'85.79101563","'87.59765625",
"'93.50585938","'89.50195313","'89.25781250","'91.16210938",
"'93.35937500","'89.35546875","'89.11132813","'91.01562500",
"'93.11523438","'89.11132813","'88.91601563","'90.77148438",
"'92.04101563","'88.08593750","'87.84179688","'89.69726563",
"'93.50585938","'89.50195313","'89.25781250","'91.16210938",
"'92.38281250","'88.37890625","'88.18359375","'90.03906250",
"'97.36328125","'93.21289063","'92.96875000","'94.92187500",
"'64.69726563","'64.69726563","'64.69726563","'64.69726563",
"'82.12890625","'78.61328125","'78.41796875","'80.07812500",
"'93.35937500","'89.35546875","'89.11132813","'91.01562500",
"'93.16406250","'89.16015625","'88.96484375","'90.82031250",
"'92.43164063","'88.42773438","'88.23242188","'90.08789063",
"'93.35937500","'89.35546875","'89.11132813","'91.01562500",
"'92.28515625","'88.28125000","'88.08593750","'89.94140625",
"'86.81640625","'83.10546875","'82.86132813","'84.61914063",
"'96.87500000","'92.72460938","'92.48046875","'94.43359375",
"'66.11328125","'66.11328125","'66.11328125","'66.11328125",
"'76.31835938","'72.99804688","'72.85156250","'74.36523438",
"'89.35546875","'85.54687500","'85.30273438","'87.10937500",
"'87.98828125","'84.17968750","'83.98437500","'85.74218750",
"'96.77734375","'92.57812500","'92.33398438","'94.33593750",
"'96.28906250","'92.13867188","'91.89453125","'93.84765625",
"'59.08203125","'59.08203125","'59.08203125","'59.08203125",
"'51.26953125","'51.26953125","'51.26953125","'51.26953125",
"'91.45507813","'87.50000000","'87.30468750","'89.16015625",
"'50.39062500","'50.39062500","'50.39062500","'50.39062500",
"'91.74804688","'87.79296875","'87.54882813","'89.40429688",
"'91.60156250","'87.64648438","'87.45117188","'89.30664063",
"'97.50976563","'93.31054688","'93.06640625","'95.06835938",
