"'Statement of Proposed Operations for the Fiscal Year Ending June 30, 2024","'","'Original","'",
"'Account No Description","'Actual 2021-2022","'Estimated 2022-2023","'Estimated 2023-2024",
"'ESTIMATED REVENUES","'","'","'",
"'42000 FINES, FORFIETURES AND PENALTIES","'","'","'",
"'42100 Circuit Court","'","'","'",
"'42140 Drug Control Fines","'3,289","'2,500","'2,500",
"'42300 General Sessions Court","'","'","'",
"'42340 Drug Control Fines","'4,594","'6,000","'5,500",
"'Total Fines, Forfeitures and Penalties","'7,883","'8,500","'8,000",
"'42900 OTHER FINES, FORFEITURES AND PENALTIES","'","'","'",
"'42910 Proceeds from Confiscated Property","'37,514","'45,000","'45,000",
"'Total Other Fines, Forfeitures, and Penalties","'37,514","'45,000","'45,000",
"'44000 OTHER LOCAL REVENUES","'","'","'",
"'44500 Nonrecurring Items","'","'","'",
"'44530 Sale of Equipment","'7,800","'0","'0",
"'Total Other Local Revenues","'7,800","'0","'0",
"'Total Estimated Revenue","'53,197","'53,500","'53,000",
"'49000 ESTIMATED OTHER SOURCES(NON-REVENUE)","'","'","'",
"'49700 Insurance Recovery","'0","'0","'0",
"'Total Estimated Other Source(Non-Revenue)","'0","'0","'0",
"'Total Estimated Revenues and Other Source","'53,197","'53,500","'53,000",
"'ESTIMATED EXPENDITURES","'","'","'",
"'54110 SHERIFF'S DEPARTMENT","'","'","'",
"'599 Other Charges","'0","'10,000","'10,000",
"'716 Law Enforcement Equipment","'0","'0","'0",
"'718 Motor Vehicles","'96,057","'75,000","'0",
"'Total Estimated Expenditures","'96,057","'85,000","'10,000",
"'Excess of Estimated Revenue Over","'","'","'",
"'(Under) Estimated Expenditures","'(42,860)","'(31,500)","'43,000",
"'Estimated Beginning Fund Balance July 1","'158,651","'115,791","'54,000",
"'Estimated Ending Fund Balance June 30","'115,791","'84,291","'97,000",
,,,

'Confidence Scores % (Table Cell)
""'36.98730469","'82.37304688","'84.57031250","'86.42578125",
"'33.93554688","'82.37304688","'84.57031250","'86.42578125",
"'74.16992188","'74.16992188","'74.16992188","'74.16992188",
"'42.91992188","'42.91992188","'42.91992188","'42.91992188",
"'36.62109375","'52.63671875","'52.29492188","'54.10156250",
"'57.22656250","'82.27539063","'81.73828125","'84.57031250",
"'40.40527344","'58.10546875","'57.71484375","'89.35546875",
"'57.32421875","'82.42187500","'81.88476563","'89.35546875",
"'63.33007813","'91.01562500","'90.38085938","'93.55468750",
"'37.30468750","'37.30468750","'37.30468750","'61.32812500",
"'35.32714844","'50.78125000","'50.43945313","'52.19726563",
"'63.03710938","'90.67382813","'90.03906250","'93.16406250",
"'52.53906250","'52.53906250","'52.53906250","'52.53906250",
"'42.52929688","'42.52929688","'42.52929688","'42.52929688",
"'49.04785156","'70.55664063","'70.06835938","'72.50976563",
"'62.50000000","'89.89257813","'89.25781250","'92.38281250",
"'61.23046875","'88.08593750","'87.45117188","'90.52734375",
"'51.75781250","'51.75781250","'51.75781250","'51.75781250",
"'42.77343750","'61.47460938","'61.08398438","'63.18359375",
"'62.25585938","'89.45312500","'88.86718750","'91.94335938",
"'60.83984375","'87.50000000","'86.86523438","'89.89257813",
"'70.89843750","'70.89843750","'70.89843750","'70.89843750",
"'57.17773438","'57.17773438","'57.17773438","'57.17773438",
"'51.51367188","'74.02343750","'73.53515625","'76.07421875",
"'55.51757813","'79.83398438","'79.29687500","'82.08007813",
"'55.32226563","'79.58984375","'79.05273438","'81.78710938",
"'63.76953125","'91.65039063","'91.01562500","'94.18945313",
"'40.64941406","'40.64941406","'40.64941406","'40.64941406",
"'29.80957031","'42.87109375","'42.57812500","'44.06738281",
"'54.15039063","'77.83203125","'77.29492188","'80.02929688",
"'63.86718750","'91.79687500","'91.16210938","'94.33593750",
