"'Fund","'Proposed Tax Rate","'Amount of Tax Levy","'7.00% Reserve for Delinquency","'Estimated Collection of Taxes",
"'General","'$1.6924","'9,554,608","'668,823","'8,885,785",
"'Highway/Public Works","'$0.0571","'322,364","'22,565","'299,798",
"'General Purpose School","'$0.5666","'3,198,795","'223,916","'2,974,879",
"'General Debt Service","'$0.0163","'92,023","'6,442","'85,582",
"'Total","'$2.3324","'13,167,790","'921,746","'12,246,045",
,,,,

'Confidence Scores % (Table Cell)
""'94.62890625","'89.40429688","'94.87304688","'94.97070313","'91.99218750",
"'88.62304688","'83.69140625","'88.81835938","'88.91601563","'86.13281250",
"'87.79296875","'82.91015625","'88.03710938","'88.13476563","'85.35156250",
"'87.59765625","'82.71484375","'87.79296875","'87.89062500","'85.15625000",
"'87.50000000","'82.61718750","'87.69531250","'87.79296875","'85.05859375",
"'93.79882813","'88.57421875","'94.04296875","'94.14062500","'91.21093750",
