"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'Total Industrial Development","'71,211","'74,773","'75,204",
"'58300 Veterans Services","'","'","'",
"'105 Supervisor/Director","'31,201","'32,450","'34,073",
"'338 Maint & Repair Services - Vehicles","'356","'500","'750",
"'351 Rentals","'3,600","'3,600","'3,600",
"'355 Travel","'0","'300","'600",
"'399 Other Contracted Service","'449","'450","'450",
"'425 Gasoline","'643","'750","'1,000",
"'425-SC Gasoline (SCHRA)","'44","'0","'0",
"'435 Office Supplies","'94","'200","'200",
"'599 Other Charges","'902","'1,000","'1,000",
"'719 Office Equipment","'0","'200","'200",
"'Total Veterans Services","'37,289","'39,450","'41,873",
"'58400 Other Charges","'","'","'",
"'506 Liability Insurance","'294,738","'300,632","'335,400",
"'510 Trustees Commission","'216,839","'210,000","'225,000",
"'513 Workers Comp","'127,277","'160,000","'170,450",
"'Total Other Charges","'638,854","'670,632","'730,850",
"'58600 Employee Benefits","'","'","'",
"'201 Social Security","'461,125","'537,000","'610,684",
"'204 State Retirement","'638,624","'728,000","'762,186",
"'206 Life Insurance","'43,496","'53,000","'62,000",
"'207 Medical Insurance","'1,795,541","'1,898,199","'2,031,600",
"'210 Unemployment Comp","'4,372","'22,000","'22,000",
"'399 Other Contracted Services","'5,800","'0","'6,000",
"'Total Employees Benefits","'2,948,958","'3,238,199","'3,494,470",
"'58801 Covid 19 Grant # 1-Dept of Health Drug Room","'","'","'",
"'707 Building Improvements","'0","'0","'100,000",
"'Total Covid 19 Grant#1- Dept. of Health Drug Room","'0","'0","'100,000",
"'58835 American Rescue Plan Act # 5-Library","'","'","'",
"'599-LIB Other Charges","'6,160","'0","'0",
"'Total American Rescue Plan Act # 5 Library","'6,160","'0","'0",
"'58836 American Rescue Plan Act # 6 CESF Video Arraignment 790 Other Equipment","'13,200","'0","'0",
"'Total CESF Video Arraignment","'13,200","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'81.20117188","'94.53125000","'94.18945313","'94.72656250",
"'77.49023438","'90.23437500","'89.89257813","'90.42968750",
"'71.92382813","'71.92382813","'71.92382813","'71.92382813",
"'65.57617188","'76.31835938","'76.07421875","'76.46484375",
"'75.43945313","'87.84179688","'87.54882813","'88.03710938",
"'76.31835938","'88.86718750","'88.57421875","'89.06250000",
"'76.61132813","'89.20898438","'88.86718750","'89.40429688",
"'77.53906250","'90.28320313","'89.94140625","'90.47851563",
"'75.53710938","'87.93945313","'87.64648438","'88.13476563",
"'77.39257813","'90.08789063","'89.79492188","'90.28320313",
"'77.19726563","'89.84375000","'89.55078125","'90.03906250",
"'75.14648438","'87.50000000","'87.20703125","'87.69531250",
"'74.75585938","'87.06054688","'86.71875000","'87.20703125",
"'81.00585938","'94.28710938","'93.94531250","'94.48242188",
"'65.57617188","'65.57617188","'65.57617188","'65.57617188",
"'67.23632813","'78.32031250","'78.02734375","'78.46679688",
"'73.92578125","'86.08398438","'85.74218750","'86.23046875",
"'73.77929688","'85.88867188","'85.59570313","'86.03515625",
"'81.10351563","'94.43359375","'94.09179688","'94.62890625",
"'64.94140625","'64.94140625","'64.94140625","'64.94140625",
"'67.82226563","'78.95507813","'78.66210938","'79.10156250",
"'74.41406250","'86.62109375","'86.32812500","'86.81640625",
"'73.09570313","'85.15625000","'84.81445313","'85.30273438",
"'73.48632813","'85.54687500","'85.25390625","'85.74218750",
"'73.14453125","'85.15625000","'84.86328125","'85.35156250",
"'72.16796875","'84.03320313","'83.69140625","'84.17968750",
"'80.66406250","'93.94531250","'93.60351563","'94.14062500",
"'41.67480469","'46.14257813","'45.97167969","'46.24023438",
"'41.67480469","'42.99316406","'42.82226563","'43.06640625",
"'80.66406250","'93.94531250","'93.60351563","'94.14062500",
"'61.62109375","'61.62109375","'61.62109375","'61.62109375",
"'54.54101563","'63.52539063","'63.28125000","'63.62304688",
"'80.71289063","'93.99414063","'93.65234375","'94.18945313",
"'35.96191406","'41.87011719","'41.72363281","'41.94335938",
"'81.25000000","'94.58007813","'94.23828125","'94.77539063",
