"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'301 Accounting Services","'0","'1,500","'1,500",
"'305 Audit Services","'10,219","'10,469","'11,000",
"'332 Legal Notices, Recording and Court Cost","'1,746","'5,000","'5,000",
"'355 Travel","'0","'2,500","'2,500",
"'719 Office Equipment","'0","'0","'0",
"'51210 Board of Equalization","'","'","'",
"'191 Board and Committee Members Fees","'2,550","'3,500","'3,500",
"'51220 Beer Board","'","'","'",
"'533 Criminal Investigation of Applicants","'87","'1,000","'1,000",
"'Total County Commission","'64,802","'60,369","'58,100",
"'51300 County Mayor","'","'","'",
"'101 County Official","'95,034","'99,787","'104,776",
"'140 Salary Supplement","'1,568","'2,250","'0",
"'161 Secretary","'32,100","'33,385","'35,055",
"'186 Longevity","'0","'500","'0",
"'332 Legal Notices, Rec & Court Cost","'1,682","'1,200","'1,200",
"'355 Travel","'2,311","'3,000","'3,000",
"'399 Other Contracted Services","'4,090","'5,000","'5,000",
"'399-DA Other Contracted Services-Direct Approp. Grant","'6,975","'0","'0",
"'435 Office Supplies","'995","'1,500","'1,500",
"'508 Premiums on Corp Surety Bonds","'0","'0","'0",
"'524 In-Service/Staff Development","'1,076","'1,500","'1,500",
"'719 Office Equipment","'188","'1,000","'1,000",
"'Total County Mayor","'146,019","'149,122","'153,031",
"'51400 County Attorney","'","'","'",
"'331 Legal Services","'17,643","'15,000","'35,000",
"'599 Other Charges(Deductibles)","'2,500","'5,000","'5,000",
"'Total County Attorney","'20,143","'20,000","'40,000",
"'51500 Election Commission","'","'","'",
"'101 County Official","'74,053","'77,756","'81,644",
"'106 Deputy","'28,072","'33,146","'34,804",
"'169 Part-Time Personnel","'12,570","'18,000","'18,000",
"'186 Longevity Pay","'0","'0","'0",
"'192 Election Commission","'1,760","'5,400","'7,400",
"'193 Election Workers","'2,320","'55,000","'55,000",
"'317 Data Processing Services","'3,502","'4,500","'4,500",
"'332 Legal Notices, Rec and Court Costs","'360","'1,500","'4,500",
"'337 Maint and Repair-Office Equip","'0","'1,500","'1,500",
"'349 Printing Stationary and Forms","'643","'4,000","'4,000",
"'351 Rentals","'0","'1,500","'2,500",
"'355 Travel","'0","'3,000","'4,000",
,,,

'Confidence Scores % (Table Cell)
""'90.33203125","'94.09179688","'94.04296875","'84.91210938",
"'84.42382813","'87.89062500","'87.89062500","'79.29687500",
"'83.59375000","'87.06054688","'87.01171875","'78.56445313",
"'87.01171875","'90.62500000","'90.57617188","'81.73828125",
"'85.00976563","'88.57421875","'88.52539063","'79.88281250",
"'85.88867188","'89.45312500","'89.40429688","'80.71289063",
"'63.52539063","'63.52539063","'63.52539063","'63.52539063",
"'64.20898438","'66.89453125","'66.84570313","'60.35156250",
"'63.18359375","'63.18359375","'63.18359375","'63.18359375",
"'61.76757813","'64.30664063","'64.30664063","'58.00781250",
"'90.52734375","'94.28710938","'94.23828125","'85.05859375",
"'67.38281250","'67.38281250","'67.38281250","'67.38281250",
"'73.33984375","'76.36718750","'76.31835938","'68.89648438",
"'85.00976563","'88.57421875","'88.52539063","'79.88281250",
"'84.13085938","'87.64648438","'87.59765625","'79.05273438",
"'85.59570313","'89.16015625","'89.11132813","'80.41992188",
"'85.54687500","'89.11132813","'89.06250000","'80.41992188",
"'84.22851563","'87.74414063","'87.69531250","'79.15039063",
"'85.64453125","'89.20898438","'89.16015625","'80.46875000",
"'85.88867188","'89.45312500","'89.40429688","'80.71289063",
"'82.47070313","'85.88867188","'85.88867188","'77.49023438",
"'85.30273438","'88.86718750","'88.81835938","'80.12695313",
"'84.52148438","'88.03710938","'87.98828125","'79.44335938",
"'81.39648438","'84.81445313","'84.76562500","'76.51367188",
"'89.89257813","'93.65234375","'93.60351563","'84.47265625",
"'71.14257813","'71.14257813","'71.14257813","'71.14257813",
"'72.85156250","'75.87890625","'75.83007813","'68.45703125",
"'83.74023438","'87.20703125","'87.15820313","'78.66210938",
"'90.08789063","'93.84765625","'93.79882813","'84.61914063",
"'70.80078125","'70.80078125","'70.80078125","'70.80078125",
"'78.71093750","'81.98242188","'81.98242188","'73.97460938",
"'85.00976563","'88.57421875","'88.52539063","'79.88281250",
"'86.13281250","'89.74609375","'89.69726563","'80.95703125",
"'85.59570313","'89.16015625","'89.11132813","'80.41992188",
"'85.98632813","'89.55078125","'89.50195313","'80.76171875",
"'85.35156250","'88.86718750","'88.86718750","'80.17578125",
"'86.32812500","'89.89257813","'89.84375000","'81.10351563",
"'87.40234375","'91.01562500","'90.96679688","'82.12890625",
"'87.01171875","'90.62500000","'90.57617188","'81.73828125",
"'87.06054688","'90.72265625","'90.67382813","'81.83593750",
"'87.25585938","'90.86914063","'90.82031250","'81.98242188",
"'87.69531250","'91.35742188","'91.30859375","'82.42187500",
