"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'336 Maint and Repair Services - Equipment","'1,057","'5,000","'5,000",
"'355 Travel","'6,368","'7,500","'7,500",
"'524 In-Service Training","'0","'7,000","'7,000",
"'Total Special Education Program","'96,245","'125,050","'133,398",
"'72230 Career and Technical Education Program","'","'","'",
"'105 Supervisor/Director","'90,112","'83,960","'173,500",
"'189 Other Salaries and Wages","'1,082","'0","'2,000",
"'201 Social Security","'6,361","'6,423","'13,426",
"'204 State Retirement","'8,376","'8,396","'7,531",
"'207 Medical Insurance","'7,812","'7,900","'8,100",
"'336 Maint and Repair Services - Equipment","'1,200","'3,000","'3,000",
"'355 Travel","'1,871","'2,000","'2,000",
"'499 Other Supplies and Materials","'2,986","'3,000","'3,000",
"'Total Vocational Education Program","'119,800","'114,679","'212,557",
"'72250 Technology","'","'","'",
"'105 Supervisor","'63,788","'68,300","'73,713",
"'189 Other Salaries and Wages","'4,622","'10,000","'10,000",
"'201 Social Security","'4,973","'5,990","'6,197",
"'204 State Retirement","'7,546","'8,636","'9,582",
"'207 Medical Insurance","'7,900","'7,900","'8,100",
"'336 Maint and Repair Services - Equipment","'3,030","'10,000","'10,000",
"'350 Internet Connectivity","'92,786","'100,000","'105,000",
"'355 Travel","'315","'2,000","'2,000",
"'399 Other Contracted Services","'73,047","'100,000","'105,000",
"'499 Other Supplies and Materials","'672","'2,000","'2,000",
"'722 Regular Instruction Equipment","'40,299","'197,000","'120,000",
"'Total Technology","'298,978","'511,826","'451,592",
"'72290 Other Programs","'","'","'",
"'215 On-Behalf Payments for OPEB","'62,048","'35,000","'35,000",
"'Total Other Programs","'62,048","'35,000","'35,000",
"'72310 Board of Education","'","'","'",
"'191 Board and Committee Members Fees","'6,986","'13,000","'16,800",
"'196 In-Service Training","'5,316","'12,000","'12,000",
"'201 Social Security","'494","'1,913","'2,203",
"'305 Audit Services","'27,500","'35,000","'35,000",
"'320 Dues and Memberships","'26,482","'32,000","'32,000",
"'331 Legal Services","'39,489","'40,000","'40,000",
"'355 Travel","'0","'0","'5,000",
"'399 Other Contracted Services","'2,447","'5,000","'17,000",
"'506 Liability Insurance","'74,292","'145,000","'150,000",
"'510 Trustees Commission","'130,500","'140,000","'140,000",
"'513 Workers Compensation Insurance","'156,390","'250,000","'250,000",
,,,

'Confidence Scores % (Table Cell)
""'92.67578125","'94.82421875","'94.53125000","'96.53320313",
"'87.98828125","'89.99023438","'89.74609375","'91.60156250",
"'87.20703125","'89.20898438","'88.91601563","'90.82031250",
"'87.01171875","'89.01367188","'88.76953125","'90.62500000",
"'91.99218750","'94.14062500","'93.84765625","'95.80078125",
"'67.13867188","'67.13867188","'67.13867188","'67.13867188",
"'78.80859375","'80.61523438","'80.37109375","'82.03125000",
"'88.33007813","'90.38085938","'90.08789063","'91.99218750",
"'89.25781250","'91.30859375","'91.01562500","'92.91992188",
"'87.98828125","'89.99023438","'89.74609375","'91.60156250",
"'88.96484375","'90.96679688","'90.72265625","'92.62695313",
"'88.23242188","'90.28320313","'89.99023438","'91.89453125",
"'87.35351563","'89.35546875","'89.06250000","'90.91796875",
"'85.59570313","'87.54882813","'87.30468750","'89.11132813",
"'91.99218750","'94.14062500","'93.84765625","'95.80078125",
"'70.65429688","'70.65429688","'70.65429688","'70.65429688",
"'77.58789063","'79.39453125","'79.15039063","'80.81054688",
"'87.64648438","'89.69726563","'89.40429688","'91.25976563",
"'88.86718750","'90.86914063","'90.62500000","'92.52929688",
"'87.45117188","'89.45312500","'89.16015625","'91.01562500",
"'88.57421875","'90.62500000","'90.33203125","'92.23632813",
"'87.01171875","'89.01367188","'88.76953125","'90.62500000",
"'86.42578125","'88.42773438","'88.13476563","'89.99023438",
"'86.81640625","'88.81835938","'88.57421875","'90.42968750",
"'86.96289063","'88.96484375","'88.72070313","'90.57617188",
"'86.57226563","'88.57421875","'88.28125000","'90.13671875",
"'85.59570313","'87.54882813","'87.30468750","'89.11132813",
"'91.99218750","'94.14062500","'93.84765625","'95.80078125",
"'65.13671875","'65.13671875","'65.13671875","'65.13671875",
"'66.50390625","'68.01757813","'67.82226563","'69.23828125",
"'92.38281250","'94.48242188","'94.18945313","'96.19140625",
"'71.67968750","'71.67968750","'71.67968750","'71.67968750",
"'81.00585938","'82.86132813","'82.56835938","'84.32617188",
"'86.76757813","'88.72070313","'88.47656250","'90.33203125",
"'88.23242188","'90.28320313","'89.99023438","'91.89453125",
"'87.01171875","'89.01367188","'88.76953125","'90.62500000",
"'88.23242188","'90.28320313","'89.99023438","'91.89453125",
"'87.40234375","'89.40429688","'89.11132813","'90.96679688",
"'88.37890625","'90.42968750","'90.13671875","'92.04101563",
"'85.83984375","'87.79296875","'87.54882813","'89.35546875",
"'88.47656250","'90.52734375","'90.23437500","'92.13867188",
"'87.54882813","'89.59960938","'89.30664063","'91.16210938",
"'91.45507813","'93.55468750","'93.26171875","'95.21484375",
