"'Account No.","'Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'506","'Liability Insurance","'50,765","'60,000","'65,000",
"'510","'Trustees Commission","'35,138","'35,000","'35,000",
"'","'Total Other Charges","'99,797","'120,500","'125,500",
"'66000","'EMPLOYEE BENEFITS","'","'","'",
"'201","'Social Security","'83,230","'114,600","'114,600",
"'204","'State Retirement","'116,700","'145,000","'145,000",
"'205","'Employee and Dependent Insurance","'355,561","'506,375","'550,000",
"'210","'Unemployment Compensation","'6,688","'17,000","'17,000",
"'513","'Worker's Compensation Insurance","'109,563","'146,735","'152,000",
"'599","'Other Charges","'1,205","'7,500","'7,500",
"'","'Total Employees Benefits","'672,947","'937,210","'986,100",
"'68000","'CAPITAL OUTLAY","'","'","'",
"'705","'Bridge Construction","'1,244,790","'1,600,000","'1,600,000",
"'708","'Communication Equipment","'0","'4,000","'4,000",
"'713","'Highway Construction","'433,695","'750,000","'1,500,000",
"'714","'Highway Equipment","'0","'100,000","'100,000",
"'718","'Motor Vehicles","'8,300","'35,000","'39,000",
"'791","'Other Construction","'24,702","'15,000","'15,000",
"'","'Total Capital Outlay","'1,711,487","'2,504,000","'3,258,000",
"'","'Total Estimated Expenditures","'4,771,121","'7,099,864","'8,563,423",
"'99000","'OTHER USES","'","'","'",
"'99100","'Transfers Out","'","'","'",
"'590","'Transfers to Other Funds","'121,087","'143,655","'143,655",
"'","'Total Other Uses","'121,087","'143,655","'143,655",
"'","'Total Estimated Expenditures and Other Uses","'4,892,208","'7,243,519","'8,707,078",
"'","'Excess of Estimated Revenue Over (Under)","'","'","'",
"'","'Estimated Expenditures and Other Uses","'129,106","'1,895","'(933,814)",
"'","'Estimated Beginning Fund Balance July 1","'1,857,070","'1,986,176","'2,100,000",
"'","'Fund Balance Audit Adjustment","'","'","'",
"'","'Estimated Ending Fund Balance June 30","'1,986,176","'1,988,071","'1,166,186",
,,,,

'Confidence Scores % (Table Cell)
""'40.64941406","'43.16406250","'94.23828125","'93.06640625","'95.26367188",
"'36.96289063","'39.25781250","'85.74218750","'84.66796875","'86.66992188",
"'35.83984375","'38.06152344","'83.10546875","'82.08007813","'84.03320313",
"'40.03906250","'42.52929688","'92.87109375","'91.65039063","'93.84765625",
"'65.23437500","'65.23437500","'65.23437500","'65.23437500","'65.23437500",
"'33.59375000","'35.69335938","'77.92968750","'76.95312500","'78.75976563",
"'37.74414063","'40.08789063","'87.50000000","'86.42578125","'88.47656250",
"'37.69531250","'40.03906250","'87.45117188","'86.32812500","'88.37890625",
"'41.21093750","'41.21093750","'86.42578125","'85.35156250","'87.35351563",
"'36.35253906","'38.59863281","'84.27734375","'83.20312500","'85.20507813",
"'35.57128906","'37.76855469","'82.47070313","'81.39648438","'83.34960938",
"'43.31054688","'43.31054688","'93.94531250","'92.72460938","'94.92187500",
"'58.69140625","'58.69140625","'58.69140625","'58.69140625","'58.69140625",
"'32.47070313","'34.49707031","'75.29296875","'74.36523438","'76.12304688",
"'37.81738281","'40.16113281","'87.69531250","'86.57226563","'88.62304688",
"'37.54882813","'39.86816406","'87.06054688","'85.93750000","'87.98828125",
"'38.25683594","'40.64941406","'88.72070313","'87.59765625","'89.69726563",
"'36.71875000","'39.01367188","'85.20507813","'84.08203125","'86.08398438",
"'36.52343750","'38.79394531","'84.71679688","'83.64257813","'85.64453125",
"'41.96777344","'41.96777344","'93.21289063","'92.04101563","'94.23828125",
"'42.72460938","'42.72460938","'92.62695313","'91.45507813","'93.60351563",
"'58.69140625","'58.69140625","'58.69140625","'58.69140625","'58.69140625",
"'37.67089844","'37.67089844","'37.67089844","'37.67089844","'37.67089844",
"'41.47949219","'41.47949219","'75.39062500","'74.46289063","'76.22070313",
"'45.14160156","'45.14160156","'93.55468750","'92.38281250","'94.58007813",
"'43.11523438","'43.11523438","'93.01757813","'91.84570313","'94.04296875",
"'48.92578125","'48.92578125","'48.92578125","'48.92578125","'48.92578125",
"'38.40332031","'38.40332031","'58.20312500","'57.47070313","'58.83789063",
"'45.33691406","'45.33691406","'93.45703125","'92.28515625","'94.48242188",
"'39.55078125","'39.55078125","'39.55078125","'39.55078125","'39.55078125",
"'38.25683594","'38.25683594","'83.64257813","'82.56835938","'84.52148438",
