"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'Total Planning","'161,658","'212,064","'227,837",
"'51800 County Buildings","'","'","'",
"'105 Facility Supervisor","'52,747","'50,000","'52,501",
"'166 Custodial Personnel","'26,655","'27,788","'29,178",
"'167 Maintenance Personnel","'0","'45,000","'47,251",
"'169 Part-Time Personnel","'2,635","'13,000","'13,500",
"'335 Maint and Repair-buildings","'185,544","'210,000","'241,500",
"'335-ADA Maint and Repair-buildings(ADA)","'0","'3,000","'3,000",
"'336 Maint and Repair-equipment","'0","'10,000","'10,000",
"'338 Maint and Repair-vehicle","'4,436","'3,000","'5,000",
"'355 Travel","'0","'500","'750",
"'410 Custodial Supplies","'12,237","'20,000","'18,000",
"'425 Gasoline","'2,586","'7,500","'7,500",
"'435 Office Supplies","'2,643","'1,000","'1,000",
"'451 Uniforms","'2,191","'3,000","'3,000",
"'599 Other Charges","'294","'1,000","'1,000",
"'718 Motor Vehicles","'0","'0","'15,000",
"'Total County Buildings","'291,968","'394,788","'448,180",
"'51810 Other Facilities","'","'","'",
"'307 Communication","'151,827","'140,000","'140,000",
"'347 Pest Control","'5,500","'7,000","'8,000",
"'359 Disposal Fee","'4","'1,000","'1,000",
"'415 Electricity","'143,559","'175,000","'175,000",
"'452 Utilities","'94,395","'80,000","'105,000",
"'Total Other Facilities","'395,285","'403,000","'429,000",
"'51900 Other General Administration","'","'","'",
"'189 Other Salaries and Wages","'82,349","'85,643","'89,925",
"'334 Maintenance Agreements","'6,641","'9,000","'11,000",
"'336 Maintenance and Repair-Equipment","'2,960","'2,000","'2,000",
"'355 Travel","'75","'400","'400",
"'399 Other Contracted Services","'2,287","'4,000","'2,000",
"'435 Office Supplies","'422","'800","'1,000",
"'499 Other Supplies and Materials","'328","'800","'1,000",
"'524 In-Service/Staff Development","'0","'0","'0",
"'719 Office Equipment","'20,553","'22,000","'20,000",
"'Total Other General Administration","'115,615","'124,643","'127,325",
"'51910 Preservation of Records","'","'","'",
"'140 Salary Supplement","'1,500","'1,500","'1,500",
"'162 Clerical Personnel","'30,356","'31,571","'33,758",
"'186 Longevity Pay","'2,400","'2,500","'2,400",
"'355 Travel","'0","'150","'150",
"'399 Other Contracted Services","'3,219","'4,000","'4,000",
"'435 Office Supplies","'249","'550","'550",
,,,

'Confidence Scores % (Table Cell)
""'93.75000000","'94.38476563","'93.60351563","'94.92187500",
"'89.25781250","'89.84375000","'89.11132813","'90.38085938",
"'73.09570313","'73.09570313","'73.09570313","'73.09570313",
"'85.30273438","'85.88867188","'85.20507813","'86.37695313",
"'89.25781250","'89.84375000","'89.11132813","'90.38085938",
"'89.50195313","'90.08789063","'89.35546875","'90.62500000",
"'89.45312500","'90.03906250","'89.30664063","'90.57617188",
"'89.89257813","'90.52734375","'89.79492188","'91.01562500",
"'90.03906250","'90.67382813","'89.89257813","'91.16210938",
"'90.47851563","'91.06445313","'90.33203125","'91.60156250",
"'89.89257813","'90.52734375","'89.79492188","'91.01562500",
"'89.50195313","'90.08789063","'89.35546875","'90.62500000",
"'90.13671875","'90.77148438","'89.99023438","'91.25976563",
"'89.99023438","'90.62500000","'89.89257813","'91.11328125",
"'89.55078125","'90.13671875","'89.40429688","'90.62500000",
"'89.69726563","'90.28320313","'89.55078125","'90.77148438",
"'87.35351563","'87.93945313","'87.20703125","'88.42773438",
"'89.59960938","'90.18554688","'89.45312500","'90.67382813",
"'93.75000000","'94.38476563","'93.60351563","'94.92187500",
"'70.99609375","'70.99609375","'70.99609375","'70.99609375",
"'78.32031250","'78.85742188","'78.17382813","'79.29687500",
"'90.18554688","'90.82031250","'90.03906250","'91.30859375",
"'90.03906250","'90.67382813","'89.89257813","'91.16210938",
"'86.96289063","'87.54882813","'86.81640625","'88.03710938",
"'83.88671875","'84.42382813","'83.74023438","'84.91210938",
"'93.11523438","'93.75000000","'92.96875000","'94.28710938",
"'73.09570313","'73.09570313","'73.09570313","'73.09570313",
"'82.91015625","'83.44726563","'82.76367188","'83.93554688",
"'85.98632813","'86.52343750","'85.83984375","'87.01171875",
"'89.84375000","'90.42968750","'89.69726563","'90.91796875",
"'88.37890625","'88.96484375","'88.23242188","'89.45312500",
"'89.69726563","'90.28320313","'89.55078125","'90.77148438",
"'90.28320313","'90.86914063","'90.13671875","'91.40625000",
"'90.28320313","'90.86914063","'90.13671875","'91.40625000",
"'88.08593750","'88.67187500","'87.98828125","'89.20898438",
"'86.27929688","'86.86523438","'86.18164063","'87.35351563",
"'93.55468750","'94.14062500","'93.40820313","'94.67773438",
"'74.02343750","'74.02343750","'74.02343750","'74.02343750",
"'84.61914063","'85.20507813","'84.47265625","'85.69335938",
"'89.79492188","'90.38085938","'89.64843750","'90.86914063",
"'90.52734375","'91.11328125","'90.38085938","'91.65039063",
"'88.23242188","'88.81835938","'88.08593750","'89.35546875",
"'90.42968750","'91.01562500","'90.28320313","'91.55273438",
"'92.33398438","'92.96875000","'92.18750000","'93.45703125",
