"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'71300 Career and Technical Education Program","'","'","'",
"'116 Teachers","'698,231","'770,000","'862,530",
"'140 Supplements","'12,000","'12,000","'12,000",
"'189 Other Salaries and Wages","'0","'0","'14,000",
"'198 Non-Certified Substitute Teachers","'15,000","'20,000","'20,000",
"'201 Social Security","'53,880","'61,353","'68,992",
"'204 State Retirement","'72,684","'70,380","'75,277",
"'207 Medical Insurance","'101,032","'106,111","'121,439",
"'307 Communications","'0","'0","'15,000",
"'355 Travel","'0","'0","'5,500",
"'399 Other Contracted Services","'10,720","'15,000","'20,000",
"'429 Instructional Supplies and Materials","'0","'0","'15,500",
"'449 Text Books","'4,150","'75,000","'7,000",
"'499 Other Supplies and Materials","'36,428","'20,000","'48,000",
"'524 Inservice","'0","'0","'3,000",
"'599 Other Charges","'0","'0","'9,000",
"'730 Vocational Instruction Equipment","'47,527","'30,000","'30,000",
"'790 Vocational Other Equipment","'0","'0","'10,000",
"'Total Vocational Education Program","'1,051,652","'1,179,844","'1,337,238",
"'Total Instruction","'17,831,874","'20,066,411","'21,724,353",
"'72000 Support Services","'","'","'",
"'72110 Attendance","'","'","'",
"'105 Supervisor/Director","'19,120","'79,240","'85,000",
"'189 Other Salaries & Wages","'31,894","'34,150","'36,857",
"'201 Social Security","'3,884","'8,674","'9,218",
"'204 State Retirement","'5,780","'11,339","'8,312",
"'207 Medical Insurance","'11,208","'16,116","'17,244",
"'355 Travel","'1,723","'3,000","'3,000",
"'399 Other Contracted Services","'8,873","'20,000","'20,000",
"'499 Other Supplies and Materials","'896","'2,000","'3,000",
"'524 In Service/Staff Development","'0","'1,000","'1,000",
"'719 Office Equipment","'0","'5,000","'6,000",
"'Total Attendance","'83,378","'180,519","'189,631",
"'72120 Health Services","'","'","'",
"'105 Supervisor/Director","'0","'0","'71,000",
"'131 Medical Personnel","'157,708","'134,462","'360,000",
"'189 Other Salaries & Wages","'106,672","'120,000","'56,000",
"'201 Social security","'19,583","'19,467","'37,248",
"'204 State Retirement","'24,672","'28,111","'47,354",
"'207 Medical Insurance","'35,212","'50,082","'53,588",
"'355 Travel","'5,709","'5,000","'5,000",
"'399 Other Contracted Services","'3,744","'4,000","'6,000",
"'413 Drugs and Medical Supplies","'4,199","'4,500","'5,500",
,,,

'Confidence Scores % (Table Cell)
""'56.44531250","'94.38476563","'93.65234375","'96.48437500",
"'60.93750000","'60.93750000","'60.93750000","'60.93750000",
"'51.66015625","'86.32812500","'85.64453125","'88.23242188",
"'54.00390625","'90.28320313","'89.59960938","'92.28515625",
"'54.44335938","'91.01562500","'90.33203125","'93.01757813",
"'53.61328125","'89.64843750","'88.96484375","'91.60156250",
"'53.66210938","'89.74609375","'89.01367188","'91.69921875",
"'54.05273438","'90.33203125","'89.64843750","'92.33398438",
"'54.10156250","'90.47851563","'89.79492188","'92.48046875",
"'53.75976563","'89.84375000","'89.11132813","'91.79687500",
"'53.46679688","'89.40429688","'88.72070313","'91.35742188",
"'54.44335938","'91.01562500","'90.33203125","'93.01757813",
"'54.34570313","'90.82031250","'90.13671875","'92.82226563",
"'53.95507813","'90.18554688","'89.50195313","'92.18750000",
"'53.95507813","'90.18554688","'89.50195313","'92.18750000",
"'53.90625000","'90.13671875","'89.45312500","'92.13867188",
"'53.85742188","'90.03906250","'89.35546875","'92.04101563",
"'53.46679688","'89.35546875","'88.67187500","'91.30859375",
"'49.36523438","'82.51953125","'81.88476563","'84.32617188",
"'55.22460938","'92.33398438","'91.65039063","'94.38476563",
"'56.29882813","'94.09179688","'93.35937500","'96.19140625",
"'69.33593750","'69.33593750","'69.33593750","'69.33593750",
"'54.29687500","'54.29687500","'54.29687500","'54.29687500",
"'53.51562500","'89.45312500","'88.76953125","'91.40625000",
"'52.09960938","'87.06054688","'86.42578125","'88.96484375",
"'52.24609375","'87.30468750","'86.62109375","'89.20898438",
"'52.58789063","'87.84179688","'87.20703125","'89.79492188",
"'52.00195313","'86.86523438","'86.23046875","'88.81835938",
"'50.97656250","'85.20507813","'84.57031250","'87.06054688",
"'52.78320313","'88.18359375","'87.50000000","'90.13671875",
"'52.24609375","'87.35351563","'86.66992188","'89.25781250",
"'51.95312500","'86.81640625","'86.18164063","'88.76953125",
"'51.90429688","'86.76757813","'86.08398438","'88.67187500",
"'56.20117188","'93.94531250","'93.26171875","'96.04492188",
"'75.19531250","'75.19531250","'75.19531250","'75.19531250",
"'50.34179688","'84.13085938","'83.49609375","'85.98632813",
"'52.39257813","'87.59765625","'86.91406250","'89.50195313",
"'53.41796875","'89.30664063","'88.62304688","'91.25976563",
"'52.44140625","'87.64648438","'86.96289063","'89.55078125",
"'53.95507813","'90.18554688","'89.50195313","'92.18750000",
"'51.56250000","'86.18164063","'85.54687500","'88.08593750",
"'52.83203125","'88.28125000","'87.59765625","'90.23437500",
"'52.44140625","'87.69531250","'87.01171875","'89.59960938",
"'55.61523438","'92.96875000","'92.28515625","'95.01953125",
