"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'48130 Contributions","'163,284","'0","'27,219",
"'Total Other Governments and Citizens Groups","'163,284","'0","'27,219",
"'Total Estimated Revenues","'2,784,320","'2,509,737","'2,975,663",
"'49000 ESTIMATED OTHER SOURCES","'","'","'",
"'49200 Notes Issued","'0","'0","'0",
"'49800 Transfers In","'501,802","'488,655","'296,975",
"'Total Estimated Other Sources","'501,802","'488,655","'296,975",
"'Total Estimated Revenues and Other Sources","'3,286,122","'2,998,392","'3,272,638",
"'ESTIMATED EXPENDITURES","'","'","'",
"'82100 PRINCIPAL ON DEBT","'","'","'",
"'82110 General Government","'","'","'",
"'602 Principal on Notes","'123,095","'128,355","'133,707",
"'612 Principal on Other Loans","'412,000","'427,000","'443,780",
"'Total General Government","'535,095","'555,355","'577,487",
"'82120 Highways and Streets","'","'","'",
"'602 Principal on Notes","'71,300","'159,100","'164,100",
"'Total Highways and Streets","'71,300","'159,100","'164,100",
"'82130 Education","'","'","'",
"'612 Principal on Other Loans","'1,661,212","'1,697,424","'1,449,147",
"'Total Education","'1,661,212","'1,697,424","'1,449,147",
"'Total Principal Payments","'2,267,607","'2,411,879","'2,190,734",
"'82200 INTEREST ON DEBT","'","'","'",
"'82210 General Government","'","'","'",
"'604 Interest on Notes","'61,084","'55,826","'50,473",
"'613 Interest on Other Loans","'36,853","'135,483","'110,981",
"'Total General Government","'97,937","'191,309","'161,454",
"'82220 Highway and Streets","'","'","'",
"'604 Interest on Notes","'14,787","'36,751","'32,875",
"'Total Highways and Streets","'14,787","'36,751","'32,875",
,,,

'Confidence Scores % (Table Cell)
""'40.55175781","'90.52734375","'91.55273438","'93.79882813",
"'43.57910156","'83.00781250","'83.98437500","'85.98632813",
"'50.19531250","'89.35546875","'90.38085938","'92.57812500",
"'53.22265625","'89.30664063","'90.33203125","'92.52929688",
"'58.39843750","'58.39843750","'58.39843750","'58.39843750",
"'50.58593750","'68.45703125","'69.23828125","'70.89843750",
"'61.52343750","'78.85742188","'79.78515625","'81.68945313",
"'70.26367188","'89.50195313","'90.52734375","'92.72460938",
"'77.92968750","'88.47656250","'89.50195313","'91.69921875",
"'76.22070313","'76.22070313","'76.22070313","'76.22070313",
"'50.19531250","'50.19531250","'50.19531250","'50.19531250",
"'37.93945313","'37.93945313","'37.93945313","'37.93945313",
"'49.80468750","'78.95507813","'79.88281250","'81.78710938",
"'54.00390625","'78.90625000","'79.83398438","'81.73828125",
"'54.00390625","'90.08789063","'91.11328125","'93.31054688",
"'55.37109375","'55.37109375","'55.37109375","'55.37109375",
"'48.63281250","'56.78710938","'57.47070313","'58.83789063",
"'54.39453125","'89.94140625","'90.96679688","'93.16406250",
"'62.79296875","'62.79296875","'62.79296875","'62.79296875",
"'52.63671875","'59.57031250","'60.25390625","'61.71875000",
"'56.39648438","'88.37890625","'89.40429688","'91.55273438",
"'59.57031250","'88.08593750","'89.11132813","'91.25976563",
"'63.18359375","'63.18359375","'63.18359375","'63.18359375",
"'45.50781250","'45.50781250","'45.50781250","'45.50781250",
"'66.99218750","'72.07031250","'72.90039063","'74.65820313",
"'80.76171875","'79.98046875","'80.90820313","'82.86132813",
"'75.04882813","'90.28320313","'91.35742188","'93.55468750",
"'59.47265625","'59.47265625","'59.47265625","'59.47265625",
"'54.68750000","'62.25585938","'62.93945313","'64.45312500",
"'83.49609375","'90.33203125","'91.40625000","'93.60351563",
