"'Account No Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'ESTIMATED REVENUES","'","'","'",
"'43000 CHARGES FOR CURRENT SERVICES","'","'","'",
"'43500 Education Charges","'","'","'",
"'43521 Lunch Payments Children","'0","'603,000","'540,000",
"'43522 Lunch Payments Adults","'30,752","'75,000","'75,000",
"'43523 Income from Breakfast","'886","'55,000","'85,000",
"'43525 A la Carte Sales","'148,619","'175,000","'175,000",
"'Total Charges for Current Services","'180,257","'908,000","'875,000",
"'44000 OTHER LOCAL REVENUES","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'129","'0","'1,000",
"'44500 Non-Recurring Items","'","'","'",
"'44530 Sale of Equipment","'9","'0","'0",
"'Total Other Local Revenues","'138","'0","'1,000",
"'46000 STATE OF TENNESSEE","'","'","'",
"'46800 Other State Revenue","'","'","'",
"'46980 Other State Grants","'0","'0","'0",
"'46990 Other State Revenue","'0","'0","'0",
"'Total State of Tennessee","'0","'0","'0",
"'47000 FEDERAL GOVERNMENT","'","'","'",
"'47100 Federal Through State","'","'","'",
"'47111 USDA School Lunch Program","'1,734,832","'873,000","'1,035,000",
"'47112 USDA-Commodities","'88,791","'0","'0",
"'47113 Breakfast","'594,213","'540,000","'540,000",
"'47114 USDA-Other","'14,181","'15,000","'35,970",
"'Total Federal Government","'2,432,017","'1,428,000","'1,610,970",
"'TOTAL ESTIMATED REVENUE","'2,612,412","'2,336,000","'2,486,970",
"'49000 ESTIMATED OTHER SOURCES(NON-REVENUE)","'","'","'",
"'49800 Transfer In","'0","'0","'0",
"'TOTAL ESTIMATE OTHER SOURCES","'0","'0","'0",
"'TOTAL ESTIMATED REVENUE AND OTHER SOURCE","'2,612,412","'2,336,000","'2,486,970",
,,,

'Confidence Scores % (Table Cell)
""'96.33789063","'89.06250000","'88.62304688","'90.82031250",
"'73.58398438","'73.58398438","'73.58398438","'73.58398438",
"'45.70312500","'45.70312500","'45.70312500","'45.70312500",
"'43.21289063","'43.21289063","'43.21289063","'43.21289063",
"'89.94140625","'83.15429688","'82.76367188","'84.81445313",
"'90.62500000","'83.78906250","'83.39843750","'85.49804688",
"'87.93945313","'81.29882813","'80.90820313","'82.91015625",
"'86.18164063","'79.68750000","'79.29687500","'81.29882813",
"'95.99609375","'88.76953125","'88.33007813","'90.52734375",
"'56.10351563","'56.10351563","'56.10351563","'56.10351563",
"'46.09375000","'46.09375000","'46.09375000","'46.09375000",
"'88.72070313","'82.03125000","'81.64062500","'83.69140625",
"'39.74609375","'39.74609375","'39.74609375","'39.74609375",
"'85.40039063","'78.95507813","'78.56445313","'80.51757813",
"'96.14257813","'88.86718750","'88.47656250","'90.67382813",
"'57.76367188","'57.76367188","'57.76367188","'57.76367188",
"'43.40820313","'43.40820313","'43.40820313","'43.40820313",
"'85.98632813","'79.54101563","'79.15039063","'81.10351563",
"'88.67187500","'81.98242188","'81.59179688","'83.64257813",
"'96.09375000","'88.81835938","'88.42773438","'90.62500000",
"'56.98242188","'56.98242188","'56.98242188","'56.98242188",
"'45.89843750","'45.89843750","'45.89843750","'45.89843750",
"'87.45117188","'80.85937500","'80.46875000","'82.47070313",
"'86.08398438","'79.58984375","'79.24804688","'81.20117188",
"'84.66796875","'78.27148438","'77.92968750","'79.83398438",
"'82.42187500","'76.22070313","'75.83007813","'77.73437500",
"'95.16601563","'87.98828125","'87.59765625","'89.74609375",
"'96.24023438","'88.96484375","'88.52539063","'90.77148438",
"'45.33691406","'45.33691406","'45.33691406","'45.33691406",
"'42.26074219","'39.08691406","'38.89160156","'39.86816406",
"'94.28710938","'87.15820313","'86.71875000","'88.91601563",
"'95.70312500","'88.47656250","'88.03710938","'90.23437500",
