"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'355-SRO Travel (SRO)","'2,613","'5,000","'5,000",
"'399 Other Contracted Service","'960","'0","'0",
"'412 Diesel Fuel","'459","'2,000","'2,000",
"'425 Gasoline","'108,623","'92,000","'150,000",
"'431 Law Enforcement Supplies","'31,252","'45,000","'45,000",
"'431-SRO Law Enforcement Supplies-SRO","'0","'5,000","'5,000",
"'431-TSEE Law Enforcement Supplies-TN Safety Environment","'0","'0","'10,000",
"'431-VCIF Law Enforcement Supplies-Violent Crimes Grant","'0","'0","'81,806",
"'435 Office Supplies","'6,709","'8,000","'8,000",
"'450 Tires and Tubes","'9,509","'20,000","'20,000",
"'451 Uniforms","'7,702","'15,000","'15,000",
"'524 In-Service/Staff Development","'16,373","'25,000","'25,000",
"'524-SRO In-Service/Staff Development-SRO","'5,153","'5,000","'5,000",
"'599 Other Charges","'5,590","'5,000","'5,000",
"'718 Motor Vehicles","'120,888","'25,000","'0",
"'718-ELC Motor Vehicles -ELC","'0","'0","'120,000",
"'719 Office Equipment","'3,936","'5,000","'5,000",
"'Total Sheriffs Department","'2,127,488","'2,360,882","'2,903,020",
"'54160 Administration Of Sexual Offender Registry","'","'","'",
"'435 Office Supplies","'480","'1,000","'1,000",
"'599 Other Charges","'1,750","'3,000","'3,000",
"'719 Office Equipment","'1,797","'3,500","'3,500",
"'Total Administration Of Sexual Offender Registry","'4,027","'7,500","'7,500",
"'54210 Jail","'","'","'",
"'160 Guards","'566,034","'721,000","'824,000",
"'161 Secretary","'0","'0","'31,200",
"'186 Longevity Pay","'4,400","'6,200","'4,500",
"'187 Overtime Pay","'10,662","'20,000","'20,000",
"'188 Bonus Payment","'13,000","'21,000","'23,000",
"'189 Other Salaries and Wages","'11,461","'15,475","'35,939",
"'340 Medical and Dental Services","'104,980","'250,000","'250,000",
"'355 Travel","'1,095","'5,000","'5,000",
"'399 Other Contracted Service","'119,928","'135,000","'135,000",
"'410 Custodial Supplies","'17,750","'25,000","'7,000",
"'410-ELC Custodial Supplies-ELC Grant","'0","'0","'18,000",
"'413 Drugs & Medical Supplies","'17,998","'40,000","'40,000",
"'422 Food Supplies","'195,097","'280,000","'260,000",
"'431 Law Enforcement Supplies","'4,157","'5,000","'5,000",
"'435 Office Supplies","'4,332","'5,000","'5,000",
"'441 Prisoners Clothing","'2,932","'4,000","'0",
"'441-ELC Prisoners Clothing-ELC Grant","'0","'0","'8,200",
"'451 Uniforms","'3,265","'8,000","'8,000",
"'499 Other Supplies and Materials","'8,858","'15,000","'15,000",
"'499-ELC Other Supplies and Materials-ELC Grant","'0","'0","'13,090",
"'599-ELC Other Charges-ELC Grant","'0","'0","'17,000",
"'524 In-Service/Staff Development","'100","'5,000","'5,000",
,,,

'Confidence Scores % (Table Cell)
""'90.13671875","'95.01953125","'96.04492188","'95.16601563",
"'86.47460938","'91.16210938","'92.13867188","'91.30859375",
"'85.35156250","'89.94140625","'90.91796875","'90.08789063",
"'86.76757813","'91.45507813","'92.43164063","'91.60156250",
"'86.91406250","'91.65039063","'92.62695313","'91.79687500",
"'86.81640625","'91.55273438","'92.52929688","'91.69921875",
"'87.30468750","'91.99218750","'93.01757813","'92.13867188",
"'87.25585938","'91.94335938","'92.96875000","'92.08984375",
"'87.06054688","'91.79687500","'92.77343750","'91.89453125",
"'87.10937500","'91.84570313","'92.82226563","'91.94335938",
"'87.30468750","'91.99218750","'93.01757813","'92.13867188",
"'86.91406250","'91.65039063","'92.62695313","'91.79687500",
"'86.91406250","'91.65039063","'92.62695313","'91.79687500",
"'87.15820313","'91.89453125","'92.87109375","'91.99218750",
"'86.62109375","'91.30859375","'92.28515625","'91.45507813",
"'86.32812500","'91.01562500","'91.99218750","'91.16210938",
"'87.59765625","'92.33398438","'93.31054688","'92.48046875",
"'82.86132813","'87.35351563","'88.28125000","'87.50000000",
"'89.84375000","'94.67773438","'95.70312500","'94.82421875",
"'63.76953125","'63.76953125","'63.76953125","'63.76953125",
"'78.66210938","'82.91015625","'83.78906250","'83.05664063",
"'84.03320313","'88.57421875","'89.55078125","'88.72070313",
"'85.49804688","'90.13671875","'91.11328125","'90.28320313",
"'89.74609375","'94.58007813","'95.60546875","'94.72656250",
"'69.58007813","'69.58007813","'69.58007813","'69.58007813",
"'73.97460938","'77.97851563","'78.80859375","'78.12500000",
"'84.27734375","'88.81835938","'89.79492188","'88.96484375",
"'86.32812500","'90.96679688","'91.94335938","'91.11328125",
"'85.44921875","'90.08789063","'91.06445313","'90.23437500",
"'82.91015625","'87.40234375","'88.33007813","'87.54882813",
"'86.23046875","'90.86914063","'91.84570313","'91.01562500",
"'84.91210938","'89.55078125","'90.47851563","'89.64843750",
"'83.93554688","'88.47656250","'89.45312500","'88.62304688",
"'86.13281250","'90.77148438","'91.74804688","'90.91796875",
"'85.83984375","'90.52734375","'91.45507813","'90.67382813",
"'86.18164063","'90.82031250","'91.79687500","'90.96679688",
"'85.40039063","'90.03906250","'91.01562500","'90.18554688",
"'85.74218750","'90.38085938","'91.35742188","'90.52734375",
"'84.57031250","'89.16015625","'90.08789063","'89.30664063",
"'84.76562500","'89.35546875","'90.28320313","'89.45312500",
"'86.91406250","'91.65039063","'92.62695313","'91.79687500",
"'85.05859375","'89.64843750","'90.62500000","'89.79492188",
"'84.42382813","'89.01367188","'89.94140625","'89.16015625",
"'83.88671875","'88.42773438","'89.40429688","'88.57421875",
"'87.30468750","'91.99218750","'93.01757813","'92.13867188",
"'86.23046875","'90.86914063","'91.84570313","'91.01562500",
"'89.20898438","'94.04296875","'95.01953125","'94.18945313",
