"'Account No.","'Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'","'Total Other Local Revenues","'-334,280","'73,000","'73,000",
"'","'Total Local Revenue","'5,638,436","'5,595,980","'5,708,887",
"'46000","'State of Tennessee","'","'","'",
"'46175","'On-Behalf Contributions for OPEB","'62,048","'35,000","'35,000",
"'46500","'State Education Funds","'","'","'",
"'46510","'Tennessee Investment in Student Achievement","'0","'0","'23,886,562",
"'46511","'Basic Education Program","'23,020,520","'23,031,000","'0",
"'46515","'Early Childhood Education","'417,796","'417,796","'417,796",
"'46520","'School Food Service","'19,518","'22,000","'22,000",
"'46550","'Driver Education","'434","'5,000","'5,000",
"'46590","'Other State Education Funds","'296,413","'240,000","'240,000",
"'46591","'Coordinated School Health","'90,000","'90,000","'0",
"'46594","'Family Resource Centers","'59,223","'59,223","'0",
"'46610","'Career Ladder Program","'55,436","'45,000","'45,000",
"'46800","'Other State Revenues","'","'","'",
"'46851","'State Revenue Sharing - TVA","'201,011","'240,000","'230,000",
"'46980","'Other State Grants","'271,914","'0","'0",
"'46981","'Safe Schools","'85,904","'86,560","'0",
"'46990","'Other State Revenues","'0","'15,000","'0",
"'","'Total State of Tennessee","'24,580,217","'24,286,579","'24,881,358",
"'47000","'Federal Government","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47590","'Other Federal Through State","'117,378","'0","'0",
"'47600","'Direct Federal Revenue","'","'","'",
"'47640","'ROTC Reimbursement","'71,503","'70,000","'70,000",
"'","'Total Federal Government","'188,881","'70,000","'70,000",
"'48000","'Other Governments and Citizens Groups","'","'","'",
"'48610","'Donations","'0","'0","'0",
"'48990","'Other","'64,956","'50,000","'258,804",
"'","'Total Other Governments and Citizens Groups","'64,956","'50,000","'258,804",
"'","'Total Estimated Revenues","'30,472,490","'30,002,559","'30,919,049",
"'49000","'OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'0","'10,000","'10,000",
"'49800","'Transfers In","'3,536","'25,000","'25,000",
"'","'Total Other Sources","'3,536","'35,000","'35,000",
"'Total","'Estimated Revenues & Other Sources","'30,476,026","'30,037,559","'30,954,049",
,,,,

'Confidence Scores % (Table Cell)
""'49.16992188","'83.83789063","'94.43359375","'93.89648438","'95.99609375",
"'48.41308594","'82.56835938","'92.96875000","'92.48046875","'94.53125000",
"'48.33984375","'82.42187500","'92.87109375","'92.33398438","'94.38476563",
"'47.75390625","'47.75390625","'47.75390625","'47.75390625","'47.75390625",
"'38.57421875","'65.77148438","'74.07226563","'73.68164063","'75.29296875",
"'36.37695313","'62.01171875","'69.87304688","'69.48242188","'70.99609375",
"'46.77734375","'79.78515625","'89.84375000","'89.35546875","'91.30859375",
"'46.65527344","'79.54101563","'89.59960938","'89.06250000","'91.06445313",
"'46.87500000","'79.93164063","'90.03906250","'89.55078125","'91.50390625",
"'46.87500000","'79.93164063","'90.03906250","'89.55078125","'91.50390625",
"'46.21582031","'78.75976563","'88.72070313","'88.23242188","'90.18554688",
"'46.55761719","'79.34570313","'89.40429688","'88.91601563","'90.86914063",
"'46.36230469","'79.00390625","'89.01367188","'88.52539063","'90.47851563",
"'46.72851563","'79.68750000","'89.74609375","'89.25781250","'91.25976563",
"'47.43652344","'80.90820313","'91.11328125","'90.62500000","'92.62695313",
"'33.66699219","'57.37304688","'64.64843750","'64.25781250","'65.67382813",
"'46.24023438","'78.80859375","'88.76953125","'88.28125000","'90.23437500",
"'46.70410156","'79.63867188","'89.74609375","'89.20898438","'91.21093750",
"'45.60546875","'77.73437500","'87.59765625","'87.06054688","'89.01367188",
"'45.80078125","'78.07617188","'87.93945313","'87.45117188","'89.40429688",
"'48.80371094","'83.20312500","'93.75000000","'93.21289063","'95.26367188",
"'47.65625000","'47.65625000","'47.65625000","'47.65625000","'47.65625000",
"'30.63964844","'52.24609375","'58.83789063","'58.49609375","'59.81445313",
"'45.87402344","'78.17382813","'88.08593750","'87.59765625","'89.55078125",
"'33.44726563","'57.03125000","'64.20898438","'63.86718750","'65.28320313",
"'40.01464844","'68.21289063","'76.85546875","'76.41601563","'78.07617188",
"'48.46191406","'82.61718750","'93.06640625","'92.57812500","'94.62890625",
"'50.78125000","'50.78125000","'50.78125000","'50.78125000","'50.78125000",
"'36.81640625","'62.79296875","'70.70312500","'70.31250000","'71.87500000",
"'45.26367188","'77.14843750","'86.91406250","'86.42578125","'88.33007813",
"'48.41308594","'82.56835938","'92.96875000","'92.48046875","'94.53125000",
"'48.04687500","'81.93359375","'92.28515625","'91.79687500","'93.79882813",
"'48.24218750","'48.24218750","'48.24218750","'48.24218750","'48.24218750",
"'34.69238281","'59.17968750","'66.65039063","'66.25976563","'67.72460938",
"'45.23925781","'77.09960938","'86.86523438","'86.37695313","'88.28125000",
"'48.43750000","'82.56835938","'93.01757813","'92.52929688","'94.58007813",
"'48.82812500","'83.25195313","'93.79882813","'93.26171875","'95.31250000",
