"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'399 Other Contracted Services","'13,138","'25,000","'25,000",
"'435 Office Supplies","'900","'4,000","'4,000",
"'508 Premiums on Surety Bond","'50","'0","'0",
"'719 Office Equipment","'4,508","'4,000","'4,000",
"'790 Other Equipment","'0","'474,989","'474,989",
"'Total Election Commission","'141,876","'713,291","'725,837",
"'51600 Register of Deeds","'","'","'",
"'101 County Official","'82,281","'86,395","'90,715",
"'106 Deputy","'31,893","'33,169","'34,828",
"'140 Salary Supplement","'2,147","'3,750","'4,150",
"'162 Clerical Personnel","'26,224","'27,797","'29,187",
"'186 Longevity Pay","'1,400","'1,500","'1,600",
"'317 Data Processing Services","'14,597","'16,000","'16,000",
"'332 Legal Notices, Recording and Court Costs","'0","'22","'22",
"'337 Maint and Repair Services","'1,154","'2,500","'2,500",
"'355 Travel","'1,160","'2,000","'2,000",
"'399 Other Contracted Services","'0","'200","'200",
"'435 Office Supplies","'887","'2,000","'2,400",
"'508 Premiums on Surety Bond","'0","'0","'0",
"'524 In-Service/Staff Development","'455","'750","'1,000",
"'719 Office Equipment","'0","'2,000","'2,000",
"'Total Register of Deeds","'162,198","'178,083","'186,602",
"'51720 Planning","'","'","'",
"'105 Supervisor/Director","'58,001","'62,000","'65,101",
"'106 Deputy(s)","'34,240","'35,610","'37,391",
"'162 Clerical Personnel","'25,376","'26,804","'28,145",
"'186 Longevity Pay","'0","'900","'1,000",
"'191 Board and Committee Member Fees","'2,850","'3,900","'3,900",
"'196 In-Service Training","'0","'2,500","'3,000",
"'312 Contracts with Private Agencies","'2,200","'16,000","'18,000",
"'317 Data Processing Service","'2,510","'2,700","'3,000",
"'331 Legal Services","'8,949","'8,000","'12,000",
"'332 Legal Notices, Recording & Court Costs","'4,889","'5,000","'5,000",
"'338 Maint and Repair Services-Vehicle","'730","'2,000","'2,500",
"'349 Printing, Stationary, and Forms","'497","'1,200","'1,500",
"'355 Travel","'199","'1,500","'1,500",
"'399 Other Contracted Services","'15,168","'35,000","'35,000",
"'425 Gasoline","'3,082","'3,500","'4,500",
"'435 Office Supplies","'282","'950","'1,200",
"'499 Other Supplies and Materials","'246","'800","'800",
"'508 Premiums on Surety Bond","'0","'0","'0",
"'524 In-Service/Staff Development","'964","'1,500","'1,500",
"'718 Motor Vehicles","'0","'0","'0",
"'719 Office Equipment","'1,475","'2,200","'2,800",
"'791 Other Construction","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'91.25976563","'94.28710938","'94.87304688","'95.21484375",
"'84.66796875","'87.50000000","'88.03710938","'88.33007813",
"'86.62109375","'89.50195313","'90.03906250","'90.38085938",
"'86.76757813","'89.69726563","'90.23437500","'90.57617188",
"'86.57226563","'89.45312500","'89.99023438","'90.33203125",
"'85.88867188","'88.76953125","'89.30664063","'89.59960938",
"'91.11328125","'94.14062500","'94.72656250","'95.06835938",
"'69.28710938","'69.28710938","'69.28710938","'69.28710938",
"'78.41796875","'81.00585938","'81.54296875","'81.83593750",
"'86.62109375","'89.50195313","'90.03906250","'90.38085938",
"'88.03710938","'90.96679688","'91.55273438","'91.84570313",
"'85.79101563","'88.67187500","'89.20898438","'89.50195313",
"'87.54882813","'90.47851563","'91.01562500","'91.35742188",
"'86.37695313","'89.25781250","'89.79492188","'90.13671875",
"'87.01171875","'89.89257813","'90.47851563","'90.77148438",
"'87.25585938","'90.13671875","'90.72265625","'91.01562500",
"'87.06054688","'89.94140625","'90.52734375","'90.82031250",
"'87.25585938","'90.13671875","'90.72265625","'91.01562500",
"'86.57226563","'89.45312500","'89.99023438","'90.33203125",
"'86.03515625","'88.86718750","'89.45312500","'89.74609375",
"'85.54687500","'88.37890625","'88.91601563","'89.25781250",
"'82.42187500","'85.15625000","'85.69335938","'85.98632813",
"'90.72265625","'93.75000000","'94.28710938","'94.62890625",
"'73.09570313","'73.09570313","'73.09570313","'73.09570313",
"'75.58593750","'78.07617188","'78.56445313","'78.85742188",
"'85.54687500","'88.37890625","'88.91601563","'89.25781250",
"'87.15820313","'90.03906250","'90.62500000","'90.91796875",
"'86.66992188","'89.55078125","'90.08789063","'90.42968750",
"'84.57031250","'87.40234375","'87.93945313","'88.23242188",
"'87.98828125","'90.91796875","'91.50390625","'91.84570313",
"'86.37695313","'89.25781250","'89.79492188","'90.13671875",
"'85.98632813","'88.86718750","'89.40429688","'89.69726563",
"'86.71875000","'89.64843750","'90.18554688","'90.52734375",
"'86.08398438","'88.91601563","'89.50195313","'89.79492188",
"'86.71875000","'89.59960938","'90.13671875","'90.47851563",
"'87.74414063","'90.67382813","'91.21093750","'91.55273438",
"'88.08593750","'91.01562500","'91.60156250","'91.89453125",
"'87.84179688","'90.77148438","'91.30859375","'91.65039063",
"'87.89062500","'90.82031250","'91.40625000","'91.74804688",
"'88.57421875","'91.55273438","'92.08984375","'92.43164063",
"'86.42578125","'89.30664063","'89.84375000","'90.18554688",
"'87.74414063","'90.67382813","'91.21093750","'91.55273438",
"'89.40429688","'92.38281250","'92.96875000","'93.26171875",
"'88.18359375","'91.11328125","'91.69921875","'91.99218750",
"'89.06250000","'91.99218750","'92.57812500","'92.91992188",
"'90.28320313","'93.31054688","'93.89648438","'94.23828125",
