"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'534 Refund to Applicant for Criminal Investigation","'0","'1,000","'6,200",
"'599 Other Charges","'7,180","'10,000","'10,000",
"'Total Board of Education","'477,076","'684,913","'716,203",
"'72320 Director of Schools","'","'","'",
"'101 County Official/Administrative Officer","'113,000","'115,000","'125,000",
"'117 Career Ladder Program","'1,000","'1,000","'1,000",
"'161 Secretary(s)","'87,895","'96,800","'108,000",
"'201 Social Security","'15,154","'16,279","'17,901",
"'204 State Retirement","'21,231","'23,472","'24,037",
"'207 Medical Insurance","'11,900","'12,502","'14,000",
"'307 Communication","'2,761","'3,000","'3,000",
"'336 Maint and Repair Services - Equipment","'10,119","'20,000","'20,000",
"'348 Postal Charges","'0","'1,000","'1,000",
"'355 Travel","'2,509","'3,400","'3,400",
"'399 Other Contracted Service","'3,710","'5,000","'5,000",
"'435 Office Supplies","'925","'2,500","'2,500",
"'499 Other Supplies and Materials","'3,328","'3,500","'3,500",
"'599 Other Charges","'13,008","'0","'0",
"'Total Office of the Superintendent","'286,540","'303,453","'328,338",
"'72410 Office of the Principal","'","'","'",
"'104 Principals","'651,529","'750,000","'780,000",
"'139 Assistant Principals","'498,890","'525,000","'570,000",
"'189 Other Salaries and Wages","'67,692","'90,000","'96,184",
"'201 Social Security","'90,983","'104,423","'110,504",
"'204 State Retirement","'126,257","'136,500","'125,892",
"'207 Medical Insurance","'103,508","'148,696","'158,612",
"'348 Postal Charges","'1,600","'1,600","'1,600",
"'355 Travel","'3,600","'3,600","'3,600",
"'399 Other Contracted Services","'133,133","'164,000","'168,000",
"'701 Administration Equipment","'0","'0","'0",
"'Total Office of the Principal","'1,677,192","'1,923,819","'2,014,392",
"'72510 Fiscal Services","'","'","'",
"'399 Other Contracted Services","'45,000","'50,000","'50,000",
"'Total Fiscal Services","'45,000","'50,000","'50,000",
"'72610 Operation of Plant","'","'","'",
"'307 Communication","'45,012","'50,000","'50,000",
"'399 Other Contracted Services","'593,641","'750,000","'775,000",
"'410 Custodial Supplies","'30,860","'35,000","'38,500",
"'415 Electricity","'796,499","'950,000","'975,000",
"'434 Natural Gas","'105,537","'200,000","'200,000",
"'454 Water and Sewer","'239,569","'245,000","'315,000",
"'499 Other Supplies and Materials","'1,360","'3,500","'3,500",
,,,

'Confidence Scores % (Table Cell)
""'60.79101563","'93.79882813","'94.14062500","'96.24023438",
"'57.66601563","'88.96484375","'89.30664063","'91.25976563",
"'56.39648438","'87.06054688","'87.35351563","'89.25781250",
"'60.54687500","'93.45703125","'93.79882813","'95.84960938",
"'61.23046875","'61.23046875","'61.23046875","'61.23046875",
"'52.09960938","'80.46875000","'80.76171875","'82.51953125",
"'58.10546875","'89.69726563","'89.99023438","'91.99218750",
"'57.95898438","'89.50195313","'89.84375000","'91.79687500",
"'57.76367188","'89.16015625","'89.50195313","'91.45507813",
"'57.81250000","'89.20898438","'89.55078125","'91.50390625",
"'58.05664063","'89.64843750","'89.94140625","'91.94335938",
"'57.56835938","'88.91601563","'89.20898438","'91.16210938",
"'57.86132813","'89.30664063","'89.64843750","'91.60156250",
"'57.42187500","'88.67187500","'88.96484375","'90.96679688",
"'57.66601563","'89.01367188","'89.35546875","'91.30859375",
"'57.27539063","'88.37890625","'88.72070313","'90.67382813",
"'56.98242188","'87.98828125","'88.28125000","'90.23437500",
"'57.51953125","'88.76953125","'89.06250000","'91.01562500",
"'55.22460938","'85.30273438","'85.59570313","'87.45117188",
"'60.44921875","'93.31054688","'93.65234375","'95.70312500",
"'69.09179688","'69.09179688","'69.09179688","'69.09179688",
"'51.75781250","'79.88281250","'80.17578125","'81.93359375",
"'54.83398438","'84.66796875","'84.96093750","'86.86523438",
"'57.51953125","'88.81835938","'89.11132813","'91.06445313",
"'55.17578125","'85.20507813","'85.49804688","'87.35351563",
"'56.05468750","'86.52343750","'86.86523438","'88.76953125",
"'56.05468750","'86.52343750","'86.86523438","'88.76953125",
"'56.25000000","'86.81640625","'87.10937500","'89.06250000",
"'55.66406250","'85.93750000","'86.23046875","'88.13476563",
"'55.71289063","'86.03515625","'86.32812500","'88.23242188",
"'54.98046875","'84.91210938","'85.20507813","'87.10937500",
"'60.25390625","'93.01757813","'93.35937500","'95.41015625",
"'63.86718750","'63.86718750","'63.86718750","'63.86718750",
"'48.12011719","'74.26757813","'74.56054688","'76.22070313",
"'60.44921875","'93.31054688","'93.65234375","'95.70312500",
"'68.84765625","'68.84765625","'68.84765625","'68.84765625",
"'51.61132813","'79.68750000","'79.93164063","'81.73828125",
"'57.42187500","'88.67187500","'88.96484375","'90.96679688",
"'57.12890625","'88.13476563","'88.47656250","'90.42968750",
"'56.29882813","'86.91406250","'87.20703125","'89.16015625",
"'57.66601563","'88.96484375","'89.30664063","'91.25976563",
"'58.05664063","'89.59960938","'89.89257813","'91.89453125",
"'59.76562500","'92.23632813","'92.57812500","'94.62890625",
