"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'501 Boiler Insurance","'7,105","'10,000","'10,000",
"'502 Building and Contents Insurance","'167,486","'190,000","'200,000",
"'720 Plant Operation Equipment","'54,625","'0","'0",
"'Total Operation of Plant","'2,041,694","'2,433,500","'2,567,000",
"'72620 Maintenance of Plant","'","'","'",
"'105 Supervisor/Director","'63,788","'68,300","'73,713",
"'161 Secretary(s)","'11,500","'12,429","'13,489",
"'189 Other Salaries and Wages","'176,153","'240,000","'270,000",
"'201 Social Security","'17,217","'24,536","'27,275",
"'204 State Retirement","'27,059","'35,376","'42,214",
"'207 Medical Insurance","'41,324","'44,829","'47,967",
"'335 Maint & Repair Services - Building","'193,673","'316,000","'347,600",
"'336 Maint & Repair Services - Equipment","'216,977","'240,000","'264,000",
"'355 Travel","'4,536","'5,000","'5,000",
"'399 Other Contracted Services","'170,599","'210,000","'231,000",
"'418 Equipment and Machinery Parts","'6,347","'7,000","'10,000",
"'499 Other Supplies and Materials","'0","'1,000","'1,000",
"'701 Administrative Equipment","'0","'110,000","'0",
"'707 Building Improvements","'0","'109,600","'0",
"'717 Maintenance Equipment","'0","'0","'0",
"'718 Motor Vehicles","'40,000","'0","'0",
"'Total Maintenance of Plant","'969,173","'1,424,070","'1,333,258",
"'72710 Transportation","'","'","'",
"'105 Supervisor/Director","'60,750","'65,000","'70,203",
"'142 Mechanic(s)","'78,218","'130,138","'140,000",
"'146 Bus Drivers","'628,911","'730,000","'790,000",
"'161 Secretary(s)","'11,862","'12,970","'13,489",
"'189 Other Salaries and Wages","'3,368","'0","'0",
"'201 Social Security","'57,198","'71,765","'76,612",
"'204 State Retirement","'96,656","'103,473","'91,000",
"'207 Medical Insurance","'89,624","'142,576","'113,000",
"'299 Other Fringe Benefits","'10,565","'37,500","'37,500",
"'335 Maintenance and Repair Services - Building","'0","'5,000","'5,000",
"'338 Maintenance and Repair Services - Vehicles","'14,013","'30,000","'30,000",
"'355 Travel","'171","'2,500","'3,000",
"'399 Other Contracted Services","'38,585","'55,000","'60,000",
"'412 Diesel Fuel","'156,542","'250,000","'220,000",
"'418 Equipment and Machinery Parts","'0","'2,000","'2,000",
"'424 Garage Supplies","'2,386","'3,500","'4,000",
"'425 Gasoline","'39,916","'45,000","'45,000",
"'433 Lubricants","'3,787","'12,000","'12,000",
"'442 Propane","'47,887","'75,000","'75,000",
"'450 Tires and Tubes","'8,123","'30,000","'30,000",
"'453 Vehicles Parts","'46,815","'120,000","'115,000",
"'511 Vehicle and Equipment Insurance","'43,352","'50,000","'50,000",
,,,

'Confidence Scores % (Table Cell)
""'53.95507813","'94.28710938","'94.09179688","'96.43554688",
"'51.36718750","'89.74609375","'89.55078125","'91.74804688",
"'51.07421875","'89.20898438","'89.01367188","'91.21093750",
"'49.75585938","'86.91406250","'86.76757813","'88.91601563",
"'53.75976563","'93.84765625","'93.70117188","'95.99609375",
"'69.58007813","'69.58007813","'69.58007813","'69.58007813",
"'46.99707031","'82.08007813","'81.93359375","'83.93554688",
"'51.66015625","'90.23437500","'90.03906250","'92.28515625",
"'51.46484375","'89.89257813","'89.74609375","'91.94335938",
"'51.46484375","'89.84375000","'89.69726563","'91.89453125",
"'51.46484375","'89.89257813","'89.74609375","'91.94335938",
"'51.41601563","'89.84375000","'89.64843750","'91.84570313",
"'51.51367188","'89.99023438","'89.84375000","'92.04101563",
"'51.26953125","'89.55078125","'89.35546875","'91.55273438",
"'50.92773438","'88.91601563","'88.76953125","'90.91796875",
"'51.61132813","'90.18554688","'89.99023438","'92.23632813",
"'51.56250000","'90.03906250","'89.89257813","'92.08984375",
"'51.31835938","'89.64843750","'89.45312500","'91.65039063",
"'51.66015625","'90.28320313","'90.08789063","'92.33398438",
"'51.41601563","'89.84375000","'89.64843750","'91.84570313",
"'50.97656250","'89.06250000","'88.91601563","'91.06445313",
"'50.19531250","'87.69531250","'87.50000000","'89.64843750",
"'53.61328125","'93.65234375","'93.45703125","'95.75195313",
"'71.38671875","'71.38671875","'71.38671875","'71.38671875",
"'45.82519531","'80.02929688","'79.88281250","'81.83593750",
"'50.48828125","'88.23242188","'88.03710938","'90.23437500",
"'50.63476563","'88.42773438","'88.23242188","'90.42968750",
"'50.39062500","'88.03710938","'87.89062500","'90.03906250",
"'50.43945313","'88.08593750","'87.93945313","'90.08789063",
"'50.97656250","'89.01367188","'88.86718750","'91.01562500",
"'51.07421875","'89.25781250","'89.06250000","'91.25976563",
"'50.92773438","'88.96484375","'88.81835938","'90.96679688",
"'50.78125000","'88.72070313","'88.52539063","'90.72265625",
"'51.75781250","'90.38085938","'90.18554688","'92.43164063",
"'50.87890625","'88.81835938","'88.67187500","'90.82031250",
"'50.39062500","'87.98828125","'87.84179688","'89.99023438",
"'50.24414063","'87.79296875","'87.59765625","'89.74609375",
"'50.48828125","'88.18359375","'87.98828125","'90.18554688",
"'50.39062500","'87.98828125","'87.84179688","'89.99023438",
"'51.41601563","'89.84375000","'89.64843750","'91.84570313",
"'50.48828125","'88.23242188","'88.03710938","'90.23437500",
"'51.51367188","'89.94140625","'89.79492188","'91.99218750",
"'50.34179688","'87.89062500","'87.74414063","'89.89257813",
"'51.61132813","'90.13671875","'89.94140625","'92.18750000",
"'50.58593750","'88.33007813","'88.13476563","'90.33203125",
"'53.12500000","'92.82226563","'92.62695313","'94.87304688",
