"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'45550 Clerk & Master","'95,328","'100,000","'90,000",
"'45560 Juvenile Court Clerk","'0","'6,700","'0",
"'45580 Register","'173,467","'165,000","'160,000",
"'45590 Sheriff","'19,690","'20,000","'20,000",
"'45610 Trustee","'436,525","'422,000","'440,000",
"'TOTAL FEES RECEIVED FROM COUNTY OFFICIALS","'1,208,045","'1,131,700","'1,179,000",
"'46000 STATE OF TENNESSEE","'","'","'",
"'46100 General Government Grants","'","'","'",
"'46110 Juvenile Service Program","'9,000","'9,000","'9,000",
"'Total General Government Grants","'9,000","'9,000","'9,000",
"'46200 Public Safety Grants","'","'","'",
"'46210 Law Enforcement Training Programs","'19,200","'29,000","'29,000",
"'46290 Other Public Safety Grants","'0","'0","'0",
"'46290-TCI Other Public Safety Grants-TN Correction Institute","'0","'0","'0",
"'Total Public Safety Grants","'19,200","'29,000","'29,000",
"'46300 Health and Welfare Grants","'","'","'",
"'46310 Health Department Programs","'260,219","'295,190","'324,190",
"'46390 Other Health and Welfare Grants","'0","'0","'0",
"'Total Health and Welfare Grants","'260,219","'295,190","'324,190",
"'46800 Other State Revenues","'","'","'",
"'46820 Income Tax","'3,405","'10,000","'3,405",
"'46830 Beer Tax","'19,194","'18,000","'19,000",
"'46835 Vehicle Certificates of Title Fees","'7,144","'7,000","'7,000",
"'46840 Alcoholic Beverage Tax","'95,197","'93,000","'95,000",
"'46851 State Revenue Sharing-TVA","'555,572","'554,000","'647,556",
"'46852 State Revenue Sharing-Telecommunications","'66,148","'60,000","'57,000",
"'46855 State Shared Sports Gaming","'20,672","'1,800","'30,000",
"'46915 Contracted Prisoner Boarding","'103,935","'100,000","'150,000",
"'46960 Registrar's Salary Supplement","'11,373","'15,164","'15,164",
"'46980 Other State Grants","'0","'160,000","'400,000",
"'46980-DA2 Other State Grants-Direct Appropriations","'365,217","'0","'0",
"'46980-LIB Other State Grants-Library","'14,040","'4,551","'10,000",
"'46990 Other State Revenues","'4,804","'7,000","'4,000",
"'Total Other State Revenues","'1,266,701","'1,030,515","'1,438,125",
"'TOTAL STATE OF TENNESSEE","'1,555,120","'1,363,705","'1,800,315",
"'47000 FEDERAL GOVERNMENT","'","'","'",
"'47100 Federal Through State","'","'","'",
"'47230 Disaster Relief","'0","'0","'0",
"'47235 Homeland Security Grants","'41,891","'39,727","'41,661",
,,,

'Confidence Scores % (Table Cell)
""'72.85156250","'94.77539063","'94.04296875","'93.06640625",
"'67.87109375","'88.28125000","'87.64648438","'86.66992188",
"'66.21093750","'86.13281250","'85.49804688","'84.57031250",
"'68.35937500","'88.91601563","'88.23242188","'87.30468750",
"'68.01757813","'88.47656250","'87.84179688","'86.86523438",
"'68.01757813","'88.42773438","'87.79296875","'86.81640625",
"'72.80273438","'94.67773438","'93.94531250","'92.96875000",
"'60.83984375","'60.83984375","'60.83984375","'60.83984375",
"'48.14453125","'48.14453125","'48.14453125","'48.14453125",
"'63.81835938","'83.00781250","'82.37304688","'81.49414063",
"'72.70507813","'94.58007813","'93.84765625","'92.87109375",
"'60.10742188","'60.10742188","'60.10742188","'60.10742188",
"'58.88671875","'76.56250000","'75.97656250","'75.19531250",
"'67.77343750","'88.18359375","'87.50000000","'86.57226563",
"'67.43164063","'87.69531250","'87.01171875","'86.08398438",
"'72.60742188","'94.43359375","'93.75000000","'92.72460938",
"'61.66992188","'61.66992188","'61.66992188","'61.66992188",
"'59.47265625","'77.39257813","'76.80664063","'75.97656250",
"'67.48046875","'87.79296875","'87.10937500","'86.18164063",
"'72.80273438","'94.67773438","'93.94531250","'92.96875000",
"'69.58007813","'69.58007813","'69.58007813","'69.58007813",
"'62.20703125","'80.90820313","'80.27343750","'79.39453125",
"'67.57812500","'87.93945313","'87.25585938","'86.32812500",
"'68.16406250","'88.62304688","'87.93945313","'87.01171875",
"'65.86914063","'85.69335938","'85.00976563","'84.13085938",
"'68.26171875","'88.81835938","'88.13476563","'87.20703125",
"'66.69921875","'86.76757813","'86.08398438","'85.15625000",
"'65.77148438","'85.54687500","'84.86328125","'83.98437500",
"'67.77343750","'88.18359375","'87.50000000","'86.57226563",
"'67.33398438","'87.54882813","'86.86523438","'85.93750000",
"'66.06445313","'85.93750000","'85.30273438","'84.37500000",
"'67.23632813","'87.45117188","'86.81640625","'85.83984375",
"'67.18750000","'87.40234375","'86.76757813","'85.79101563",
"'66.21093750","'86.13281250","'85.49804688","'84.57031250",
"'72.11914063","'93.79882813","'93.06640625","'92.08984375",
"'71.63085938","'93.16406250","'92.48046875","'91.50390625",
"'59.71679688","'59.71679688","'59.71679688","'59.71679688",
"'51.56250000","'51.56250000","'51.56250000","'51.56250000",
"'70.01953125","'91.06445313","'90.38085938","'89.40429688",
"'70.80078125","'92.08984375","'91.40625000","'90.42968750",
