"'Account No.","'Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'","'Excess of Estimated Revenue Over (under)","'","'","'",
"'","'Estimated Expenditures","'179,875","'(146,984)","'(448,824)",
"'","'Estimated Beginning Fund Balance July 1","'698,086","'877,961","'700,000",
"'","'Fund Balance Audit Adjustment","'","'","'",
"'","'Estimated Ending Fund Balance June 30","'877,961","'730,977","'251,176",
,,,,

'Confidence Scores % (Table Cell)
""'45.72753906","'54.24804688","'90.23437500","'92.43164063","'93.94531250",
"'40.45410156","'40.45410156","'40.45410156","'40.45410156","'40.45410156",
"'31.22558594","'37.06054688","'61.62109375","'63.13476563","'64.16015625",
"'40.64941406","'40.64941406","'83.74023438","'85.79101563","'87.15820313",
"'26.63574219","'31.61621094","'52.58789063","'53.85742188","'54.73632813",
"'35.88867188","'35.88867188","'54.83398438","'56.15234375","'57.08007813",
