"'Account No.","'Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'508","'Premiums on Corporate Surety Bonds","'0","'2,000","'2,000",
"'524","'In-Service/Staff Developement","'550","'2,500","'3,800",
"'719","'Office Equipment","'2,037","'5,000","'5,000",
"'","'Total Administration","'212,222","'243,962","'319,012",
"'62000","'HIGHWAY AND BRIDGE MAINTENANCE","'","'","'",
"'140","'Salary Supplements","'1,500","'1,500","'1,500",
"'141","'Foremen","'229,805","'293,761","'332,470",
"'143","'Equipment Operators","'312,137","'375,495","'390,000",
"'149","'Laborers","'257,344","'315,000","'426,291",
"'187","'Overtime Pay","'48,328","'50,000","'55,000",
"'188","'Bonus Payment","'25,500","'0","'0",
"'323","'Explosive and Drilling Services","'0","'2,000","'2,000",
"'403","'Asphalt-Cold Mix","'59,786","'100,000","'100,000",
"'405","'Asphalt-Liquid","'142,527","'550,000","'900,000",
"'409","'Crushed Stone","'368,607","'750,000","'750,000",
"'426","'General Construction Materials","'17,575","'25,000","'25,000",
"'436","'Other Road Supplies","'13,445","'55,000","'55,000",
"'438","'Pipe","'63,075","'70,000","'70,000",
"'443","'Road Signs","'9,547","'18,000","'18,000",
"'444","'Salt","'0","'5,000","'6,500",
"'446","'Small Tools","'4,743","'5,000","'5,000",
"'455","'Wood Products","'0","'5,000","'5,000",
"'468","'Chemical","'4,800","'10,000","'8,550",
"'","'Total Highway and Bridge Maintenance","'1,558,719","'2,630,756","'3,150,311",
"'63100","'OPERATION AND MAINTENANCE OF EQUIPMENT","'","'","'",
"'141","'Foremen","'39,938","'42,176","'48,000",
"'142","'Mechanic(s)","'31,463","'32,760","'38,000",
"'187","'Overtime Pay","'5,573","'5,000","'5,000",
"'188","'Bonus Payments","'2,000","'0","'0",
"'329","'Laundry Services","'11,355","'12,000","'12,000",
"'412","'Diesel Fuel","'185,262","'200,000","'250,000",
"'418","'Equipment and Machinery Parts","'113,530","'150,000","'150,000",
"'424","'Garage Supplies","'31,556","'75,000","'75,000",
"'425","'Gasoline","'34,693","'45,000","'45,000",
"'433","'Lubricants","'13,183","'25,000","'25,000",
"'450","'Tires and Tubes","'44,293","'75,000","'75,000",
"'599","'Other Charges","'3,103","'1,500","'1,500",
"'","'Total Operation and Maintenance of Equip","'515,949","'663,436","'724,500",
"'65000","'OTHER CHARGES","'","'","'",
"'307","'Communication","'4,858","'7,500","'7,500",
"'331","'Legal Services","'150","'3,500","'3,500",
"'415","'Electricity","'4,432","'8,000","'8,000",
"'454","'Water and Sewer","'4,454","'6,500","'6,500",
"'505","'Judgments","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'41.50390625","'44.92187500","'92.72460938","'94.92187500","'95.99609375",
"'39.86816406","'43.16406250","'89.11132813","'91.21093750","'92.23632813",
"'38.81835938","'42.01660156","'86.76757813","'88.76953125","'89.79492188",
"'38.37890625","'41.55273438","'85.79101563","'87.79296875","'88.76953125",
"'41.33300781","'44.75097656","'92.38281250","'94.53125000","'95.60546875",
"'54.39453125","'54.39453125","'54.39453125","'54.39453125","'54.39453125",
"'38.01269531","'41.16210938","'84.96093750","'86.96289063","'87.93945313",
"'39.11132813","'42.35839844","'87.45117188","'89.50195313","'90.47851563",
"'39.77050781","'43.06640625","'88.91601563","'90.96679688","'91.99218750",
"'39.08691406","'42.30957031","'87.35351563","'89.40429688","'90.38085938",
"'39.35546875","'42.62695313","'87.98828125","'90.03906250","'91.06445313",
"'39.45312500","'42.70019531","'88.18359375","'90.23437500","'91.25976563",
"'38.79394531","'41.99218750","'86.71875000","'88.72070313","'89.74609375",
"'39.35546875","'42.62695313","'87.98828125","'90.03906250","'91.06445313",
"'38.96484375","'42.16308594","'87.06054688","'89.11132813","'90.08789063",
"'38.98925781","'42.21191406","'87.15820313","'89.20898438","'90.18554688",
"'39.59960938","'42.89550781","'88.52539063","'90.62500000","'91.60156250",
"'38.91601563","'42.13867188","'86.96289063","'89.01367188","'89.99023438",
"'39.45312500","'42.70019531","'88.18359375","'90.23437500","'91.25976563",
"'38.86718750","'42.08984375","'86.86523438","'88.91601563","'89.89257813",
"'38.64746094","'41.84570313","'86.37695313","'88.37890625","'89.40429688",
"'38.94042969","'42.16308594","'87.01171875","'89.06250000","'90.03906250",
"'38.11035156","'41.25976563","'85.20507813","'87.20703125","'88.18359375",
"'38.59863281","'41.77246094","'86.23046875","'88.28125000","'89.25781250",
"'41.25976563","'44.67773438","'92.23632813","'94.38476563","'95.45898438",
"'57.56835938","'57.56835938","'57.56835938","'57.56835938","'57.56835938",
"'36.27929688","'39.25781250","'81.05468750","'82.95898438","'83.88671875",
"'37.81738281","'40.94238281","'84.57031250","'86.52343750","'87.50000000",
"'39.57519531","'42.84667969","'88.42773438","'90.52734375","'91.50390625",
"'38.52539063","'41.69921875","'86.08398438","'88.13476563","'89.11132813",
"'38.96484375","'42.16308594","'87.06054688","'89.11132813","'90.08789063",
"'38.86718750","'42.08984375","'86.86523438","'88.91601563","'89.89257813",
"'39.25781250","'42.50488281","'87.74414063","'89.79492188","'90.82031250",
"'39.30664063","'42.55371094","'87.84179688","'89.89257813","'90.91796875",
"'39.42871094","'42.67578125","'88.13476563","'90.18554688","'91.21093750",
"'39.47753906","'42.72460938","'88.23242188","'90.28320313","'91.30859375",
"'38.35449219","'41.52832031","'85.74218750","'87.74414063","'88.72070313",
"'38.30566406","'38.30566406","'86.18164063","'88.23242188","'89.20898438",
"'40.30761719","'40.30761719","'92.23632813","'94.38476563","'95.45898438",
"'61.76757813","'61.76757813","'61.76757813","'61.76757813","'61.76757813",
"'38.25683594","'38.25683594","'81.98242188","'83.88671875","'84.86328125",
"'44.06738281","'44.06738281","'87.84179688","'89.89257813","'90.91796875",
"'45.80078125","'45.80078125","'90.33203125","'92.43164063","'93.45703125",
"'44.55566406","'44.55566406","'87.30468750","'89.35546875","'90.33203125",
"'41.47949219","'41.47949219","'89.35546875","'91.45507813","'92.48046875",
