"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'499 Other Supplies and Materials","'2,733","'3,000","'3,500",
"'524 Inservice","'394","'3,000","'5,000",
"'599 Other Charges","'1,959","'9,100","'5,000",
"'735 Health Equipment","'6,342","'10,000","'5,500",
"'Total Health Service","'368,927","'390,722","'660,690",
"'72130 Other Student Support","'","'","'",
"'123 Guidance Personnel","'555,374","'620,149","'667,000",
"'189 Other Salaries and Wages","'82,560","'85,440","'96,184",
"'201 Social Security","'47,368","'53,978","'57,566",
"'204 State Retirement","'63,325","'70,559","'57,650",
"'207 Medical Insurance","'66,950","'68,289","'78,790",
"'322 Evaluating and Testing","'20,393","'40,000","'40,000",
"'344 Payments to Schools - Other","'80,000","'80,000","'80,000",
"'355 Travel","'1,851","'5,000","'5,000",
"'399 Other Contracted Services","'16,900","'25,000","'25,000",
"'499 Other Supplies and Materials","'4,000","'4,000","'4,000",
"'524 Inservice","'310","'3,000","'3,000",
"'599 Other Charges","'0","'0","'10,000",
"'Total Other Student Support","'939,031","'1,055,415","'1,124,190",
"'72210 Regular Instruction Program","'","'","'",
"'105 Supervisor/Director","'65,583","'79,600","'45,100",
"'129 Librarians","'410,738","'451,973","'475,000",
"'161 Secretary(s)","'185,699","'216,160","'220,000",
"'162 Clerical Personnel","'189,816","'216,160","'255,000",
"'189 Other Salaries and Wages","'20,138","'19,500","'20,000",
"'201 Social Security","'61,595","'75,230","'78,803",
"'204 State Retirement","'91,295","'98,339","'103,692",
"'207 Medical Insurance","'153,078","'165,995","'177,615",
"'336 Maint and Repair Services - Equipment","'0","'4,000","'4,000",
"'355 Travel","'1,796","'5,000","'5,000",
"'399 Other Contracted Services","'15,008","'16,000","'16,000",
"'432 Library Books and Media","'0","'8,000","'8,000",
"'499 Other Supplies and Materials","'301","'4,000","'6,000",
"'524 In-Service/Staff Development","'276","'2,000","'2,000",
"'722 Regular Instruction Equipment","'0","'10,000","'10,000",
"'790 Other Equipment","'49,477","'50,000","'50,000",
"'Total Regular Instruction Program","'1,244,800","'1,421,957","'1,476,210",
"'72220 Special Education Program","'","'","'",
"'105 Supervisor/Director","'67,859","'76,000","'84,088",
"'189 Other Salaries and Wages","'0","'5,000","'5,000",
"'196 In-Service Training","'594","'2,000","'2,000",
"'201 Social Security","'4,870","'6,350","'6,968",
"'204 State Retirement","'7,597","'8,300","'7,742",
"'207 Medical Insurance","'7,900","'7,900","'8,100",
,,,

'Confidence Scores % (Table Cell)
""'62.84179688","'93.55468750","'93.55468750","'96.38671875",
"'60.00976563","'89.30664063","'89.30664063","'91.99218750",
"'59.76562500","'89.01367188","'89.01367188","'91.65039063",
"'59.91210938","'89.20898438","'89.20898438","'91.89453125",
"'60.20507813","'89.64843750","'89.64843750","'92.33398438",
"'62.84179688","'93.55468750","'93.55468750","'96.38671875",
"'64.40429688","'64.40429688","'64.40429688","'64.40429688",
"'52.44140625","'78.07617188","'78.07617188","'80.37109375",
"'59.91210938","'89.16015625","'89.16015625","'91.84570313",
"'59.32617188","'88.28125000","'88.28125000","'90.91796875",
"'59.42382813","'88.47656250","'88.47656250","'91.11328125",
"'59.37500000","'88.42773438","'88.42773438","'91.06445313",
"'60.00976563","'89.30664063","'89.30664063","'91.99218750",
"'59.37500000","'88.42773438","'88.42773438","'91.06445313",
"'58.34960938","'86.86523438","'86.86523438","'89.45312500",
"'59.86328125","'89.11132813","'89.11132813","'91.79687500",
"'59.81445313","'89.01367188","'89.01367188","'91.69921875",
"'57.91015625","'86.27929688","'86.27929688","'88.81835938",
"'58.88671875","'87.69531250","'87.69531250","'90.33203125",
"'62.64648438","'93.31054688","'93.31054688","'96.09375000",
"'70.80078125","'70.80078125","'70.80078125","'70.80078125",
"'55.17578125","'82.17773438","'82.17773438","'84.61914063",
"'57.27539063","'85.30273438","'85.30273438","'87.84179688",
"'59.37500000","'88.37890625","'88.37890625","'91.01562500",
"'58.49609375","'87.10937500","'87.10937500","'89.69726563",
"'59.13085938","'88.03710938","'88.03710938","'90.62500000",
"'57.61718750","'85.79101563","'85.79101563","'88.33007813",
"'58.83789063","'87.59765625","'87.59765625","'90.23437500",
"'57.56835938","'85.69335938","'85.69335938","'88.28125000",
"'59.32617188","'88.33007813","'88.33007813","'90.96679688",
"'58.44726563","'87.06054688","'87.06054688","'89.64843750",
"'59.13085938","'88.03710938","'88.03710938","'90.62500000",
"'58.83789063","'87.59765625","'87.59765625","'90.23437500",
"'58.83789063","'87.59765625","'87.59765625","'90.23437500",
"'58.98437500","'87.79296875","'87.79296875","'90.42968750",
"'58.15429688","'86.57226563","'86.57226563","'89.16015625",
"'56.05468750","'83.44726563","'83.44726563","'85.93750000",
"'62.50000000","'93.01757813","'93.01757813","'95.80078125",
"'72.02148438","'72.02148438","'72.02148438","'72.02148438",
"'56.73828125","'84.47265625","'84.47265625","'86.96289063",
"'59.57031250","'88.67187500","'88.67187500","'91.30859375",
"'58.20312500","'86.66992188","'86.66992188","'89.25781250",
"'60.25390625","'89.69726563","'89.69726563","'92.38281250",
"'60.30273438","'89.79492188","'89.79492188","'92.48046875",
"'61.91406250","'92.18750000","'92.18750000","'94.92187500",
