"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'709 Data Processing Equipment","'27,473","'29,000","'29,000",
"'719 Office Equipment","'2,051","'5,000","'5,000",
"'719-TCI Office Equipment-TN Correction Institute","'0","'0","'0",
"'Total Jail","'1,115,573","'1,594,675","'1,763,929",
"'54310 Fire Prevention and Control","'","'","'",
"'309 Contracts with Govt Agen","'2,000","'2,000","'2,000",
"'429 Instructional Supplies and Materials","'91","'1,000","'1,500",
"'524 In-Service/Staff Development","'7,862","'10,000","'14,000",
"'790 Other Equipment","'0","'2,550","'3,000",
"'Total Fire Prevention and Control","'9,953","'15,550","'20,500",
"'54320 Rural Fire Protection","'","'","'",
"'316 Contributions","'0","'150,000","'150,000",
"'515 Liability Claim","'12,134","'0","'0",
"'Total Rural Fire Prevention","'12,134","'150,000","'150,000",
"'54410 Civil Defense","'","'","'",
"'105 Supervisor/Director","'62,541","'66,293","'69,608",
"'169 Part-time Personnel","'0","'5,000","'5,000",
"'186 Longevity Pay","'0","'0","'0",
"'187 Overtime Pay","'0","'5,000","'5,000",
"'189 Other Salaries and Wages","'39,057","'45,000","'47,251",
"'320 Dues and Memberships","'520","'1,000","'1,000",
"'330 Operating Lease Payment","'3,400","'3,400","'3,600",
"'336 Maint and Repair Services - Equipment","'4,119","'5,000","'5,000",
"'338 Maint and Repair Services - Vehicles","'9,617","'12,000","'14,000",
"'355 Travel","'0","'1,000","'1,000",
"'399 Other Contracted Services","'2,233","'4,500","'4,500",
"'412 Diesel","'1,381","'4,000","'4,000",
"'425 Gasoline","'7,251","'10,000","'10,000",
"'435 Office Supplies","'837","'1,000","'1,000",
"'442 Propane Gas","'1,099","'3,000","'3,000",
"'451 Uniforms","'648","'1,000","'1,500",
"'499 Other Supplies and Materials","'11,854","'9,690","'11,624",
"'508 Premiums on Corporate Surety Bonds","'50","'50","'50",
"'524 In-Service/Staff Development","'1,435","'2,000","'2,000",
"'599 Other Charges","'0","'1,000","'1,000",
"'708 Communication Equipment","'14,269","'12,000","'22,000",
"'718 Motor Vehicles","'0","'0","'0",
"'790 Other Equipment","'452","'1,000","'6,000",
"'Total Civil Defense","'160,763","'192,933","'218,133",
"'54420 Rescue Squad","'","'","'",
"'316 Contributions","'35,000","'0","'0",
"'515 Liability Claims","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'96.28906250","'94.18945313","'93.70117188","'91.40625000",
"'88.86718750","'86.96289063","'86.52343750","'84.37500000",
"'87.15820313","'85.30273438","'84.86328125","'82.76367188",
"'91.01562500","'89.06250000","'88.62304688","'86.42578125",
"'95.70312500","'93.65234375","'93.16406250","'90.86914063",
"'61.42578125","'61.42578125","'61.42578125","'61.42578125",
"'79.49218750","'77.78320313","'77.39257813","'75.48828125",
"'90.57617188","'88.62304688","'88.13476563","'85.98632813",
"'91.01562500","'89.06250000","'88.62304688","'86.42578125",
"'89.40429688","'87.50000000","'87.06054688","'84.91210938",
"'96.14257813","'94.04296875","'93.60351563","'91.25976563",
"'64.06250000","'64.06250000","'64.06250000","'64.06250000",
"'81.00585938","'79.29687500","'78.85742188","'76.90429688",
"'89.40429688","'87.50000000","'87.06054688","'84.91210938",
"'96.19140625","'94.09179688","'93.60351563","'91.30859375",
"'66.99218750","'66.99218750","'66.99218750","'66.99218750",
"'82.17773438","'80.41992188","'79.98046875","'78.02734375",
"'91.69921875","'89.74609375","'89.25781250","'87.06054688",
"'91.06445313","'89.11132813","'88.67187500","'86.47460938",
"'90.18554688","'88.23242188","'87.79296875","'85.59570313",
"'91.11328125","'89.16015625","'88.72070313","'86.52343750",
"'89.55078125","'87.64648438","'87.15820313","'85.00976563",
"'88.72070313","'86.81640625","'86.37695313","'84.27734375",
"'90.57617188","'88.62304688","'88.13476563","'85.98632813",
"'90.52734375","'88.57421875","'88.08593750","'85.93750000",
"'86.62109375","'84.71679688","'84.32617188","'82.22656250",
"'88.18359375","'86.27929688","'85.83984375","'83.74023438",
"'87.45117188","'85.59570313","'85.15625000","'83.05664063",
"'87.89062500","'85.98632813","'85.54687500","'83.44726563",
"'88.52539063","'86.62109375","'86.18164063","'84.03320313",
"'89.30664063","'87.40234375","'86.96289063","'84.81445313",
"'88.33007813","'86.42578125","'85.98632813","'83.83789063",
"'89.55078125","'87.64648438","'87.15820313","'85.00976563",
"'87.45117188","'85.59570313","'85.15625000","'83.05664063",
"'89.55078125","'87.64648438","'87.15820313","'85.00976563",
"'87.59765625","'85.69335938","'85.25390625","'83.15429688",
"'89.06250000","'87.15820313","'86.71875000","'84.57031250",
"'87.06054688","'85.20507813","'84.76562500","'82.66601563",
"'84.91210938","'83.10546875","'82.66601563","'80.61523438",
"'95.99609375","'93.94531250","'93.45703125","'91.11328125",
"'71.87500000","'71.87500000","'71.87500000","'71.87500000",
"'80.07812500","'78.36914063","'77.92968750","'76.02539063",
"'91.25976563","'89.30664063","'88.86718750","'86.66992188",
