"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'599 Other Charges","'0","'5,000","'5,000",
"'718 Motor Vehicles","'40,000","'55,000","'80,000",
"'729 Transportation Equipment","'477,556","'372,000","'478,500",
"'790 Other Equipment","'19,394","'0","'0",
"'Total Transportation","'1,975,679","'2,405,422","'2,546,304",
"'72810 Central and Other","'","'","'",
"'201 Social Security","'124","'383","'383",
"'210 Unemployment Compensation","'5,513","'35,000","'35,000",
"'299 Other Fringe Benefits","'1,677","'5,000","'5,000",
"'316 Contributions","'140,000","'152,500","'152,500",
"'399 Other Contracted Services","'10,935","'35,000","'35,000",
"'499 Other Supplies and Materials","'20,062","'30,000","'30,000",
"'599 Other Charges","'1,200","'0","'148,980",
"'Total Central and Other","'179,511","'257,883","'406,863",
"'Total Support Services","'10,865,072","'13,318,228","'14,245,626",
"'73000 Operation of Non-Instructional Services","'","'","'",
"'73100 Food Service","'","'","'",
"'105 Supervisor/Director","'22,000","'32,500","'36,000",
"'165 Cafeteria Personnel","'21,600","'0","'0",
"'201 Social Security","'3,335","'2,486","'2,754",
"'204 State Retirement","'4,808","'3,585","'4,262",
"'422 Food Supplies","'16,246","'0","'0",
"'Total Food Service","'67,989","'38,571","'43,016",
"'73300 Community Services","'","'","'",
"'105 Supervisor/Director","'31,894","'34,150","'36,900",
"'189 Other Salaries and Wages","'58,075","'62,667","'68,000",
"'201 Social security","'6,768","'7,406","'8,025",
"'204 State Retirement","'9,683","'10,679","'12,420",
"'207 Medical Insurance","'15,624","'18,911","'19,289",
"'499 Other Supplies and Materials","'5,000","'5,000","'5,000",
"'719 Office Equipment","'300","'5,000","'5,000",
"'Total Community Services","'127,344","'143,813","'154,634",
"'73400 Early Childhood Education","'","'","'",
"'105 Supervisor/Director","'40,720","'42,100","'45,100",
"'116 Teachers","'135,900","'205,805","'218,000",
"'163 Educational Assistants","'62,381","'74,791","'80,000",
"'189 Other Salaries and Wages","'10,293","'12,000","'12,000",
"'198 Non-Certified Substitute Teachers","'640","'5,000","'5,000",
"'201 Social Security","'18,719","'25,604","'27,548",
"'204 Retirement","'31,541","'36,917","'32,000",
,,,

'Confidence Scores % (Table Cell)
""'96.43554688","'94.53125000","'94.09179688","'96.14257813",
"'92.28515625","'90.47851563","'90.03906250","'91.99218750",
"'90.62500000","'88.86718750","'88.47656250","'90.38085938",
"'91.40625000","'89.64843750","'89.20898438","'91.11328125",
"'89.11132813","'87.40234375","'86.96289063","'88.86718750",
"'96.28906250","'94.38476563","'93.94531250","'95.99609375",
"'67.33398438","'67.33398438","'67.33398438","'67.33398438",
"'81.49414063","'79.88281250","'79.54101563","'81.25000000",
"'91.74804688","'89.94140625","'89.55078125","'91.45507813",
"'90.18554688","'88.42773438","'87.98828125","'89.89257813",
"'90.77148438","'89.01367188","'88.62304688","'90.52734375",
"'90.67382813","'88.91601563","'88.52539063","'90.42968750",
"'90.18554688","'88.42773438","'87.98828125","'89.89257813",
"'87.06054688","'85.35156250","'84.96093750","'86.81640625",
"'95.36132813","'93.50585938","'93.06640625","'95.06835938",
"'94.82421875","'93.01757813","'92.57812500","'94.58007813",
"'64.94140625","'64.94140625","'64.94140625","'64.94140625",
"'55.90820313","'55.90820313","'55.90820313","'55.90820313",
"'90.38085938","'88.57421875","'88.18359375","'90.08789063",
"'89.06250000","'87.35351563","'86.91406250","'88.81835938",
"'88.37890625","'86.62109375","'86.23046875","'88.08593750",
"'88.81835938","'87.10937500","'86.71875000","'88.57421875",
"'87.25585938","'85.54687500","'85.15625000","'87.01171875",
"'95.31250000","'93.45703125","'93.01757813","'95.01953125",
"'76.61132813","'76.61132813","'76.61132813","'76.61132813",
"'80.81054688","'79.24804688","'78.90625000","'80.56640625",
"'87.01171875","'85.30273438","'84.91210938","'86.76757813",
"'89.45312500","'87.69531250","'87.30468750","'89.20898438",
"'88.23242188","'86.47460938","'86.08398438","'87.93945313",
"'89.11132813","'87.40234375","'86.96289063","'88.86718750",
"'85.59570313","'83.93554688","'83.54492188","'85.35156250",
"'87.59765625","'85.88867188","'85.49804688","'87.35351563",
"'95.94726563","'94.09179688","'93.65234375","'95.65429688",
"'73.33984375","'73.33984375","'73.33984375","'73.33984375",
"'86.52343750","'84.86328125","'84.47265625","'86.27929688",
"'89.06250000","'87.35351563","'86.91406250","'88.81835938",
"'89.20898438","'87.50000000","'87.06054688","'88.96484375",
"'90.08789063","'88.33007813","'87.89062500","'89.79492188",
"'90.82031250","'89.06250000","'88.67187500","'90.57617188",
"'90.57617188","'88.81835938","'88.42773438","'90.33203125",
"'94.87304688","'93.01757813","'92.62695313","'94.62890625",
