"'Fund","'Estimated Beginning Fund Balance 7/1/2023","'Estimated Revenue","'Transfers In","'Estimated Total Available Funds","'Estimated Expenditures","'Transfers Out","'Total Appropriations","'Estimated Ending Fund Balance 6/30/2024",
"'General","'6,400,000","'14,981,338","'35,000","'21,416,338","'17,592,557","'100,000","'17,692,557","'3,723,781",
"'Drug Control","'54,000","'53,000","'0","'107,000","'10,000","'0","'10,000","'97,000",
"'Adequate Facilities Tax","'771,000","'260,000","'0","'1,031,000","'3,000","'0","'3,000","'1,028,000",
"'American Rescue Plan(SLFRF)","'4,040,000","'609,000","'0","'4,649,000","'3,368,452","'0","'3,368,452","'1,280,548",
"'Highway/Public Works","'2,100,000","'7,698,264","'75,000","'9,873,264","'8,563,423","'143,655","'8,707,078","'1,166,186",
"'General Debt Service","'3,900,000","'2,975,663","'296,975","'7,172,638","'2,796,479","'0","'2,796,479","'4,376,159",
"'General Purpose School","'12,015,861","'30,929,049","'25,000","'42,969,910","'38,703,717","'0","'38,703,717","'4,266,193",
"'Central Cafeteria","'412,524","'2,486,970","'0","'2,899,494","'2,899,494","'0","'2,899,494","'0",
"'Solid Waste Disposal","'700,000","'1,629,300","'0","'2,329,300","'2,078,124","'0","'2,078,124","'251,176",
"'Totals","'30,393,385","'61,622,584","'431,975","'92,447,944","'76,015,246","'243,655","'76,258,901","'16,189,043",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'96.38671875","'93.06640625","'94.48242188","'94.18945313","'95.55664063","'96.14257813","'91.79687500","'94.87304688","'94.09179688",
"'90.38085938","'87.30468750","'88.62304688","'88.33007813","'89.59960938","'90.13671875","'86.08398438","'88.96484375","'88.23242188",
"'88.81835938","'85.79101563","'87.06054688","'86.81640625","'88.03710938","'88.57421875","'84.57031250","'87.40234375","'86.71875000",
"'90.28320313","'87.20703125","'88.52539063","'88.23242188","'89.50195313","'90.03906250","'85.98632813","'88.86718750","'88.13476563",
"'91.01562500","'87.93945313","'89.25781250","'88.96484375","'90.28320313","'90.82031250","'86.71875000","'89.59960938","'88.91601563",
"'90.38085938","'87.30468750","'88.62304688","'88.33007813","'89.59960938","'90.13671875","'86.08398438","'88.96484375","'88.23242188",
"'90.86914063","'87.74414063","'89.06250000","'88.81835938","'90.08789063","'90.62500000","'86.52343750","'89.45312500","'88.72070313",
"'91.11328125","'88.03710938","'89.35546875","'89.06250000","'90.38085938","'90.91796875","'86.81640625","'89.69726563","'88.96484375",
"'87.40234375","'84.42382813","'85.69335938","'85.44921875","'86.66992188","'87.20703125","'83.25195313","'86.08398438","'85.35156250",
"'90.03906250","'86.96289063","'88.28125000","'87.98828125","'89.25781250","'89.79492188","'85.74218750","'88.62304688","'87.93945313",
"'96.09375000","'92.82226563","'94.18945313","'93.89648438","'95.26367188","'95.84960938","'91.50390625","'94.58007813","'93.79882813",
