"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'204 State Retirement","'65,590","'74,183","'70,559",
"'207 Medical Insurance","'65,000","'66,950","'68,289",
"'322 Evaluating and Testing","'6,655","'40,000","'40,000",
"'344 Payments to Schools - Other","'80,000","'80,000","'80,000",
"'355 Travel","'2,343","'3,000","'5,000",
"'399 Other Contracted Services","'23,000","'25,000","'25,000",
"'499 Other Supplies and Materials","'3,998","'4,000","'4,000",
"'524 Inservice","'0","'3,000","'3,000",
"'Total Other Student Support","'943,085","'1,020,144","'1,055,415",
"'72210 Regular Instruction Program","'","'","'",
"'105 Supervisor/Director","'71,070","'71,970","'79,600",
"'129 Librarians","'395,670","'430,000","'451,973",
"'161 Secretary(s)","'200,206","'200,000","'216,160",
"'162 Clerical Personnel","'188,370","'200,000","'216,160",
"'189 Other Salaries and Wages","'0","'20,000","'19,500",
"'201 Social Security","'60,931","'70,531","'75,230",
"'204 State Retirement","'86,046","'101,693","'98,339",
"'207 Medical Insurance","'153,288","'162,740","'165,995",
"'336 Maint and Repair Services - Equipment","'0","'2,500","'4,000",
"'355 Travel","'791","'5,000","'5,000",
"'399 Other Contracted Services","'12,733","'15,000","'16,000",
"'432 Library Books and Media","'6,360","'4,000","'8,000",
"'499 Other Supplies and Materials","'675","'3,600","'4,000",
"'524 In-Service/Staff Development","'25","'2,000","'2,000",
"'722 Regular Instruction Equipment","'0","'8,000","'10,000",
"'790 Other Equipment","'41,606","'50,000","'50,000",
"'Total Regular Instruction Program","'1,217,771","'1,347,034","'1,421,957",
"'72215 Alternative Instruction Program","'","'","'",
"'355 Travel","'0","'0","'0",
"'Total Alternative Instruction Program","'0","'0","'0",
"'72220 Special Education Program","'","'","'",
"'105 Supervisor/Director","'75,035","'76,691","'76,000",
"'189 Other Salaries and Wages","'1,350","'5,000","'5,000",
"'196 In-Service Training","'1,415","'3,500","'2,000",
"'201 Social Security","'5,822","'6,517","'6,350",
"'204 State Retirement","'8,844","'9,397","'8,300",
"'207 Medical Insurance","'7,680","'7,900","'7,900",
"'336 Maint and Repair Services - Equipment","'2,786","'5,000","'5,000",
"'355 Travel","'5,774","'7,500","'7,500",
"'524 In-Service Training","'0","'0","'7,000",
"'Total Special Education Program","'108,706","'121,505","'125,050",
"'72230 Career and Technical Education Program","'","'","'",
"'105 Supervisor/Director","'79,520","'81,320","'83,960",
"'189 Other Salaries and Wages","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'52.05078125","'93.79882813","'95.06835938","'96.72851563",
"'48.38867188","'87.20703125","'88.37890625","'89.99023438",
"'48.09570313","'86.66992188","'87.84179688","'89.40429688",
"'50.34179688","'90.77148438","'91.94335938","'93.60351563",
"'50.00000000","'90.13671875","'91.35742188","'92.96875000",
"'48.85253906","'88.08593750","'89.25781250","'90.82031250",
"'50.53710938","'91.06445313","'92.28515625","'93.94531250",
"'49.19433594","'88.67187500","'89.84375000","'91.45507813",
"'47.43652344","'85.49804688","'86.66992188","'88.18359375",
"'51.80664063","'93.35937500","'94.58007813","'96.28906250",
"'63.86718750","'63.86718750","'63.86718750","'63.86718750",
"'39.79492188","'71.72851563","'72.65625000","'73.97460938",
"'50.00000000","'90.13671875","'91.35742188","'92.96875000",
"'50.39062500","'90.82031250","'91.99218750","'93.65234375",
"'48.31542969","'87.10937500","'88.23242188","'89.84375000",
"'50.24414063","'90.57617188","'91.79687500","'93.40820313",
"'49.41406250","'89.06250000","'90.28320313","'91.89453125",
"'49.34082031","'88.96484375","'90.13671875","'91.74804688",
"'50.34179688","'90.72265625","'91.89453125","'93.55468750",
"'48.87695313","'88.08593750","'89.30664063","'90.86914063",
"'48.87695313","'88.08593750","'89.30664063","'90.86914063",
"'49.78027344","'89.74609375","'90.91796875","'92.52929688",
"'48.70605469","'87.79296875","'88.96484375","'90.52734375",
"'49.51171875","'89.20898438","'90.42968750","'92.04101563",
"'49.21875000","'88.72070313","'89.89257813","'91.50390625",
"'47.68066406","'85.93750000","'87.06054688","'88.62304688",
"'47.65625000","'85.88867188","'87.01171875","'88.57421875",
"'51.70898438","'93.16406250","'94.38476563","'96.09375000",
"'51.46484375","'51.46484375","'51.46484375","'51.46484375",
"'28.97949219","'52.24609375","'52.92968750","'53.90625000",
"'51.56250000","'92.91992188","'94.18945313","'95.84960938",
"'58.98437500","'58.98437500","'58.98437500","'58.98437500",
"'37.62207031","'67.82226563","'68.75000000","'69.97070313",
"'49.36523438","'89.01367188","'90.18554688","'91.79687500",
"'49.31640625","'88.91601563","'90.08789063","'91.69921875",
"'48.90136719","'88.13476563","'89.35546875","'90.91796875",
"'49.34082031","'88.96484375","'90.13671875","'91.74804688",
"'49.73144531","'89.64843750","'90.82031250","'92.43164063",
"'49.21875000","'88.72070313","'89.89257813","'91.50390625",
"'49.38964844","'89.01367188","'90.23437500","'91.84570313",
"'48.12011719","'86.71875000","'87.89062500","'89.45312500",
"'51.56250000","'92.96875000","'94.23828125","'95.89843750",
"'53.51562500","'53.51562500","'53.51562500","'53.51562500",
"'38.67187500","'69.72656250","'70.65429688","'71.92382813",
"'50.97656250","'91.89453125","'93.11523438","'94.77539063",
