"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'ESTIMATED REVENUES","'","'","'",
"'40000","'LOCAL TAXES","'","'","'",
"'40100","'County Property Taxes","'","'","'",
"'40110","'Current Property Taxes","'135,837","'82,040","'82,069",
"'40120","'Trustee's Collection-Prior Year","'3,385","'5,000","'3,500",
"'40125","'Trustee's Collection-Bankruptcy","'40","'0","'100",
"'40130","'Circuit/Clerk & Master Coll-Prior Yea","'2,427","'1,500","'1,500",
"'40140","'Interest & Penalty","'727","'1,000","'500",
"'40161","'Payments in lieu of Taxes-TVA","'149","'250","'150",
"'","'Total County Property Taxes","'142,565","'89,790","'87,819",
"'40200","'County Local Option Taxes","'","'","'",
"'40210","'Local Option Sales Taxes","'1,470,715","'1,300,000","'1,600,000",
"'40240","'Wheel Tax","'815,338","'780,000","'804,000",
"'40270","'Business Tax","'1,544","'2,000","'2,000",
"'","'Total County Local Option Taxes","'2,287,597","'2,082,000","'2,406,000",
"'","'Total Local Taxes","'2,430,162","'2,171,790","'2,493,819",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'14,356","'21,000","'6,500",
"'","'Total Recurring Items","'14,356","'21,000","'6,500",
"'44500","'Nonrecurring Items","'","'","'",
"'44990","'Other Local Revenue","'0","'0","'0",
"'","'Total Nonrecurring Items","'0","'0","'0",
"'","'Total Other Local Revenues","'14,356","'21,000","'6,500",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46800","'Other State Revenues","'","'","'",
"'46851","'State Revenue Sharing-TVA","'9,418","'9,418","'9,418",
"'","'Total State of Tennessee","'9,418","'9,418","'9,418",
"'48000","'OTHER GOVERNMENTS AND CITIZENS","'GROUPS","'","'",
"'48100","'Other Governments","'","'","'",
"'48130","'Contributions","'163,284","'163,284","'0",
"'","'Total Other Governments and Citize","'163,284","'163,284","'0",
,,,,

'Confidence Scores % (Table Cell)
""'43.11523438","'52.49023438","'91.01562500","'94.04296875","'94.43359375",
"'74.56054688","'74.56054688","'74.56054688","'74.56054688","'74.56054688",
"'45.50781250","'45.50781250","'45.50781250","'45.50781250","'45.50781250",
"'39.08691406","'39.08691406","'39.08691406","'39.08691406","'39.08691406",
"'38.76953125","'47.19238281","'81.83593750","'84.57031250","'84.96093750",
"'40.69824219","'49.53613281","'85.93750000","'88.76953125","'89.20898438",
"'40.35644531","'49.12109375","'85.20507813","'88.03710938","'88.42773438",
"'39.16015625","'47.65625000","'82.66601563","'85.40039063","'85.79101563",
"'39.06250000","'47.55859375","'82.47070313","'85.20507813","'85.59570313",
"'39.40429688","'47.94921875","'83.15429688","'85.93750000","'86.32812500",
"'41.30859375","'41.30859375","'90.67382813","'93.70117188","'94.14062500",
"'52.24609375","'52.24609375","'52.24609375","'52.24609375","'52.24609375",
"'31.88476563","'38.79394531","'67.28515625","'69.53125000","'69.87304688",
"'39.08691406","'47.58300781","'82.51953125","'85.25390625","'85.64453125",
"'38.69628906","'47.09472656","'81.68945313","'84.37500000","'84.76562500",
"'41.21093750","'41.21093750","'89.99023438","'93.01757813","'93.40820313",
"'41.40625000","'41.40625000","'89.11132813","'92.04101563","'92.48046875",
"'57.27539063","'57.27539063","'57.27539063","'57.27539063","'57.27539063",
"'37.98828125","'37.98828125","'37.98828125","'37.98828125","'37.98828125",
"'35.79101563","'43.55468750","'75.53710938","'78.07617188","'78.41796875",
"'41.30859375","'41.30859375","'90.57617188","'93.55468750","'93.99414063",
"'48.53515625","'48.53515625","'48.53515625","'48.53515625","'48.53515625",
"'31.00585938","'37.74414063","'65.42968750","'67.62695313","'67.91992188",
"'42.30957031","'51.51367188","'89.35546875","'92.28515625","'92.72460938",
"'41.87011719","'50.97656250","'88.37890625","'91.30859375","'91.74804688",
"'54.19921875","'54.19921875","'54.19921875","'54.19921875","'54.19921875",
"'40.64941406","'40.64941406","'40.64941406","'40.64941406","'40.64941406",
"'35.57128906","'43.31054688","'75.09765625","'77.58789063","'77.92968750",
"'41.40625000","'41.40625000","'89.06250000","'91.99218750","'92.43164063",
"'48.43750000","'48.43750000","'48.43750000","'48.43750000","'48.43750000",
"'38.91601563","'38.91601563","'38.91601563","'38.91601563","'38.91601563",
"'28.32031250","'34.47265625","'59.76562500","'61.76757813","'62.06054688",
"'42.89550781","'52.19726563","'90.57617188","'93.55468750","'93.99414063",
