"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'82300 Other Debt Service","'","'","'",
"'82330 Education","'","'","'",
"'620 Debt Service Contribution to Primary Governm","'163,284","'0","'0",
"'Total Regular Capital Outlay","'163,284","'0","'0",
"'Total Estimated Expenditures","'28,746,142","'32,869,575","'34,751,219",
"'99000 ESTIMATED OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'0","'165,000","'0",
"'Total Estimated Other Uses","'0","'165,000","'0",
"'Total Estimated Expenditures and Other Uses","'28,746,142","'33,034,575","'34,751,219",
"'Excess of Estimated Revenues Over (Under) Estimated Expenditures","'2,123,586","'(3,597,057)","'(4,713,660)",
"'Estimated Beginning Fund Balances July 1","'9,372,445","'11,496,031","'11,658,580",
"'Fund Balance Audit Adjustment Estimated Ending Fund Balances June 30","'11,496,031","'7,898,974","'6,944,920",
,,,

'Confidence Scores % (Table Cell)
""'78.07617188","'91.74804688","'92.13867188","'95.65429688",
"'55.81054688","'55.81054688","'55.81054688","'55.81054688",
"'39.79492188","'39.79492188","'39.79492188","'39.79492188",
"'66.30859375","'77.88085938","'78.22265625","'81.20117188",
"'75.14648438","'88.28125000","'88.67187500","'92.04101563",
"'76.95312500","'90.42968750","'90.82031250","'94.28710938",
"'58.59375000","'58.59375000","'58.59375000","'58.59375000",
"'39.33105469","'39.33105469","'39.33105469","'39.33105469",
"'51.36718750","'60.35156250","'60.59570313","'62.93945313",
"'75.43945313","'88.67187500","'89.01367188","'92.43164063",
"'75.29296875","'88.47656250","'88.86718750","'92.23632813",
"'36.23046875","'42.57812500","'42.74902344","'44.38476563",
"'70.70312500","'83.05664063","'83.39843750","'86.57226563",
"'35.10742188","'41.23535156","'41.40625000","'42.99316406",
