"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'140 Salary Supplement","'7,387","'9,000","'7,500",
"'161 Secretary","'30,002","'30,913","'32,150",
"'162 Clerical Personnel","'85,838","'88,502","'92,042",
"'169 Part-Time Personnel","'15,766","'15,000","'15,000",
"'186 Longevity Pay","'6,500","'7,400","'7,900",
"'317 Data Processing Services","'25,197","'25,000","'28,535",
"'355 Travel","'2,046","'2,500","'4,000",
"'435 Office Supplies","'3,325","'3,750","'3,000",
"'524 In-Service/Staff Development","'1,160","'1,100","'1,400",
"'719 Office Equipment","'2,024","'2,500","'3,000",
"'Total County Clerk","'291,388","'298,764","'314,651",
"'Total Finance","'1,038,529","'1,100,140","'1,170,346",
"'53000 ADMINISTRATION OF JUSTICE","'","'","'",
"'53100 Circuit Court","'","'","'",
"'101 County Official","'80,668","'80,668","'86,395",
"'106 Deputies","'156,628","'142,224","'147,914",
"'169 Part-time Personnel","'7,336","'10,000","'10,000",
"'186 Longevity Pay","'7,800","'5,400","'5,800",
"'188 Bonus Payments","'0","'0","'0",
"'189 Other Salaries and Wages","'26,928","'30,000","'31,201",
"'194 Jury & Witness Fees","'1,132","'5,000","'6,500",
"'317 Data Processing Services","'21,038","'22,102","'23,688",
"'332 Legal Notices, Recording & Court Costs","'269","'600","'600",
"'337 Maint and Repair Services - Equipment","'1,773","'3,000","'3,500",
"'355 Travel","'0","'100","'100",
"'399 Other Contracted Services","'800","'0","'800",
"'435 Office Supplies","'4,656","'6,000","'6,000",
"'508 Premiums on Corporate Surety Bonds","'100","'250","'200",
"'719 Office Equipment","'4,006","'7,000","'8,000",
"'Total Circuit Court","'313,134","'312,344","'330,698",
"'53300 General Sessions Court","'","'","'",
"'102 Judge","'117,673","'119,085","'123,848",
"'123 Guidance Personnel","'55,271","'56,950","'59,228",
"'161 Secretary","'22,719","'23,409","'25,409",
"'169 Part-time Personnel","'1,959","'8,352","'8,352",
"'186 Longevity Pay","'2,800","'3,000","'3,200",
"'355 Travel","'0","'3,000","'3,000",
"'399 Other Contracted Services","'493","'6,600","'6,600",
"'432 Library Books","'1,464","'1,400","'1,750",
"'435 Office Supplies","'1,320","'1,750","'1,750",
"'524 In-Service/Staff Development","'475","'1,500","'1,500",
"'719 Office Equipment","'2,041","'2,500","'2,500",
"'Total General Sessions Court","'206,215","'227,546","'237,137",
,,,

'Confidence Scores % (Table Cell)
""'87.30468750","'92.38281250","'93.60351563","'94.92187500",
"'83.34960938","'88.18359375","'89.35546875","'90.62500000",
"'82.66601563","'87.45117188","'88.62304688","'89.89257813",
"'84.76562500","'89.69726563","'90.86914063","'92.18750000",
"'85.49804688","'90.47851563","'91.69921875","'92.96875000",
"'84.32617188","'89.20898438","'90.42968750","'91.69921875",
"'85.44921875","'90.42968750","'91.65039063","'92.91992188",
"'85.05859375","'89.99023438","'91.21093750","'92.52929688",
"'85.54687500","'90.52734375","'91.74804688","'93.01757813",
"'83.98437500","'88.86718750","'90.03906250","'91.30859375",
"'83.10546875","'87.93945313","'89.11132813","'90.38085938",
"'88.18359375","'93.31054688","'94.53125000","'95.89843750",
"'87.74414063","'92.82226563","'94.09179688","'95.41015625",
"'66.89453125","'66.89453125","'66.89453125","'66.89453125",
"'56.20117188","'56.20117188","'56.20117188","'56.20117188",
"'84.27734375","'89.16015625","'90.38085938","'91.65039063",
"'85.64453125","'90.62500000","'91.84570313","'93.11523438",
"'85.69335938","'90.72265625","'91.89453125","'93.21289063",
"'85.83984375","'90.82031250","'92.04101563","'93.35937500",
"'83.49609375","'88.33007813","'89.50195313","'90.77148438",
"'84.13085938","'89.01367188","'90.23437500","'91.50390625",
"'83.98437500","'88.91601563","'90.08789063","'91.35742188",
"'83.98437500","'88.86718750","'90.03906250","'91.30859375",
"'84.42382813","'89.35546875","'90.57617188","'91.84570313",
"'83.20312500","'88.03710938","'89.25781250","'90.52734375",
"'83.39843750","'88.23242188","'89.40429688","'90.67382813",
"'84.52148438","'89.45312500","'90.62500000","'91.94335938",
"'83.93554688","'88.81835938","'89.99023438","'91.25976563",
"'83.74023438","'88.62304688","'89.79492188","'91.06445313",
"'78.90625000","'83.49609375","'84.61914063","'85.83984375",
"'88.08593750","'93.21289063","'94.43359375","'95.80078125",
"'69.77539063","'69.77539063","'69.77539063","'69.77539063",
"'74.51171875","'78.85742188","'79.88281250","'81.00585938",
"'83.54492188","'88.42773438","'89.59960938","'90.86914063",
"'84.37500000","'89.25781250","'90.47851563","'91.74804688",
"'84.71679688","'89.64843750","'90.82031250","'92.13867188",
"'84.22851563","'89.11132813","'90.33203125","'91.60156250",
"'83.64257813","'88.52539063","'89.69726563","'90.96679688",
"'83.34960938","'88.18359375","'89.35546875","'90.62500000",
"'84.32617188","'89.20898438","'90.42968750","'91.69921875",
"'84.61914063","'89.55078125","'90.72265625","'92.04101563",
"'84.61914063","'89.55078125","'90.72265625","'92.04101563",
"'85.05859375","'89.99023438","'91.21093750","'92.52929688",
"'88.72070313","'93.89648438","'95.16601563","'96.53320313",
