"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'Total Education","'132,071","'378,108","'338,009",
"'82300","'OTHER DEBT SERVICE","'","'","'",
"'82310","'General Government","'","'","'",
"'510","'Trustees Commission","'25,769","'45,000","'45,000",
"'699","'Other Debt Service","'27,780","'26,359","'24,026",
"'","'Total General Government","'53,549","'71,359","'69,026",
"'82320","'Highway and Streets","'","'","'",
"'699","'Other Debt Service","'6,746","'0","'0",
"'","'Total Highways and Streets","'6,746","'0","'0",
"'82330","'Education","'","'","'",
"'699","'Other Debt Service","'67,834","'61,416","'54,591",
"'","'Total Education","'67,834","'61,416","'54,591",
"'","'Total Interest Payments","'384,330","'746,493","'689,686",
"'","'Total Principal and Interest Payment","'3,265,140","'3,014,101","'3,101,565",
"'99000","'OTHER USES","'","'","'",
"'99100","'Transfers Out","'","'","'",
"'590","'Transfers to Other Funds","'0","'0","'0",
"'","'Total Estimated Other Uses","'0","'0","'0",
"'","'Total Estimated Expenditures and O","'3,265,140","'3,014,101","'3,101,565",
"'","'Excess of Estimated Revenues and","'Other Sources","'Over","'",
"'","'(Under) Estimated Expenditures anc","'699,691","'(182,521)","'(103,173)",
"'","'Estimated Beginning Fund Balance,","'1,921,366","'2,621,057","'3,200,000",
"'","'Fund Balance Audit Adjustment Estimated Ending fund Balance, Jun","'2,621,057","'2,438,536","'3,096,827",
,,,,

'Confidence Scores % (Table Cell)
""'50.83007813","'69.58007813","'89.79492188","'91.60156250","'93.35937500",
"'47.07031250","'64.40429688","'83.15429688","'84.81445313","'86.47460938",
"'43.79882813","'59.91210938","'77.34375000","'78.90625000","'80.41992188",
"'29.34570313","'40.18554688","'51.85546875","'52.88085938","'53.90625000",
"'44.16503906","'60.44921875","'78.02734375","'79.58984375","'81.15234375",
"'46.87500000","'64.16015625","'82.76367188","'84.47265625","'86.08398438",
"'50.63476563","'69.33593750","'89.45312500","'91.25976563","'93.01757813",
"'40.20996094","'55.02929688","'71.04492188","'72.46093750","'73.82812500",
"'32.39746094","'44.36035156","'57.22656250","'58.39843750","'59.52148438",
"'50.43945313","'69.04296875","'89.11132813","'90.91796875","'92.67578125",
"'38.40332031","'52.53906250","'67.82226563","'69.18945313","'70.55664063",
"'32.03125000","'43.82324219","'56.54296875","'57.71484375","'58.83789063",
"'49.38964844","'67.57812500","'87.20703125","'89.01367188","'90.72265625",
"'49.04785156","'67.13867188","'86.66992188","'88.37890625","'90.08789063",
"'44.43359375","'60.79101563","'78.46679688","'80.07812500","'81.59179688",
"'43.40820313","'43.40820313","'43.40820313","'43.40820313","'43.40820313",
"'23.29101563","'31.88476563","'41.13769531","'41.96777344","'42.77343750",
"'35.30273438","'48.31542969","'62.35351563","'63.62304688","'64.84375000",
"'48.53515625","'66.45507813","'85.74218750","'87.50000000","'89.16015625",
"'49.90234375","'68.26171875","'88.13476563","'89.89257813","'91.65039063",
"'23.54736328","'32.22656250","'41.60156250","'42.43164063","'43.26171875",
"'39.69726563","'54.34570313","'70.11718750","'71.53320313","'72.90039063",
"'43.23730469","'59.17968750","'76.36718750","'77.92968750","'79.39453125",
"'24.09667969","'32.98339844","'42.55371094","'43.40820313","'44.26269531",
