"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'201 Social Security","'6,011","'6,221","'6,423",
"'204 State Retirement","'7,976","'8,970","'8,396",
"'207 Medical Insurance","'7,680","'7,900","'7,900",
"'307 Communication","'0","'0","'0",
"'336 Maint and Repair Services - Equipment","'1,220","'3,000","'3,000",
"'355 Travel","'988","'2,000","'2,000",
"'499 Other Supplies and Materials","'703","'3,000","'3,000",
"'Total Vocational Education Program","'104,098","'112,411","'114,679",
"'72250 Technology","'","'","'",
"'105 Supervisor","'60,000","'63,000","'68,300",
"'189 Other Salaries and Wages","'4,485","'7,000","'10,000",
"'201 Social Security","'4,697","'5,355","'5,990",
"'204 State Retirement","'7,394","'8,312","'8,636",
"'207 Medical Insurance","'7,900","'7,900","'7,900",
"'336 Maint and Repair Services - Equipment","'2,969","'4,000","'10,000",
"'350 Internet Connectivity","'0","'80,000","'100,000",
"'355 Travel","'0","'2,000","'2,000",
"'399 Other Contracted Services","'154,031","'75,000","'100,000",
"'499 Other Supplies and Materials","'1,413","'2,000","'2,000",
"'722 Regular Instruction Equipment","'67,308","'85,000","'197,000",
"'Total Technology","'310,197","'339,567","'511,826",
"'72290 Other Programs","'","'","'",
"'215 On-Behalf Payments for OPEB","'63,957","'35,000","'35,000",
"'Total Other Programs","'63,957","'35,000","'35,000",
"'72310 Board of Education","'","'","'",
"'191 Board and Committee Members Fees","'7,365","'13,000","'13,000",
"'196 In-Service Training","'400","'12,000","'12,000",
"'201 Social Security","'518","'1,913","'1,913",
"'305 Audit Services","'27,500","'35,000","'35,000",
"'320 Dues and Memberships","'17,975","'32,000","'32,000",
"'331 Legal Services","'18,850","'40,000","'40,000",
"'399 Other Contracted Services","'0","'0","'5,000",
"'506 Liability Insurance","'68,610","'150,000","'145,000",
"'510 Trustees Commission","'128,476","'125,000","'140,000",
"'513 Workers Compensation Insurance","'155,576","'250,000","'250,000",
"'534 Refund to Applicant for Criminal Investigation","'0","'1,000","'1,000",
"'599 Other Charges","'9,447","'10,000","'10,000",
"'Total Board of Education","'434,717","'669,913","'684,913",
"'72320 Director of Schools","'","'","'",
"'101 County Official/Administrative Officer","'110,000","'113,000","'115,000",
"'117 Career Ladder Program","'1,000","'1,000","'1,000",
"'161 Secretary(s)","'88,273","'90,000","'96,800",
"'201 Social Security","'15,030","'15,606","'16,279",
"'204 State Retirement","'23,526","'22,501","'23,472",
,,,

'Confidence Scores % (Table Cell)
""'79.10156250","'94.38476563","'93.75000000","'96.72851563",
"'74.70703125","'89.16015625","'88.57421875","'91.35742188",
"'73.68164063","'87.93945313","'87.35351563","'90.08789063",
"'75.83007813","'90.52734375","'89.89257813","'92.72460938",
"'75.39062500","'89.94140625","'89.35546875","'92.18750000",
"'75.39062500","'89.94140625","'89.35546875","'92.18750000",
"'73.29101563","'87.50000000","'86.91406250","'89.64843750",
"'75.19531250","'89.74609375","'89.11132813","'91.94335938",
"'78.80859375","'94.04296875","'93.45703125","'96.38671875",
"'70.99609375","'70.99609375","'70.99609375","'70.99609375",
"'62.40234375","'74.46289063","'73.97460938","'76.31835938",
"'74.36523438","'88.76953125","'88.13476563","'90.91796875",
"'75.78125000","'90.42968750","'89.84375000","'92.62695313",
"'74.21875000","'88.57421875","'87.98828125","'90.72265625",
"'74.21875000","'88.57421875","'87.98828125","'90.72265625",
"'75.48828125","'90.08789063","'89.50195313","'92.28515625",
"'73.63281250","'87.84179688","'87.25585938","'90.03906250",
"'74.85351563","'89.30664063","'88.72070313","'91.50390625",
"'73.48632813","'87.74414063","'87.15820313","'89.89257813",
"'71.43554688","'85.25390625","'84.66796875","'87.35351563",
"'73.63281250","'87.84179688","'87.25585938","'90.03906250",
"'78.80859375","'94.04296875","'93.45703125","'96.38671875",
"'63.23242188","'63.23242188","'63.23242188","'63.23242188",
"'51.85546875","'61.86523438","'61.47460938","'63.37890625",
"'78.56445313","'93.75000000","'93.11523438","'96.04492188",
"'72.94921875","'72.94921875","'72.94921875","'72.94921875",
"'66.40625000","'79.29687500","'78.75976563","'81.20117188",
"'73.97460938","'88.28125000","'87.69531250","'90.42968750",
"'73.68164063","'87.89062500","'87.30468750","'90.08789063",
"'74.51171875","'88.91601563","'88.33007813","'91.11328125",
"'74.07226563","'88.42773438","'87.84179688","'90.57617188",
"'74.80468750","'89.25781250","'88.67187500","'91.45507813",
"'74.31640625","'88.72070313","'88.08593750","'90.86914063",
"'73.09570313","'87.20703125","'86.62109375","'89.35546875",
"'75.04882813","'89.55078125","'88.96484375","'91.74804688",
"'74.65820313","'89.11132813","'88.52539063","'91.30859375",
"'74.07226563","'88.42773438","'87.84179688","'90.57617188",
"'75.00000000","'89.50195313","'88.91601563","'91.69921875",
"'78.90625000","'94.14062500","'93.50585938","'96.48437500",
"'67.67578125","'67.67578125","'67.67578125","'67.67578125",
"'67.96875000","'81.10351563","'80.56640625","'83.10546875",
"'75.48828125","'90.08789063","'89.50195313","'92.28515625",
"'74.36523438","'88.76953125","'88.13476563","'90.91796875",
"'76.85546875","'91.74804688","'91.11328125","'93.99414063",
"'78.61328125","'93.84765625","'93.21289063","'96.14257813",
