"'Account No.","'Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'62000","'HIGHWAY AND BRIDGE MAINTENANCE","'","'","'",
"'140","'Salary Supplements","'1,500","'1,500","'1,500",
"'141","'Foremen","'223,564","'293,761","'293,761",
"'143","'Equipment Operators","'307,015","'375,495","'375,495",
"'149","'Laborers","'242,705","'302,230","'315,000",
"'187","'Overtime Pay","'32,765","'50,000","'50,000",
"'188","'Bonus Payment","'0","'0","'0",
"'323","'Explosive and Drilling Services","'0","'2,000","'2,000",
"'403","'Asphalt-Cold Mix","'33,811","'75,000","'100,000",
"'405","'Asphalt-Liquid","'95,448","'450,000","'550,000",
"'409","'Crushed Stone","'120,266","'400,000","'750,000",
"'426","'General Construction Materials","'1,858","'15,000","'25,000",
"'436","'Other Road Supplies","'32,585","'45,000","'55,000",
"'438","'Pipe","'22,555","'30,000","'70,000",
"'443","'Road Signs","'8,773","'18,000","'18,000",
"'444","'Salt","'0","'5,000","'5,000",
"'446","'Small Tools","'2,113","'8,000","'5,000",
"'455","'Wood Products","'1,247","'5,000","'5,000",
"'468","'Chemical","'4,800","'10,000","'10,000",
"'","'Total Highway and Bridge Maintenance","'1,131,005","'2,085,986","'2,630,756",
"'63100","'OPERATION AND MAINTENANCE OF EQUIPMENT","'","'","'",
"'141","'Foremen","'37,815","'39,992","'42,176",
"'142","'Mechanic(s)","'29,270","'31,860","'32,760",
"'187","'Overtime Pay","'5,018","'5,000","'5,000",
"'188","'Bonus Payments","'0","'0","'0",
"'329","'Laundry Services","'11,401","'12,000","'12,000",
"'412","'Diesel Fuel","'92,609","'150,000","'200,000",
"'418","'Equipment and Machinery Parts","'77,471","'150,000","'150,000",
"'424","'Garage Supplies","'39,046","'50,000","'75,000",
"'425","'Gasoline","'15,818","'38,500","'45,000",
"'433","'Lubricants","'12,169","'20,000","'25,000",
"'450","'Tires and Tubes","'54,409","'50,000","'75,000",
"'599","'Other Charges","'100","'1,500","'1,500",
"'","'Total Operation and Maintenance of Equip","'375,126","'548,852","'663,436",
"'65000","'OTHER CHARGES","'","'","'",
"'307","'Communication","'3,141","'7,500","'7,500",
"'331","'Legal Services","'0","'3,500","'3,500",
"'415","'Electricity","'4,400","'8,000","'8,000",
"'454","'Water and Sewer","'4,001","'6,500","'6,500",
"'505","'Judgments","'0","'0","'0",
"'506","'Liability Insurance","'47,858","'60,000","'60,000",
"'510","'Trustees Commission","'32,741","'35,000","'35,000",
"'","'Total Other Charges","'92,141","'120,500","'120,500",
"'66000","'EMPLOYEE BENEFITS","'","'","'",
"'201","'Social Security","'74,902","'114,600","'114,600",
,,,,

'Confidence Scores % (Table Cell)
""'43.67675781","'50.48828125","'92.04101563","'94.58007813","'96.72851563",
"'56.68945313","'56.68945313","'56.68945313","'56.68945313","'56.68945313",
"'42.60253906","'49.26757813","'89.79492188","'92.28515625","'94.38476563",
"'42.11425781","'48.70605469","'88.76953125","'91.21093750","'93.26171875",
"'42.23632813","'48.82812500","'88.96484375","'91.45507813","'93.50585938",
