"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'204 State Retirement","'106,360","'145,000","'145,000",
"'205 Employee and Dependent Insurance","'351,107","'506,375","'506,375",
"'210 Unemployment Compensation","'7,026","'17,000","'17,000",
"'513 Worker's Compensation Insurance","'117,948","'146,735","'146,735",
"'599 Other Charges","'1,811","'7,500","'7,500",
"'Total Employees Benefits","'659,154","'937,210","'937,210",
"'68000 CAPITAL OUTLAY","'","'","'",
"'705 Bridge Construction","'603,046","'1,600,000","'1,600,000",
"'708 Communication Equipment","'985","'4,000","'4,000",
"'713 Highway Construction","'725,205","'750,000","'750,000",
"'714 Highway Equipment","'209,048","'75,000","'100,000",
"'718 Motor Vehicles","'30,765","'35,000","'35,000",
"'791 Other Construction","'3,536","'15,000","'15,000",
"'Total Capital Outlay","'1,572,585","'2,479,000","'2,504,000",
"'Total Estimated Expenditures","'4,008,795","'6,391,718","'7,099,864",
"'99000 OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'128,264","'121,088","'143,655",
"'Total Other Uses","'128,264","'121,088","'143,655",
"'Total Estimated Expenditures and Other Uses","'4,137,059","'6,512,806","'7,243,519",
"'Excess of Estimated Revenue Over (Under)","'","'","'",
"'Estimated Expenditures and Other Uses","'306,443","'(332,902)","'1,895",
"'Estimated Beginning Fund Balance July 1","'1,550,627","'1,857,070","'1,600,000",
"'Fund Balance Audit Adjustment","'","'","'",
"'Estimated Ending Fund Balance June 30","'1,857,070","'1,524,168","'1,601,895",
,,,

'Confidence Scores % (Table Cell)
""'52.29492188","'93.89648438","'94.23828125","'96.19140625",
"'49.78027344","'89.40429688","'89.74609375","'91.55273438",
"'48.43750000","'87.01171875","'87.30468750","'89.11132813",
"'48.82812500","'87.69531250","'87.98828125","'89.79492188",
"'49.65820313","'89.16015625","'89.50195313","'91.30859375",
"'49.34082031","'88.62304688","'88.91601563","'90.77148438",
"'51.90429688","'93.21289063","'93.55468750","'95.45898438",
"'66.89453125","'66.89453125","'66.89453125","'66.89453125",
"'45.26367188","'81.29882813","'81.59179688","'83.25195313",
"'48.90136719","'87.84179688","'88.13476563","'89.94140625",
"'50.04882813","'89.89257813","'90.23437500","'92.08984375",
"'48.99902344","'87.98828125","'88.33007813","'90.13671875",
"'48.43750000","'87.01171875","'87.30468750","'89.11132813",
"'49.95117188","'89.74609375","'90.03906250","'91.89453125",
"'52.00195313","'93.45703125","'93.79882813","'95.70312500",
"'51.61132813","'92.72460938","'93.01757813","'94.92187500",
"'56.98242188","'56.98242188","'56.98242188","'56.98242188",
"'38.03710938","'38.03710938","'38.03710938","'38.03710938",
"'44.43359375","'79.78515625","'80.07812500","'81.73828125",
"'51.90429688","'93.21289063","'93.55468750","'95.45898438",
"'51.26953125","'92.04101563","'92.38281250","'94.28710938",
"'53.51562500","'53.51562500","'53.51562500","'53.51562500",
"'39.25781250","'70.50781250","'70.75195313","'72.21679688",
"'50.97656250","'91.60156250","'91.89453125","'93.79882813",
"'37.15820313","'37.15820313","'60.49804688","'61.76757813",
"'46.77734375","'84.03320313","'84.32617188","'86.03515625",
