"'Account No.","'Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'47100","'Federal Through State","'","'","'",
"'47230","'Disaster Relief","'108,177","'200,000","'500,000",
"'47301-CRF","'COVID-19 Grant # 1","'35,748","'0","'0",
"'47600","'Direct Federal Revenue","'","'","'",
"'47990","'Other Direct Federal Revenue","'0","'300,000","'800,000",
"'","'Total Federal Government","'143,925","'500,000","'1,300,000",
"'48000","'OTHER GOVERNMENTS AND CITIZENS GROUP","'","'","'",
"'48100","'Other Governments","'","'","'",
"'48120","'Paving and Maintenance","'4,615","'0","'0",
"'48600","'Citizens Groups","'","'","'",
"'48610","'Donations","'500","'0","'0",
"'","'Total Other Governments","'5,115","'0","'0",
"'","'Total Estimated Revenue","'4,074,639","'6,179,904","'7,245,414",
"'49000","'OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'1,086","'0","'0",
"'49800","'Transfers In","'367,777","'0","'0",
"'","'Total Other Sources (Non-Revenue)","'368,863","'0","'0",
"'","'Total Estimated Revenues and Other Sources","'4,443,502","'6,179,904","'7,245,414",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'61000","'ADMINISTRATION","'","'","'",
"'101","'County Official/Administrative Officer","'88,735","'88,735","'95,035",
"'140","'Salary Supplement","'2,062","'4,500","'4,500",
"'161","'Secretary","'37,327","'39,960","'43,784",
"'162","'Clerical Personnel","'0","'0","'30,160",
"'169","'Part-time Personnel","'17,470","'33,950","'21,558",
"'187","'Overtime Pay","'2,547","'4,500","'5,500",
"'188","'Bonus Payment","'0","'0","'0",
"'191","'Board and Committee Members Fees","'16,800","'16,800","'16,800",
"'316","'Contributions","'500","'500","'500",
"'317","'Data Processing Services","'0","'400","'400",
"'320","'Dues and Memberships","'3,875","'3,875","'3,875",
"'332","'Legal Notices, Recording and Court Costs","'364","'400","'1,000",
"'348","'Postal Charges","'0","'300","'300",
"'355","'Travel","'590","'2,500","'1,500",
"'399","'Other Contracted Services","'8,113","'8,200","'8,500",
"'435","'Office Supplies","'251","'1,050","'1,050",
"'508","'Premiums on Corporate Surety Bonds","'0","'2,000","'2,000",
"'524","'In-Service/Staff Developement","'150","'2,500","'2,500",
"'719","'Office Equipment","'0","'10,000","'5,000",
"'","'Total Administration","'178,784","'220,170","'243,962",
,,,,

'Confidence Scores % (Table Cell)
""'39.16015625","'44.82421875","'92.18750000","'93.35937500","'95.26367188",
"'51.36718750","'51.36718750","'51.36718750","'51.36718750","'51.36718750",
"'36.18164063","'41.43066406","'85.20507813","'86.27929688","'88.03710938",
"'38.28125000","'43.82324219","'90.13671875","'91.25976563","'93.11523438",
"'43.50585938","'43.50585938","'43.50585938","'43.50585938","'43.50585938",
"'33.93554688","'38.84277344","'79.88281250","'80.90820313","'82.56835938",
"'42.16308594","'42.16308594","'91.69921875","'92.82226563","'94.72656250",
"'51.85546875","'51.85546875","'51.85546875","'51.85546875","'51.85546875",
"'24.48730469","'28.02734375","'57.61718750","'58.34960938","'59.57031250",
"'37.79296875","'43.26171875","'88.96484375","'90.08789063","'91.94335938",
"'38.20800781","'38.20800781","'38.20800781","'66.94335938","'68.31054688",
"'34.57031250","'39.57519531","'81.39648438","'82.42187500","'84.13085938",
"'41.57714844","'41.57714844","'91.11328125","'92.28515625","'94.18945313",
"'42.06542969","'42.06542969","'90.67382813","'91.79687500","'93.70117188",
"'50.29296875","'50.29296875","'50.29296875","'50.29296875","'50.29296875",
"'30.39550781","'34.79003906","'71.53320313","'72.46093750","'73.92578125",
"'36.05957031","'41.25976563","'84.86328125","'85.93750000","'87.69531250",
"'38.84277344","'44.45800781","'91.45507813","'92.57812500","'94.53125000",
"'37.62207031","'43.06640625","'88.57421875","'89.69726563","'91.55273438",
"'76.26953125","'76.26953125","'76.26953125","'76.26953125","'76.26953125",
"'58.20312500","'58.20312500","'58.20312500","'58.20312500","'58.20312500",
"'33.74023438","'38.62304688","'79.44335938","'80.41992188","'82.08007813",
"'35.62011719","'40.77148438","'83.88671875","'84.91210938","'86.66992188",
"'36.18164063","'41.43066406","'85.20507813","'86.27929688","'88.03710938",
"'36.30371094","'41.55273438","'85.44921875","'86.52343750","'88.33007813",
"'36.62109375","'41.91894531","'86.18164063","'87.30468750","'89.06250000",
"'37.84179688","'37.84179688","'84.86328125","'85.93750000","'87.69531250",
"'37.01171875","'42.38281250","'87.15820313","'88.23242188","'90.08789063",
"'36.10839844","'41.33300781","'85.00976563","'86.08398438","'87.84179688",
"'39.74609375","'39.74609375","'83.34960938","'84.37500000","'86.13281250",
"'36.45019531","'41.69921875","'85.79101563","'86.86523438","'88.67187500",
"'38.25683594","'38.25683594","'85.93750000","'87.01171875","'88.81835938",
"'36.81640625","'42.13867188","'86.66992188","'87.74414063","'89.55078125",
"'37.20703125","'37.20703125","'84.71679688","'85.74218750","'87.54882813",
"'36.57226563","'36.57226563","'87.98828125","'89.06250000","'90.91796875",
"'36.35253906","'41.60156250","'85.54687500","'86.62109375","'88.42773438",
"'37.74414063","'37.74414063","'88.23242188","'89.35546875","'91.21093750",
"'36.71875000","'42.01660156","'86.42578125","'87.50000000","'89.30664063",
"'38.62304688","'38.62304688","'86.03515625","'87.10937500","'88.91601563",
"'39.59960938","'39.59960938","'87.35351563","'88.42773438","'90.28320313",
"'40.55175781","'40.55175781","'92.43164063","'93.55468750","'95.50781250",
