"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'335 Maint & Repair Services - Building","'268,829","'265,000","'316,000",
"'336 Maint & Repair Services - Equipment","'201,483","'240,000","'240,000",
"'355 Travel","'4,170","'5,000","'5,000",
"'399 Other Contracted Services","'191,915","'195,000","'210,000",
"'418 Equipment and Machinery Parts","'5,760","'9,000","'7,000",
"'499 Other Supplies and Materials","'0","'1,000","'1,000",
"'701 Administrative Equipment","'0","'0","'110,000",
"'707 Building Improvements","'0","'0","'109,600",
"'717 Maintenance Equipment","'0","'88,000","'0",
"'718 Motor Vehicles","'0","'0","'0",
"'Total Maintenance of Plant","'989,995","'1,185,022","'1,424,070",
"'72710 Transportation","'","'","'",
"'105 Supervisor/Director","'60,000","'60,750","'65,000",
"'142 Mechanic(s)","'73,720","'120,409","'130,138",
"'146 Bus Drivers","'651,644","'717,000","'730,000",
"'161 Secretary(s)","'10,458","'12,000","'12,970",
"'189 Other Salaries and Wages","'248","'0","'0",
"'201 Social Security","'59,330","'69,627","'71,765",
"'204 State Retirement","'88,721","'100,391","'103,473",
"'207 Medical Insurance","'99,700","'139,780","'142,576",
"'299 Other Fringe Benefits","'7,496","'37,500","'37,500",
"'335 Maintenance and Repair Services - Building","'12,557","'5,000","'5,000",
"'338 Maintenance and Repair Services - Vehicles","'10,004","'25,000","'30,000",
"'355 Travel","'0","'2,500","'2,500",
"'399 Other Contracted Services","'20,221","'50,000","'55,000",
"'412 Diesel Fuel","'113,157","'200,000","'250,000",
"'418 Equipment and Machinery Parts","'81","'2,000","'2,000",
"'424 Garage Supplies","'1,511","'3,500","'3,500",
"'425 Gasoline","'18,553","'30,000","'45,000",
"'433 Lubricants","'3,506","'12,000","'12,000",
"'442 Propane","'7,630","'100,000","'75,000",
"'450 Tires and Tubes","'13,603","'30,000","'30,000",
"'453 Vehicles Parts","'44,745","'120,000","'120,000",
"'511 Vehicle and Equipment Insurance","'40,183","'45,000","'50,000",
"'599 Other Charges","'0","'0","'5,000",
"'718 Motor Vehicles","'0","'0","'55,000",
"'720 Plant Operation Equipment","'0","'40,000","'0",
"'729 Transportation Equipment","'699,372","'450,000","'372,000",
"'Total Transportation","'2,036,440","'2,372,457","'2,405,422",
"'72810 Central and Other","'","'","'",
"'201 Social Security","'0","'0","'383",
"'210 Unemployment Compensation","'8,636","'35,000","'35,000",
"'299 Other Fringe Benefits","'0","'5,000","'5,000",
"'316 Contributions","'140,000","'152,500","'152,500",
"'399 Other Contracted Services","'29,965","'35,000","'35,000",
"'499 Other Supplies and Materials","'10,363","'30,000","'30,000",
"'599 Other Charges","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'51.12304688","'94.77539063","'95.60546875","'96.58203125",
"'48.07128906","'89.11132813","'89.89257813","'90.77148438",
"'48.31542969","'89.55078125","'90.33203125","'91.21093750",
"'48.80371094","'90.47851563","'91.25976563","'92.18750000",
"'49.02343750","'90.82031250","'91.65039063","'92.57812500",
"'49.53613281","'91.84570313","'92.62695313","'93.55468750",
"'49.12109375","'91.01562500","'91.79687500","'92.72460938",
"'49.51171875","'91.79687500","'92.57812500","'93.50585938",
"'49.41406250","'91.60156250","'92.38281250","'93.31054688",
"'49.60937500","'91.94335938","'92.77343750","'93.70117188",
"'47.68066406","'88.37890625","'89.11132813","'90.03906250",
"'50.78125000","'94.14062500","'94.97070313","'95.94726563",
"'71.67968750","'71.67968750","'71.67968750","'71.67968750",
"'43.92089844","'81.39648438","'82.08007813","'82.91015625",
"'49.63378906","'91.99218750","'92.82226563","'93.75000000",
"'49.26757813","'91.30859375","'92.08984375","'93.01757813",
"'48.85253906","'90.57617188","'91.35742188","'92.28515625",
"'49.26757813","'91.30859375","'92.08984375","'93.01757813",
"'49.38964844","'91.55273438","'92.33398438","'93.26171875",
"'49.36523438","'91.50390625","'92.28515625","'93.21289063",
"'49.19433594","'91.16210938","'91.94335938","'92.87109375",
"'48.73046875","'90.33203125","'91.11328125","'92.04101563",
"'49.34082031","'91.45507813","'92.23632813","'93.16406250",
"'48.65722656","'90.18554688","'90.96679688","'91.89453125",
"'48.14453125","'89.25781250","'90.03906250","'90.91796875",
"'48.68164063","'90.23437500","'91.01562500","'91.94335938",
"'48.04687500","'89.06250000","'89.84375000","'90.72265625",
"'48.92578125","'90.72265625","'91.50390625","'92.43164063",
"'48.16894531","'89.30664063","'90.08789063","'90.96679688",
"'47.50976563","'88.03710938","'88.81835938","'89.69726563",
"'49.04785156","'90.86914063","'91.69921875","'92.62695313",
"'48.41308594","'89.69726563","'90.47851563","'91.40625000",
"'49.02343750","'90.82031250","'91.65039063","'92.57812500",
"'48.73046875","'90.33203125","'91.11328125","'92.04101563",
"'48.70605469","'90.28320313","'91.06445313","'91.99218750",
"'49.02343750","'90.82031250","'91.65039063","'92.57812500",
"'48.29101563","'89.50195313","'90.28320313","'91.16210938",
"'49.16992188","'91.11328125","'91.89453125","'92.82226563",
"'48.95019531","'90.77148438","'91.55273438","'92.48046875",
"'51.02539063","'94.53125000","'95.36132813","'96.33789063",
"'70.41015625","'70.41015625","'70.41015625","'70.41015625",
"'43.96972656","'81.49414063","'82.17773438","'83.00781250",
"'48.65722656","'90.18554688","'90.96679688","'91.89453125",
"'48.04687500","'89.06250000","'89.84375000","'90.72265625",
"'49.19433594","'91.16210938","'91.94335938","'92.87109375",
"'49.46289063","'91.69921875","'92.48046875","'93.40820313",
"'49.53613281","'91.84570313","'92.62695313","'93.55468750",
"'50.63476563","'93.89648438","'94.67773438","'95.65429688",
