"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'ESTIMATED REVENUES","'","'","'",
"'40000 LOCAL TAXES","'","'","'",
"'40100 County Property Taxes","'","'","'",
"'40110 Current Property Taxes","'8,039,080","'8,162,976","'8,420,387",
"'40120 Trustees Collection Prior Year","'201,052","'190,000","'195,000",
"'40125 Trustees Collection-Bankruptcy","'2,413","'1,000","'4,000",
"'40130 Clerk & Master Prior Years","'145,547","'100,000","'116,000",
"'40140 Interest and Penalty","'43,315","'40,000","'40,000",
"'40161 Payments in Lieu of Taxes TVA","'8,858","'8,500","'9,000",
"'40162 Payments in Lieu of Taxes-Loc Utilities","'29,128","'29,000","'31,000",
"'40163 Payments in Lieu of Taxes-Other","'19,675","'20,000","'19,675",
"'Total County Property Taxes","'8,489,068","'8,551,476","'8,835,062",
"'40200 County Local Option Taxes","'","'","'",
"'40220 Hotel/Motel Tax","'39,292","'32,000","'32,000",
"'40250 Litigation Tax General","'62,917","'50,000","'70,000",
"'40260 Litigation Tax-Special Purpose","'7,875","'7,500","'10,000",
"'40266 Litigation Tax-Jail,Workhouse,Courthouse","'57,081","'50,000","'65,000",
"'40267 Litigation Tax-Victim Offender","'3,656","'3,000","'3,000",
"'40270 Business Tax","'91,468","'80,000","'92,000",
"'40275 Mixed Drink Tax","'60","'0","'300",
"'Total County Local Option Taxes","'262,349","'222,500","'272,300",
"'40300 Statutory Local Taxes","'","'","'",
"'40320 Bank Excise Tax","'26,146","'26,000","'30,000",
"'40330 Wholesale Beer Tax","'247,795","'242,000","'230,000",
"'40390 Other Statutory Local Taxes","'4,380","'5,000","'4,400",
"'Total Local Option Taxes","'278,321","'273,000","'264,400",
"'TOTAL LOCAL TAXES","'9,029,738","'9,046,976","'9,371,762",
"'41000 LICENSES AND PERMITS","'","'","'",
"'41100 Licenses","'","'","'",
"'41140 Cable TV Franchise","'49,197","'48,000","'49,000",
"'41500 Permits","'","'","'",
"'41510 Beer Permits","'3,610","'3,500","'3,500",
"'41520 Building Permits","'100,536","'100,000","'100,000",
"'","'","'","'",
"'TOTAL LICENSES AND PERMITS","'153,343","'151,500","'152,500",
,,,

'Confidence Scores % (Table Cell)
""'87.25585938","'91.84570313","'93.70117188","'95.41015625",
"'76.90429688","'76.90429688","'76.90429688","'76.90429688",
"'49.60937500","'49.60937500","'49.60937500","'49.60937500",
"'46.19140625","'46.19140625","'46.19140625","'46.19140625",
"'82.27539063","'86.57226563","'88.33007813","'89.94140625",
"'83.00781250","'87.35351563","'89.11132813","'90.72265625",
"'83.10546875","'87.50000000","'89.25781250","'90.86914063",
"'82.95898438","'87.30468750","'89.06250000","'90.67382813",
"'81.83593750","'86.13281250","'87.89062500","'89.45312500",
"'81.93359375","'86.18164063","'87.98828125","'89.55078125",
"'82.03125000","'86.32812500","'88.08593750","'89.69726563",
"'81.93359375","'86.23046875","'87.98828125","'89.59960938",
"'87.25585938","'91.79687500","'93.70117188","'95.36132813",
"'69.67773438","'69.67773438","'69.67773438","'69.67773438",
"'73.92578125","'77.78320313","'79.39453125","'80.81054688",
"'81.59179688","'85.83984375","'87.59765625","'89.16015625",
"'82.03125000","'86.32812500","'88.08593750","'89.69726563",
"'82.37304688","'86.71875000","'88.47656250","'90.08789063",
"'82.56835938","'86.86523438","'88.67187500","'90.23437500",
"'81.39648438","'85.64453125","'87.40234375","'88.96484375",
"'81.44531250","'85.69335938","'87.45117188","'89.01367188",
"'86.91406250","'91.50390625","'93.35937500","'95.01953125",
"'62.45117188","'62.45117188","'62.45117188","'62.45117188",
"'72.55859375","'76.36718750","'77.92968750","'79.34570313",
"'81.54296875","'85.79101563","'87.54882813","'89.11132813",
"'83.10546875","'87.50000000","'89.25781250","'90.86914063",
"'86.76757813","'91.30859375","'93.16406250","'94.82421875",
"'85.88867188","'90.38085938","'92.23632813","'93.89648438",
"'59.47265625","'59.47265625","'59.47265625","'59.47265625",
"'47.26562500","'47.26562500","'47.26562500","'47.26562500",
"'81.78710938","'86.08398438","'87.84179688","'89.40429688",
"'76.26953125","'80.22460938","'81.88476563","'83.34960938",
"'83.69140625","'88.08593750","'89.89257813","'91.50390625",
"'85.83984375","'90.33203125","'92.18750000","'93.84765625",
"'42.06542969","'42.06542969","'42.06542969","'42.06542969",
"'80.51757813","'84.76562500","'86.47460938","'88.03710938",
