"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'351 Rentals","'3,400","'3,600","'3,600",
"'355 Travel","'0","'300","'300",
"'399 Other Contracted Service","'449","'450","'450",
"'425 Gasoline","'630","'750","'750",
"'425-SC Gasoline (SCHRA)","'227","'500","'0",
"'435 Office Supplies","'159","'200","'200",
"'599 Other Charges","'957","'1,000","'1,000",
"'599-SC Other Charges (SCHRA)","'0","'1,000","'0",
"'719 Office Equipment","'0","'200","'200",
"'Total Veterans Services","'37,427","'40,201","'39,450",
"'58400 Other Charges","'","'","'",
"'506 Liability Insurance","'290,698","'297,000","'300,632",
"'510 Trustees Commission","'205,935","'210,000","'210,000",
"'513 Workers Comp","'125,281","'160,000","'160,000",
"'Total Other Charges","'621,914","'667,000","'670,632",
"'58600 Employee Benefits","'","'","'",
"'201 Social Security","'453,196","'516,127","'537,000",
"'204 State Retirement","'638,967","'700,068","'728,000",
"'206 Life Insurance","'43,292","'53,000","'53,000",
"'207 Medical Insurance","'1,677,268","'1,898,199","'1,898,199",
"'210 Unemployment Comp","'5,602","'20,000","'22,000",
"'399 Other Contracted Services","'0","'5,500","'0",
"'Total Employees Benefits","'2,818,325","'3,192,894","'3,238,199",
"'58836 CESF Video Arraignment","'0","'0","'0",
"'Total CESF Video Arraignment","'0","'0","'0",
"'58900 Miscellaneous","'","'","'",
"'309 Contracts with Government Agencies","'12,920","'12,920","'12,920",
"'316 Contributions","'86,000","'108,000","'60,000",
"'316-DA Contributions-Direct Appropriations Grant","'153,222","'0","'0",
"'320 Dues and Memberships","'13,746","'15,000","'16,100",
"'348 Postal Charges","'41,555","'45,000","'45,000",
"'351 Rentals","'0","'2,500","'2,500",
"'399 Other Contracted Services","'0","'0","'0",
"'509-DA Refunds","'0","'0","'0",
"'599 Other Charges","'1,719","'2,500","'2,500",
"'Total Miscellaneous","'309,162","'185,920","'139,020",
"'Total Other General Government","'3,857,951","'4,158,426","'4,163,274",
,,,

'Confidence Scores % (Table Cell)
""'63.52539063","'94.18945313","'94.87304688","'95.70312500",
"'59.81445313","'88.67187500","'89.30664063","'90.08789063",
"'59.42382813","'88.08593750","'88.72070313","'89.50195313",
"'59.91210938","'88.81835938","'89.45312500","'90.23437500",
"'59.22851563","'87.84179688","'88.47656250","'89.25781250",
"'59.76562500","'88.67187500","'89.25781250","'90.03906250",
"'60.30273438","'89.40429688","'90.03906250","'90.82031250",
"'60.93750000","'90.38085938","'91.01562500","'91.79687500",
"'60.44921875","'89.69726563","'90.33203125","'91.11328125",
"'60.20507813","'89.30664063","'89.94140625","'90.72265625",
"'63.33007813","'93.94531250","'94.58007813","'95.41015625",
"'66.99218750","'66.99218750","'66.99218750","'66.99218750",
"'53.22265625","'78.95507813","'79.49218750","'80.17578125",
"'58.10546875","'86.18164063","'86.76757813","'87.54882813",
"'59.22851563","'87.79296875","'88.42773438","'89.20898438",
"'63.28125000","'93.84765625","'94.48242188","'95.31250000",
"'68.40820313","'68.40820313","'68.40820313","'68.40820313",
"'53.61328125","'79.49218750","'80.07812500","'80.76171875",
"'58.44726563","'86.62109375","'87.25585938","'87.98828125",
"'59.57031250","'88.33007813","'88.96484375","'89.69726563",
"'58.54492188","'86.81640625","'87.45117188","'88.18359375",
"'58.88671875","'87.35351563","'87.98828125","'88.72070313",
"'57.17773438","'84.76562500","'85.40039063","'86.13281250",
"'63.18359375","'93.70117188","'94.38476563","'95.16601563",
"'61.76757813","'91.60156250","'92.23632813","'93.01757813",
"'61.76757813","'91.60156250","'92.23632813","'93.01757813",
"'76.61132813","'76.61132813","'76.61132813","'76.61132813",
"'51.80664063","'76.85546875","'77.39257813","'78.02734375",
"'58.69140625","'87.06054688","'87.69531250","'88.42773438",
"'60.15625000","'89.20898438","'89.84375000","'90.62500000",
"'58.30078125","'86.47460938","'87.06054688","'87.84179688",
"'59.66796875","'88.52539063","'89.16015625","'89.89257813",
"'59.66796875","'88.47656250","'89.11132813","'89.84375000",
"'58.69140625","'87.01171875","'87.64648438","'88.37890625",
"'57.71484375","'85.59570313","'86.23046875","'86.96289063",
"'58.34960938","'86.52343750","'87.10937500","'87.89062500",
"'63.03710938","'93.50585938","'94.18945313","'94.97070313",
"'63.23242188","'93.75000000","'94.43359375","'95.21484375",
