"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'54110 Sheriff's Department","'","'","'",
"'101 County Official","'88,735","'88,735","'95,035",
"'103 Assistant","'38,311","'38,368","'39,903",
"'106 Deputies","'882,229","'945,320","'981,914",
"'106-SEC Deputies (Courtroom Security)","'90,141","'90,275","'98,614",
"'119 Accounts/Bookkeepers","'36,397","'36,451","'37,910",
"'140 Salary Supplements","'23,900","'27,000","'27,000",
"'148 Dispatchers and Radio Operators","'273,051","'287,376","'320,000",
"'169-SEC Part-time Personnel","'14,811","'46,000","'46,000",
"'186 Longevity Pay","'19,500","'23,200","'19,900",
"'187 Overtime Pay","'47,700","'45,000","'60,000",
"'187-TSEE Overtime Pay-Tennessee Safety Environment &","'0","'0","'0",
"'188 Bonus Payments","'0","'0","'31,000",
"'189-SRO Other Salaries and Wages(SRO)","'204,306","'204,759","'221,606",
"'302 Advertising","'0","'200","'500",
"'307 Communication","'35,078","'15,000","'15,000",
"'312 Contracts with Private Agencies","'0","'2,000","'5,000",
"'317 Data Processing Services","'17,529","'20,000","'25,000",
"'331 Legal Services","'64","'200","'200",
"'332 Legal Notices, Recording & Court Costs","'0","'0","'0",
"'336 Maint and Repair Services - Equipment","'0","'4,000","'4,000",
"'338 Maint and Repair Services - Vehicles","'47,212","'50,000","'65,000",
"'348 Postal Charges","'297","'300","'300",
"'355 Travel","'5,886","'6,000","'10,000",
"'355-SRO Travel (SRO)","'0","'0","'5,000",
"'399 Other Contracted Service","'1,941","'2,500","'0",
"'412 Diesel Fuel","'732","'1,000","'2,000",
"'425 Gasoline","'69,020","'80,000","'92,000",
"'431 Law Enforcement Supplies","'37,830","'45,000","'45,000",
"'431-SRO Law Enforcement Supplies-SRO","'4,400","'5,000","'5,000",
"'431-TSEE Law Enforcement Supplies-TN Safety Environmen","'4,997","'0","'0",
"'435 Office Supplies","'8,135","'8,000","'8,000",
"'450 Tires and Tubes","'9,483","'16,000","'20,000",
"'451 Uniforms","'14,697","'15,000","'15,000",
"'508 Premiums on Corporate Surety Bonds","'0","'0","'0",
"'524 In-Service/Staff Development","'7,642","'25,000","'25,000",
"'524-SRO In-Service/Staff Development-SRO","'377","'5,000","'5,000",
"'599 Other Charges","'0","'0","'5,000",
"'718 Motor Vehicles","'99,913","'100,000","'25,000",
"'719 Office Equipment","'3,581","'5,000","'5,000",
"'Total Sheriffs Department","'2,087,895","'2,237,684","'2,360,882",
"'54160 Administration Of Sexual Offender Registry","'","'","'",
"'435 Office Supplies","'1,300","'5,000","'1,000",
"'599 Other Charges","'0","'599","'3,000",
"'719 Office Equipment","'4,725","'2,000","'3,500",
"'Total Administration Of Sexual Offender Registry","'6,025","'7,599","'7,500",
,,,

'Confidence Scores % (Table Cell)
""'43.50585938","'93.31054688","'96.04492188","'96.43554688",
"'60.49804688","'60.49804688","'60.49804688","'60.49804688",
"'41.79687500","'89.69726563","'92.28515625","'92.67578125",
"'41.60156250","'89.25781250","'91.84570313","'92.23632813",
"'42.28515625","'90.67382813","'93.31054688","'93.70117188",
"'42.26074219","'90.67382813","'93.26171875","'93.65234375",
"'42.06542969","'90.23437500","'92.87109375","'93.21289063",
"'42.18750000","'90.52734375","'93.11523438","'93.50585938",
"'41.96777344","'90.03906250","'92.67578125","'93.01757813",
"'42.13867188","'90.42968750","'93.01757813","'93.40820313",
"'41.77246094","'89.64843750","'92.23632813","'92.62695313",
"'41.57714844","'89.20898438","'91.79687500","'92.18750000",
"'41.99218750","'90.08789063","'92.72460938","'93.06640625",
"'41.74804688","'89.59960938","'92.18750000","'92.57812500",
"'41.89453125","'89.84375000","'92.48046875","'92.82226563",
"'41.87011719","'89.84375000","'92.43164063","'92.77343750",
"'42.11425781","'90.38085938","'93.01757813","'93.35937500",
"'41.82128906","'89.74609375","'92.33398438","'92.72460938",
"'41.89453125","'89.84375000","'92.48046875","'92.82226563",
"'42.16308594","'90.47851563","'93.06640625","'93.45703125",
"'42.01660156","'90.13671875","'92.77343750","'93.11523438",
"'42.08984375","'90.33203125","'92.96875000","'93.31054688",
"'41.91894531","'89.89257813","'92.52929688","'92.87109375",
"'41.72363281","'89.50195313","'92.08984375","'92.48046875",
"'41.82128906","'89.74609375","'92.33398438","'92.72460938",
"'41.77246094","'89.64843750","'92.23632813","'92.62695313",
"'41.77246094","'89.64843750","'92.23632813","'92.62695313",
"'41.33300781","'88.67187500","'91.25976563","'91.60156250",
"'41.33300781","'88.67187500","'91.25976563","'91.60156250",
"'41.35742188","'88.72070313","'91.30859375","'91.65039063",
"'40.77148438","'87.45117188","'89.99023438","'90.38085938",
"'41.38183594","'88.76953125","'91.35742188","'91.69921875",
"'41.28417969","'88.57421875","'91.16210938","'91.50390625",
"'41.60156250","'89.25781250","'91.84570313","'92.23632813",
"'41.57714844","'89.20898438","'91.79687500","'92.18750000",
"'41.21093750","'88.37890625","'90.96679688","'91.30859375",
"'41.57714844","'89.16015625","'91.74804688","'92.13867188",
"'41.21093750","'88.42773438","'91.01562500","'91.35742188",
"'41.94335938","'89.99023438","'92.62695313","'92.96875000",
"'41.18652344","'88.33007813","'90.91796875","'91.25976563",
"'41.57714844","'89.16015625","'91.74804688","'92.13867188",
"'43.13964844","'92.52929688","'95.21484375","'95.60546875",
"'54.00390625","'54.00390625","'54.00390625","'54.00390625",
"'36.76757813","'78.90625000","'81.20117188","'81.54296875",
"'41.28417969","'88.57421875","'91.16210938","'91.50390625",
"'41.55273438","'89.11132813","'91.69921875","'92.08984375",
"'43.43261719","'93.16406250","'95.89843750","'96.28906250",
