"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'Total Estimated Revenues","'2,617,220","'2,365,492","'2,509,737",
"'49000","'ESTIMATED OTHER SOURCES","'","'","'",
"'49200","'Notes Issued","'681,245","'0","'0",
"'49800","'Transfers In","'666,366","'466,088","'488,655",
"'","'Total Estimated Other Sources","'1,347,611","'466,088","'488,655",
"'","'Total Estimated Revenues and Othe","'3,964,831","'2,831,580","'2,998,392",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'82100","'PRINCIPAL ON DEBT","'","'","'",
"'82110","'General Government","'","'","'",
"'602","'Principal on Notes","'118,053","'123,096","'128,355",
"'612","'Principal on Other Loans","'397,000","'412,000","'427,000",
"'","'Total General Government","'515,053","'535,096","'555,355",
"'82120","'Highways and Streets","'","'","'",
"'602","'Principal on Notes","'741,745","'71,300","'159,100",
"'","'Total Highways and Streets","'741,745","'71,300","'159,100",
"'82130","'Education","'","'","'",
"'601","'Principal on Bonds","'0","'0","'0",
"'612","'Principal on Other Loans","'1,624,012","'1,661,212","'1,697,424",
"'","'Total Education","'1,624,012","'1,661,212","'1,697,424",
"'","'Total Principal Payments","'2,880,810","'2,267,608","'2,411,879",
"'82200","'INTEREST ON DEBT","'","'","'",
"'82210","'General Government","'","'","'",
"'604","'Interest on Notes","'66,126","'61,085","'55,826",
"'613","'Interest on Other Loans","'30,855","'159,737","'135,483",
"'","'Total General Government","'96,981","'220,822","'191,309",
"'82220","'Highway and Streets","'","'","'",
"'604","'Interest on Notes","'27,149","'14,788","'36,751",
"'","'Total Highways and Streets","'27,149","'14,788","'36,751",
"'82230","'Education","'","'","'",
"'603","'Interest on Bonds","'0","'0","'0",
"'613","'Interest on other Loans","'132,071","'378,108","'338,009",
,,,,

'Confidence Scores % (Table Cell)
""'41.47949219","'44.31152344","'89.59960938","'92.57812500","'94.67773438",
"'41.23535156","'44.04296875","'89.06250000","'92.04101563","'94.14062500",
"'49.41406250","'49.41406250","'49.41406250","'49.41406250","'49.41406250",
"'30.90820313","'33.03222656","'66.74804688","'68.99414063","'70.55664063",
"'38.20800781","'40.82031250","'82.51953125","'85.30273438","'87.20703125",
"'42.62695313","'42.62695313","'89.01367188","'91.99218750","'94.09179688",
"'43.01757813","'43.01757813","'87.15820313","'90.08789063","'92.13867188",
"'75.29296875","'75.29296875","'75.29296875","'75.29296875","'75.29296875",
"'42.72460938","'42.72460938","'42.72460938","'42.72460938","'42.72460938",
"'25.78125000","'27.53906250","'55.66406250","'57.51953125","'58.83789063",
"'36.35253906","'38.84277344","'78.51562500","'81.15234375","'83.00781250",
"'38.59863281","'41.23535156","'83.34960938","'86.18164063","'88.13476563",
"'43.57910156","'43.57910156","'89.59960938","'92.57812500","'94.67773438",
"'46.97265625","'46.97265625","'46.97265625","'46.97265625","'46.97265625",
"'29.15039063","'31.15234375","'62.98828125","'65.08789063","'66.55273438",
"'41.87011719","'41.87011719","'89.20898438","'92.18750000","'94.28710938",
"'59.08203125","'59.08203125","'59.08203125","'59.08203125","'59.08203125",
"'30.32226563","'32.39746094","'65.52734375","'67.72460938","'69.23828125",
"'36.15722656","'38.62304688","'78.07617188","'80.71289063","'82.51953125",
"'40.16113281","'40.16113281","'89.06250000","'92.04101563","'94.14062500",
"'40.06347656","'40.06347656","'87.64648438","'90.57617188","'92.62695313",
"'48.92578125","'48.92578125","'48.92578125","'48.92578125","'48.92578125",
"'39.69726563","'39.69726563","'39.69726563","'39.69726563","'39.69726563",
"'32.91015625","'35.15625000","'71.04492188","'73.43750000","'75.09765625",
"'36.47460938","'38.96484375","'78.75976563","'81.39648438","'83.25195313",
"'40.82031250","'40.82031250","'89.20898438","'92.18750000","'94.28710938",
"'46.87500000","'46.87500000","'46.87500000","'46.87500000","'46.87500000",
"'22.46093750","'23.99902344","'48.51074219","'50.14648438","'51.26953125",
"'40.25878906","'40.25878906","'88.72070313","'91.65039063","'93.75000000",
"'48.92578125","'48.92578125","'48.92578125","'48.92578125","'48.92578125",
"'25.92773438","'27.70996094","'56.00585938","'57.91015625","'59.22851563",
"'39.33105469","'42.01660156","'84.96093750","'87.79296875","'89.79492188",
