"'Account No.","'Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'","'ESTIMATED REVENUES","'","'","'",
"'40000","'Local Taxes","'","'","'",
"'40100","'County Property Taxes","'","'","'",
"'40110","'Current Property Taxes","'3,180,080","'2,953,439","'2,953,480",
"'40120","'Trustee's Collection - Prior Year","'78,477","'80,000","'80,000",
"'40125","'Trustee's Collection - Bankruptcy","'940","'","'0",
"'40130","'Circuit/Clerk & Master Collections - Prior Years","'56,812","'45,000","'45,000",
"'40140","'Interest and Penalty","'16,975","'21,000","'21,000",
"'40161","'Payments in Lieu of Taxes - TVA","'3,495","'4,000","'4,000",
"'40162","'Payments in Lieu of Taxes - Local Utilities","'6,000","'6,000","'6,000",
"'40200","'County Local Option Taxes","'","'","'",
"'40210","'Local Option Sales Tax","'2,368,452","'2,100,000","'2,350,000",
"'40270","'Business Tax","'36,153","'30,000","'30,000",
"'40300","'Statutory Local Taxes","'","'","'",
"'40320","'Bank Excise Tax","'0","'0","'0",
"'40350","'Interstate Telecommunication Tax","'0","'0","'0",
"'","'Total Local Taxes","'5,747,384","'5,239,439","'5,489,480",
"'41000","'Licenses and Permits","'","'","'",
"'41100","'Licenses","'","'","'",
"'41110","'Marriage Licenses","'1,644","'1,300","'1,300",
"'","'Total Licenses and Permits","'1,644","'1,300","'1,300",
"'43000","'Charges for Current Services","'","'","'",
"'43500","'Education Charges","'","'","'",
"'43513","'Tuition - Summer School","'0","'0","'0",
"'43517","'Tuition - Other","'3,500","'2,000","'2,000",
"'43570","'Receipts from Individual Schools","'15,182","'30,000","'30,000",
"'43582","'Community Service Fees Adults","'161","'200","'200",
"'","'Total Charges for Current Services","'18,843","'32,200","'32,200",
"'44000","'Other Local Revenues","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'46,247","'0","'0",
"'44120","'Lease/Rentals","'70","'1,000","'10,000",
"'44170","'Miscellaneous Refunds","'43,933","'30,000","'30,000",
"'44500","'Nonrecurring Items","'","'","'",
"'44512","'Gain on Retirement of Debt (Gasb 54)","'571,666","'0","'0",
"'44530","'Sale of Equipment","'12,423","'10,000","'15,000",
"'44560","'Damages Recovered from Individuals","'1,594","'3,000","'3,000",
"'44570","'Contributions and Gifts","'10,251","'15,000","'15,000",
"'44990","'Other Local Revenues","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'43.79882813","'54.19921875","'93.16406250","'94.48242188","'95.50781250",
"'71.24023438","'71.24023438","'71.24023438","'71.24023438","'71.24023438",
"'43.01757813","'43.01757813","'43.01757813","'43.01757813","'43.01757813",
"'28.44238281","'35.15625000","'60.44921875","'61.32812500","'62.01171875",
"'41.33300781","'51.12304688","'87.89062500","'89.16015625","'90.08789063",
"'41.74804688","'51.61132813","'88.76953125","'90.03906250","'91.01562500",
"'42.33398438","'52.34375000","'89.99023438","'91.30859375","'92.28515625",
"'41.67480469","'51.56250000","'88.62304688","'89.89257813","'90.86914063",
"'41.40625000","'51.17187500","'88.03710938","'89.30664063","'90.23437500",
"'42.40722656","'52.44140625","'90.13671875","'91.45507813","'92.43164063",
"'42.94433594","'53.12500000","'91.30859375","'92.62695313","'93.60351563",
"'32.93457031","'40.72265625","'70.01953125","'71.04492188","'71.77734375",
"'41.08886719","'50.83007813","'87.35351563","'88.62304688","'89.59960938",
"'42.79785156","'52.92968750","'90.96679688","'92.28515625","'93.26171875",
"'37.42675781","'37.42675781","'37.42675781","'71.04492188","'71.77734375",
"'41.01562500","'50.73242188","'87.20703125","'88.47656250","'89.40429688",
"'39.40429688","'48.73046875","'83.78906250","'85.00976563","'85.88867188",
"'44.75097656","'44.75097656","'92.38281250","'93.70117188","'94.67773438",
"'45.70312500","'45.70312500","'45.70312500","'45.70312500","'45.70312500",
"'37.30468750","'37.30468750","'37.30468750","'37.30468750","'37.30468750",
"'37.40234375","'46.26464844","'79.54101563","'80.66406250","'81.54296875",
"'42.06542969","'42.06542969","'92.33398438","'93.65234375","'94.62890625",
"'46.48437500","'46.48437500","'46.48437500","'46.48437500","'46.48437500",
"'36.84082031","'36.84082031","'36.84082031","'36.84082031","'36.84082031",
"'39.89257813","'49.34082031","'84.81445313","'86.08398438","'86.96289063",
"'41.04003906","'50.78125000","'87.30468750","'88.52539063","'89.50195313",
"'41.43066406","'51.22070313","'88.08593750","'89.35546875","'90.28320313",
"'40.57617188","'50.19531250","'86.27929688","'87.50000000","'88.47656250",
"'41.67480469","'41.67480469","'92.43164063","'93.79882813","'94.77539063",
"'54.88281250","'54.88281250","'54.88281250","'54.88281250","'54.88281250",
"'41.11328125","'41.11328125","'41.11328125","'41.11328125","'41.11328125",
"'37.71972656","'46.65527344","'80.22460938","'81.39648438","'82.27539063",
"'41.62597656","'51.46484375","'88.47656250","'89.74609375","'90.72265625",
"'43.26171875","'53.51562500","'91.99218750","'93.31054688","'94.33593750",
"'44.84863281","'44.84863281","'44.84863281","'44.84863281","'44.84863281",
"'39.74609375","'49.14550781","'84.52148438","'85.74218750","'86.66992188",
"'41.77246094","'51.66015625","'88.81835938","'90.08789063","'91.06445313",
"'41.43066406","'51.22070313","'88.08593750","'89.35546875","'90.28320313",
"'41.99218750","'51.90429688","'89.25781250","'90.57617188","'91.55273438",
"'42.96875000","'53.12500000","'91.35742188","'92.67578125","'93.65234375",
