"'Account No.","'Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'","'ESTIMATED REVENUES","'","'","'",
"'40000","'LOCAL TAXES","'","'","'",
"'40100","'County Property Taxes","'","'","'",
"'40110","'Current Property Taxes","'275,401","'287,140","'287,493",
"'40120","'Trustee's Collection Prior Year","'6,794","'12,930","'12,930",
"'40125","'Trustee's Collection Bankruptcy","'81","'0","'0",
"'40130","'Circuit/Clerk & Master Coll Prior Years","'4,920","'7,000","'7,000",
"'40140","'Interest and Penalty","'1,469","'2,260","'2,260",
"'40161","'Payments in Lieu of Taxes TVA","'303","'350","'350",
"'40200","'County Local Option Taxes","'","'","'",
"'40270","'Business Tax","'3,131","'3,500","'3,500",
"'40280","'Mineral Severance Tax","'66,653","'85,000","'85,000",
"'","'Total Local Taxes","'358,752","'398,180","'398,533",
"'43100","'General Service Charge","'","'","'",
"'43102","'Other Employee Benefit Charges/Contributions","'5,454","'4,825","'0",
"'","'Total General Services Charge","'5,454","'4,825","'0",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43380","'Vending Machines Collections","'1,387","'2,600","'2,600",
"'","'Total Charges for Current Services","'1,387","'2,600","'2,600",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44145","'Sale of Recycled Materials","'1,258","'4,500","'5,500",
"'44170","'Miscellaneous Refunds","'7,281","'0","'0",
"'44500","'Nonrecurring Items","'","'","'",
"'44530","'Sale of Equipment","'12,350","'100,000","'150,000",
"'","'Total Other Local Revenues","'20,889","'104,500","'155,500",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46400","'Public Works Grants","'","'","'",
"'46410","'Bridge Program","'500,221","'1,851,368","'1,851,368",
"'46420","'State Aid Program","'358,450","'659,455","'659,455",
"'46851","'State Revenue Sharing TVA","'19,094","'22,000","'22,000",
"'46920","'Gasoline and Motor Fuel Tax","'2,636,694","'2,617,836","'2,836,818",
"'46930","'Petroleum Special Tax","'17,815","'19,140","'19,140",
"'46980","'Other State Grants","'6,843","'0","'0",
"'","'Total State of Tennessee","'3,539,117","'5,169,799","'5,388,781",
,,,,

'Confidence Scores % (Table Cell)
""'52.97851563","'76.22070313","'93.75000000","'93.65234375","'95.45898438",
"'71.14257813","'71.14257813","'71.14257813","'71.14257813","'71.14257813",
"'45.92285156","'66.11328125","'81.29882813","'81.20117188","'82.81250000",
"'39.50195313","'39.50195313","'39.50195313","'39.50195313","'39.50195313",
"'48.92578125","'70.41015625","'86.62109375","'86.52343750","'88.18359375",
"'49.87792969","'71.77734375","'88.28125000","'88.18359375","'89.89257813",
"'50.34179688","'72.41210938","'89.06250000","'88.96484375","'90.72265625",
"'50.97656250","'73.33984375","'90.18554688","'90.08789063","'91.84570313",
"'49.63378906","'71.43554688","'87.84179688","'87.79296875","'89.50195313",
"'52.24609375","'75.14648438","'92.43164063","'92.33398438","'94.14062500",
"'42.43164063","'42.43164063","'42.43164063","'42.43164063","'42.43164063",
"'49.60937500","'71.43554688","'87.79296875","'87.74414063","'89.45312500",
"'49.73144531","'71.58203125","'87.98828125","'87.89062500","'89.64843750",
"'52.73437500","'75.92773438","'93.35937500","'93.26171875","'95.06835938",
"'47.26562500","'47.26562500","'47.26562500","'47.26562500","'47.26562500",
"'35.47363281","'51.07421875","'62.79296875","'62.74414063","'63.96484375",
"'52.68554688","'75.83007813","'93.21289063","'93.11523438","'94.92187500",
"'48.14453125","'48.14453125","'48.14453125","'48.14453125","'48.14453125",
"'39.99023438","'57.56835938","'70.75195313","'70.70312500","'72.07031250",
"'52.68554688","'75.83007813","'93.21289063","'93.11523438","'94.92187500",
"'47.46093750","'47.46093750","'47.46093750","'47.46093750","'47.46093750",
"'33.22753906","'47.80273438","'58.78906250","'58.74023438","'59.86328125",
"'47.99804688","'69.09179688","'84.96093750","'84.86328125","'86.52343750",
"'50.58593750","'72.75390625","'89.50195313","'89.40429688","'91.16210938",
"'36.30371094","'52.24609375","'64.25781250","'64.16015625","'65.42968750",
"'43.72558594","'62.93945313","'77.39257813","'77.29492188","'78.80859375",
"'52.63671875","'75.73242188","'93.11523438","'93.01757813","'94.82421875",
"'49.90234375","'49.90234375","'49.90234375","'49.90234375","'49.90234375",
"'39.28222656","'39.28222656","'39.28222656","'39.28222656","'39.28222656",
"'50.14648438","'72.16796875","'88.76953125","'88.67187500","'90.38085938",
"'48.53515625","'69.87304688","'85.88867188","'85.83984375","'87.50000000",
"'49.70703125","'71.53320313","'87.93945313","'87.89062500","'89.59960938",
"'49.21875000","'70.84960938","'87.10937500","'87.01171875","'88.72070313",
"'48.48632813","'69.77539063","'85.79101563","'85.74218750","'87.40234375",
"'50.48828125","'72.70507813","'89.40429688","'89.30664063","'91.06445313",
"'53.07617188","'76.41601563","'93.94531250","'93.84765625","'95.70312500",
