"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'54210 Jail","'","'","'",
"'160 Guards","'580,870","'652,614","'721,000",
"'186 Longevity Pay","'5,000","'6,900","'6,200",
"'187 Overtime Pay","'20,012","'12,500","'20,000",
"'188 Bonus Payment","'0","'0","'21,000",
"'189 Other Salaries and Wages","'11,660","'11,866","'15,475",
"'331 Legal Services","'0","'0","'0",
"'340 Medical and Dental Services","'213,915","'250,000","'250,000",
"'355 Travel","'0","'1,500","'5,000",
"'399 Other Contracted Service","'116,624","'125,000","'135,000",
"'410 Custodial Supplies","'19,025","'20,000","'25,000",
"'413 Drugs & Medical Supplies","'20,793","'30,000","'40,000",
"'422 Food Supplies","'192,000","'195,000","'280,000",
"'431 Law Enforcement Supplies","'4,506","'5,000","'5,000",
"'435 Office Supplies","'2,548","'5,000","'5,000",
"'441 Prisoners Clothing","'2,741","'3,000","'4,000",
"'451 Uniforms","'4,777","'8,000","'8,000",
"'499 Other Supplies and Materials","'6,885","'10,000","'15,000",
"'524 In-Service/Staff Development","'200","'1,000","'5,000",
"'709 Data Processing Equipment","'11,074","'12,000","'29,000",
"'719 Office Equipment","'4,424","'5,000","'5,000",
"'Total Jail","'1,217,054","'1,354,380","'1,594,675",
"'54310 Fire Prevention and Control","'","'","'",
"'309 Contracts with Gov Agen","'2,000","'2,000","'2,000",
"'429 Instructional Supplies and Materials","'0","'3,550","'1,000",
"'524 In-Service/Staff Development","'5,891","'10,000","'10,000",
"'790 Other Equipment","'0","'0","'2,550",
"'Total Fire Prevention and Control","'7,891","'15,550","'15,550",
"'54320 Rural Fire Protection","'","'","'",
"'316 Contributions","'0","'0","'150,000",
"'Total Rural Fire Prevention","'0","'0","'150,000",
"'54410 Civil Defense","'","'","'",
"'105 Supervisor/Director","'62,448","'62,541","'66,293",
"'169 Part-time Personnel","'0","'0","'5,000",
"'186 Longevity Pay","'0","'0","'0",
"'187 Overtime Pay","'0","'0","'5,000",
"'189 Other Salaries and Wages","'37,906","'39,057","'45,000",
"'320 Dues and Memberships","'645","'750","'1,000",
"'330 Operating Lease Payment","'3,400","'3,400","'3,400",
"'336 Maint and Repair Services - Equipment","'3,537","'4,500","'5,000",
"'338 Maint and Repair Services - Vehicles","'7,343","'10,000","'12,000",
"'355 Travel","'0","'1,000","'1,000",
,,,

'Confidence Scores % (Table Cell)
""'96.04492188","'93.94531250","'95.01953125","'96.58203125",
"'69.82421875","'69.82421875","'69.82421875","'69.82421875",
"'83.15429688","'81.34765625","'82.27539063","'83.64257813",
"'92.52929688","'90.52734375","'91.55273438","'93.01757813",
"'92.04101563","'90.03906250","'91.06445313","'92.52929688",
"'92.18750000","'90.18554688","'91.21093750","'92.67578125",
"'92.52929688","'90.52734375","'91.55273438","'93.01757813",
"'92.38281250","'90.38085938","'91.40625000","'92.87109375",
"'92.62695313","'90.62500000","'91.65039063","'93.11523438",
"'91.89453125","'89.89257813","'90.91796875","'92.43164063",
"'91.84570313","'89.89257813","'90.86914063","'92.38281250",
"'92.04101563","'90.03906250","'91.06445313","'92.52929688",
"'91.84570313","'89.89257813","'90.86914063","'92.38281250",
"'91.50390625","'89.55078125","'90.57617188","'92.04101563",
"'91.89453125","'89.89257813","'90.91796875","'92.43164063",
"'92.04101563","'90.03906250","'91.06445313","'92.52929688",
"'92.13867188","'90.13671875","'91.16210938","'92.62695313",
"'91.35742188","'89.40429688","'90.42968750","'91.89453125",
"'91.94335938","'89.94140625","'90.96679688","'92.43164063",
"'91.16210938","'89.16015625","'90.18554688","'91.65039063",
"'89.25781250","'87.30468750","'88.28125000","'89.74609375",
"'89.84375000","'87.93945313","'88.91601563","'90.33203125",
"'95.75195313","'93.70117188","'94.72656250","'96.28906250",
"'72.31445313","'72.31445313","'72.31445313","'72.31445313",
"'81.25000000","'79.49218750","'80.41992188","'81.73828125",
"'90.57617188","'88.62304688","'89.59960938","'91.06445313",
"'90.13671875","'88.18359375","'89.20898438","'90.62500000",
"'85.15625000","'83.30078125","'84.27734375","'85.64453125",
"'95.55664063","'93.50585938","'94.53125000","'96.09375000",
"'60.40039063","'60.40039063","'60.40039063","'60.40039063",
"'70.65429688","'69.09179688","'69.87304688","'71.04492188",
"'95.65429688","'93.60351563","'94.62890625","'96.19140625",
"'68.40820313","'68.40820313","'68.40820313","'68.40820313",
"'82.86132813","'81.10351563","'82.03125000","'83.34960938",
"'90.91796875","'88.91601563","'89.94140625","'91.40625000",
"'92.33398438","'90.33203125","'91.35742188","'92.82226563",
"'89.89257813","'87.98828125","'88.96484375","'90.38085938",
"'91.65039063","'89.69726563","'90.67382813","'92.18750000",
"'92.87109375","'90.82031250","'91.89453125","'93.35937500",
"'92.23632813","'90.23437500","'91.25976563","'92.72460938",
"'93.50585938","'91.50390625","'92.52929688","'94.04296875",
"'90.96679688","'88.96484375","'89.99023438","'91.45507813",
"'94.97070313","'92.91992188","'93.99414063","'95.50781250",
