"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'51500 Election Commission","'","'","'",
"'101 County Official","'72,602","'72,601","'77,756",
"'106 Deputy","'29,815","'31,871","'33,146",
"'169 Part-Time Personnel","'16,895","'17,000","'18,000",
"'186 Longevity Pay","'0","'0","'0",
"'192 Election Commission","'4,160","'5,400","'5,400",
"'193 Election Workers","'43,917","'10,000","'55,000",
"'317 Data Processing Services","'3,502","'4,500","'4,500",
"'332 Legal Notices, Rec and Court Costs","'815","'1,000","'1,500",
"'337 Maint and Repair-Office Equip","'0","'1,500","'1,500",
"'349 Printing Stationary and Forms","'4,688","'3,000","'4,000",
"'351 Rentals","'1,100","'1,000","'1,500",
"'355 Travel","'1,697","'3,000","'3,000",
"'399 Other Contracted Services","'16,420","'25,000","'25,000",
"'435 Office Supplies","'1,619","'4,000","'4,000",
"'508 Premiums on Surety Bond","'0","'100","'0",
"'719 Office Equipment","'3,146","'4,000","'4,000",
"'790 Other Equipment","'0","'0","'474,989",
"'Total Election Commission","'200,376","'183,972","'713,291",
"'51600 Register of Deeds","'","'","'",
"'101 County Official","'80,668","'80,668","'86,395",
"'106 Deputy","'30,953","'31,893","'33,169",
"'140 Salary Supplement","'1,762","'3,375","'3,750",
"'162 Clerical Personnel","'25,451","'26,224","'27,797",
"'186 Longevity Pay","'1,300","'1,400","'1,500",
"'317 Data Processing Services","'12,187","'16,000","'16,000",
"'332 Legal Notices, Recording and Court Costs","'0","'22","'22",
"'337 Maint and Repair Services","'1,164","'2,500","'2,500",
"'355 Travel","'964","'1,500","'2,000",
"'399 Other Contracted Services","'0","'0","'200",
"'435 Office Supplies","'1,124","'1,500","'2,000",
"'508 Premiums on Surety Bond","'0","'0","'0",
"'524 In-Service/Staff Development","'580","'750","'750",
"'719 Office Equipment","'0","'2,000","'2,000",
"'Total Register of Deeds","'156,153","'167,832","'178,083",
"'51720 Planning","'","'","'",
"'105 Supervisor/Director","'56,292","'58,001","'62,000",
"'106 Deputy(s)","'33,231","'34,240","'35,610",
"'162 Clerical Personnel","'24,307","'25,773","'26,804",
"'186 Longevity Pay","'700","'800","'900",
"'191 Board and Committee Member Fees","'2,050","'3,900","'3,900",
"'196 In-Service Training","'750","'2,500","'2,500",
"'312 Contracts with Private Agencies","'11,875","'13,500","'16,000",
"'317 Data Processing Service","'2,398","'2,700","'2,700",
"'331 Legal Services","'10,595","'5,000","'8,000",
,,,

'Confidence Scores % (Table Cell)
""'92.04101563","'94.62890625","'95.01953125","'96.53320313",
"'63.72070313","'63.72070313","'63.72070313","'63.72070313",
"'89.45312500","'91.99218750","'92.38281250","'93.84765625",
"'88.62304688","'91.11328125","'91.50390625","'92.91992188",
"'88.76953125","'91.25976563","'91.65039063","'93.06640625",
"'86.32812500","'88.76953125","'89.16015625","'90.57617188",
"'87.35351563","'89.79492188","'90.18554688","'91.60156250",
"'87.64648438","'90.13671875","'90.52734375","'91.94335938",
"'88.67187500","'91.16210938","'91.55273438","'92.96875000",
"'87.64648438","'90.13671875","'90.52734375","'91.94335938",
"'88.42773438","'90.91796875","'91.30859375","'92.72460938",
"'88.42773438","'90.91796875","'91.30859375","'92.72460938",
"'87.98828125","'90.47851563","'90.82031250","'92.28515625",
"'87.89062500","'90.38085938","'90.72265625","'92.18750000",
"'87.79296875","'90.28320313","'90.67382813","'92.08984375",
"'87.20703125","'89.69726563","'90.03906250","'91.45507813",
"'88.81835938","'91.35742188","'91.74804688","'93.16406250",
"'87.50000000","'89.99023438","'90.38085938","'91.79687500",
"'86.96289063","'89.45312500","'89.79492188","'91.21093750",
"'91.74804688","'94.33593750","'94.72656250","'96.24023438",
"'73.48632813","'73.48632813","'73.48632813","'73.48632813",
"'80.12695313","'82.37304688","'82.71484375","'84.03320313",
"'85.93750000","'88.37890625","'88.72070313","'90.13671875",
"'88.13476563","'90.67382813","'91.01562500","'92.48046875",
"'85.88867188","'88.33007813","'88.67187500","'90.08789063",
"'86.81640625","'89.25781250","'89.59960938","'91.01562500",
"'85.35156250","'87.74414063","'88.13476563","'89.50195313",
"'85.44921875","'87.84179688","'88.23242188","'89.59960938",
"'86.27929688","'88.72070313","'89.11132813","'90.52734375",
"'84.13085938","'86.47460938","'86.86523438","'88.23242188",
"'87.40234375","'89.84375000","'90.23437500","'91.65039063",
"'84.22851563","'86.57226563","'86.96289063","'88.33007813",
"'88.52539063","'91.01562500","'91.40625000","'92.82226563",
"'84.81445313","'87.20703125","'87.54882813","'88.91601563",
"'85.40039063","'87.79296875","'88.18359375","'89.55078125",
"'91.45507813","'94.09179688","'94.43359375","'95.94726563",
"'72.70507813","'72.70507813","'72.70507813","'72.70507813",
"'81.78710938","'84.13085938","'84.47265625","'85.79101563",
"'86.66992188","'89.11132813","'89.50195313","'90.86914063",
"'88.28125000","'90.82031250","'91.16210938","'92.62695313",
"'87.10937500","'89.59960938","'89.94140625","'91.35742188",
"'88.76953125","'91.25976563","'91.65039063","'93.06640625",
"'85.69335938","'88.13476563","'88.47656250","'89.89257813",
"'88.72070313","'91.21093750","'91.60156250","'93.01757813",
"'87.74414063","'90.23437500","'90.62500000","'92.04101563",
"'90.42968750","'92.96875000","'93.35937500","'94.82421875",
