"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'71000 Instruction","'","'","'",
"'71100 Regular Instruction Program","'","'","'",
"'116 Teachers","'8,586,527","'9,505,579","'9,840,000",
"'117 Career Ladder Program","'45,000","'50,000","'50,000",
"'128 Homebound Teachers","'0","'12,000","'12,000",
"'140 Salary Supplements","'303,545","'319,317","'335,602",
"'163 Educational Assistants","'381,060","'300,000","'324,240",
"'189 Other Salaries and Wages","'216,095","'400,000","'412,120",
"'198 Non-Certified Substitute Teachers","'113,024","'150,000","'185,000",
"'201 Social Security","'707,917","'821,373","'853,661",
"'204 State Retirement","'749,881","'1,167,735","'1,000,000",
"'207 Medical Insurance","'1,395,542","'1,442,000","'1,870,840",
"'215 On-behalf Payments to OPEB","'16,404","'0","'0",
"'336 Maint and Repair Service - Equipment","'8,000","'16,000","'16,000",
"'399 Other Contracted Services","'59,938","'85,000","'85,000",
"'429 Instructional Supplies and Materials","'124,413","'120,000","'125,000",
"'449 Textbooks","'355,290","'100,000","'100,000",
"'499 Other Supplies and Materials","'15,239","'10,000","'10,000",
"'722 Regular Instructional Equipment","'36,000","'100,000","'100,000",
"'Total Instructional Program","'13,113,875","'14,599,004","'15,319,463",
"'71150 Alternative Instruction Program","'","'","'",
"'116 Teachers","'70,817","'112,000","'150,000",
"'163 Educational Assistants","'17,982","'19,000","'20,535",
"'201 Social Security","'5,565","'10,022","'13,046",
"'204 State Retirement","'13,620","'14,449","'17,906",
"'207 Medical Insurance","'17,580","'23,700","'31,600",
"'355 Travel","'0","'0","'2,500",
"'429 Instructional Supplies and Materials","'0","'500","'1,000",
"'499 Other Supplies and Materials","'425","'1,000","'1,500",
"'Total Alternative Schools","'125,989","'180,671","'238,087",
"'71200 Special Education Program","'","'","'",
"'116 Teachers","'1,524,603","'1,625,000","'1,695,000",
"'124 Psychological Personnel","'62,790","'64,000","'68,000",
"'128 Homebound Teachers","'24,262","'23,000","'24,175",
"'163 Educational Assistants","'229,074","'317,143","'342,768",
"'171 Speech Pathologist","'186,945","'214,878","'225,858",
"'201 Social Security","'148,680","'171,668","'180,219",
"'204 State Retirement","'227,122","'223,814","'216,805",
"'207 Medical Insurance","'317,398","'329,600","'336,192",
"'399 Other Contracted Services","'180,346","'225,000","'240,000",
"'Total Special Educational Program","'2,901,220","'3,194,103","'3,329,017",
"'71300 Career and Technical Education Program","'","'","'",
"'116 Teachers","'697,470","'770,000","'770,000",
"'140 Supplements","'12,000","'12,000","'12,000",
"'198 Non-Certified Substitute Teachers","'12,608","'15,000","'20,000",
,,,

'Confidence Scores % (Table Cell)
""'52.39257813","'93.31054688","'94.48242188","'96.19140625",
"'66.35742188","'66.35742188","'66.35742188","'66.35742188",
"'51.85546875","'51.85546875","'51.85546875","'51.85546875",
"'49.75585938","'88.57421875","'89.69726563","'91.30859375",
"'50.39062500","'89.74609375","'90.86914063","'92.52929688",
"'49.46289063","'88.08593750","'89.20898438","'90.82031250",
"'50.34179688","'89.64843750","'90.77148438","'92.43164063",
"'49.75585938","'88.57421875","'89.69726563","'91.30859375",
"'49.92675781","'88.91601563","'90.03906250","'91.65039063",
"'49.65820313","'88.37890625","'89.55078125","'91.11328125",
"'50.09765625","'89.20898438","'90.38085938","'91.99218750",
"'49.97558594","'89.01367188","'90.13671875","'91.74804688",
"'50.24414063","'89.45312500","'90.62500000","'92.23632813",
"'50.19531250","'89.40429688","'90.57617188","'92.18750000",
"'50.09765625","'89.20898438","'90.38085938","'91.99218750",
"'50.34179688","'89.64843750","'90.77148438","'92.43164063",
"'50.24414063","'89.45312500","'90.62500000","'92.23632813",
"'48.68164063","'86.66992188","'87.79296875","'89.35546875",
"'50.24414063","'89.45312500","'90.62500000","'92.23632813",
"'47.58300781","'84.71679688","'85.79101563","'87.30468750",
"'51.85546875","'92.38281250","'93.55468750","'95.21484375",
"'58.88671875","'58.88671875","'58.88671875","'58.88671875",
"'42.33398438","'75.39062500","'76.31835938","'77.68554688",
"'49.12109375","'87.45117188","'88.57421875","'90.18554688",
"'49.80468750","'88.67187500","'89.79492188","'91.40625000",
"'48.41308594","'86.18164063","'87.30468750","'88.86718750",
"'49.51171875","'88.18359375","'89.30664063","'90.86914063",
"'49.56054688","'88.23242188","'89.40429688","'90.96679688",
"'47.04589844","'83.78906250","'84.86328125","'86.37695313",
"'48.68164063","'86.66992188","'87.79296875","'89.35546875",
"'52.34375000","'93.16406250","'94.33593750","'96.04492188",
"'58.49609375","'58.49609375","'58.49609375","'58.49609375",
"'44.14062500","'78.61328125","'79.63867188","'81.05468750",
"'49.75585938","'88.57421875","'89.69726563","'91.30859375",
"'48.60839844","'86.52343750","'87.64648438","'89.20898438",
"'49.36523438","'87.89062500","'89.01367188","'90.62500000",
"'49.70703125","'88.47656250","'89.64843750","'91.21093750",
"'49.07226563","'87.35351563","'88.52539063","'90.08789063",
"'50.39062500","'89.74609375","'90.86914063","'92.52929688",
"'47.65625000","'84.81445313","'85.93750000","'87.45117188",
"'48.38867188","'86.13281250","'87.25585938","'88.81835938",
"'52.19726563","'92.96875000","'94.14062500","'95.84960938",
"'55.66406250","'55.66406250","'55.66406250","'55.66406250",
"'42.08984375","'74.95117188","'75.92773438","'77.29492188",
"'50.48828125","'89.89257813","'91.01562500","'92.67578125",
"'52.05078125","'92.62695313","'93.84765625","'95.50781250",
