"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'ESTIMATED REVENUE","'","'","'",
"'","'OPERATING REVENUE","'","'","'",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43100","'General Services Charges","'","'","'",
"'43106","'Commercial & Industrial Collection Charge","'170,498","'125,000","'130,000",
"'43107","'Residential Waste Collection Charge","'114,894","'150,000","'150,000",
"'43109","'Transfer Waste Station Collection Charge","'36","'0","'0",
"'43110","'Tipping Fees","'59,569","'50,000","'50,000",
"'43114","'Solid Waste Disposal Fee","'837,927","'830,000","'840,000",
"'43350","'Copy Fees","'0","'0","'0",
"'","'Total Charges for Current Services","'1,182,924","'1,155,000","'1,170,000",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'796","'6,000","'6,000",
"'44120","'Lease/Rentals","'63,158","'65,000","'65,000",
"'44145","'Sale of Recycled Materials","'104,999","'100,000","'140,000",
"'44170","'Miscellaneous Refunds","'0","'0","'0",
"'","'Total Recurring Items","'168,953","'171,000","'211,000",
"'44500","'Non-Recurring Items","'","'","'",
"'44530","'Sale of Equipment","'66,001","'5,000","'5,000",
"'","'Total Non-Recurring Items","'66,001","'5,000","'5,000",
"'","'Total Other Local Revenues","'234,954","'176,000","'216,000",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46400","'Public Works Grants","'","'","'",
"'46430","'Litter Program","'20,479","'49,300","'49,300",
"'","'Total Public Works Grants","'20,479","'49,300","'49,300",
"'46800","'Other State Revenues","'","'","'",
"'46980","'Other State Grants","'11,442","'0","'0",
"'46990","'Other State Revenues","'0","'9,500","'9,500",
"'","'Total Other State Revenues","'11,442","'9,500","'9,500",
"'","'Total State of Tennessee","'31,921","'58,800","'58,800",
"'47000","'FEDERAL GOVERNMENT","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47235","'Homeland Security Grants","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'55.81054688","'77.34375000","'92.82226563","'93.21289063","'95.11718750",
"'64.16015625","'64.16015625","'64.16015625","'64.16015625","'64.16015625",
"'49.56054688","'68.70117188","'82.42187500","'82.76367188","'84.47265625",
"'38.52539063","'53.36914063","'64.06250000","'64.35546875","'65.67382813",
"'38.06152344","'52.78320313","'63.33007813","'63.62304688","'64.89257813",
"'52.58789063","'72.90039063","'87.50000000","'87.89062500","'89.69726563",
"'53.02734375","'73.53515625","'88.23242188","'88.62304688","'90.42968750",
"'52.39257813","'72.65625000","'87.20703125","'87.54882813","'89.35546875",
"'51.85546875","'71.92382813","'86.32812500","'86.66992188","'88.47656250",
"'53.41796875","'74.02343750","'88.86718750","'89.20898438","'91.06445313",
"'50.92773438","'70.60546875","'84.76562500","'85.10742188","'86.86523438",
"'55.32226563","'76.70898438","'92.08984375","'92.48046875","'94.38476563",
"'46.28906250","'46.28906250","'46.28906250","'46.28906250","'46.28906250",
"'35.25390625","'48.85253906","'58.64257813","'58.88671875","'60.10742188",
"'51.17187500","'70.94726563","'85.15625000","'85.49804688","'87.25585938",
"'52.29492188","'72.46093750","'87.01171875","'87.35351563","'89.16015625",
"'51.31835938","'71.14257813","'85.40039063","'85.74218750","'87.50000000",
"'49.24316406","'68.26171875","'81.93359375","'82.27539063","'83.98437500",
"'55.51757813","'76.95312500","'92.38281250","'92.72460938","'94.62890625",
"'44.36035156","'44.36035156","'44.36035156","'44.36035156","'44.36035156",
"'39.62402344","'54.93164063","'65.91796875","'66.21093750","'67.57812500",
"'54.73632813","'75.87890625","'91.06445313","'91.45507813","'93.31054688",
"'54.44335938","'75.48828125","'90.62500000","'90.96679688","'92.87109375",
"'41.01562500","'41.01562500","'41.01562500","'41.01562500","'41.01562500",
"'32.73925781","'45.38574219","'54.49218750","'54.68750000","'55.85937500",
"'44.06738281","'61.08398438","'73.29101563","'73.63281250","'75.14648438",
"'55.12695313","'76.46484375","'91.74804688","'92.13867188","'94.04296875",
"'44.94628906","'44.94628906","'44.94628906","'44.94628906","'44.94628906",
"'40.94238281","'56.78710938","'68.16406250","'68.40820313","'69.82421875",
"'49.14550781","'68.11523438","'81.73828125","'82.08007813","'83.78906250",
"'55.12695313","'76.41601563","'91.69921875","'92.08984375","'93.99414063",
"'54.68750000","'75.78125000","'90.96679688","'91.35742188","'93.21289063",
"'40.84472656","'56.59179688","'67.96875000","'68.21289063","'69.62890625",
"'30.10253906","'41.74804688","'50.09765625","'50.29296875","'51.36718750",
"'41.60156250","'57.66601563","'69.18945313","'69.48242188","'70.89843750",
