"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'399 Other Contracted Services","'690","'4,000","'4,500",
"'412 Diesel","'653","'4,000","'4,000",
"'425 Gasoline","'4,165","'7,000","'10,000",
"'435 Office Supplies","'962","'1,000","'1,000",
"'442 Propane Gas","'0","'3,000","'3,000",
"'451 Uniforms","'646","'1,000","'1,000",
"'499 Other Supplies and Materials","'12,374","'11,860","'9,690",
"'508 Premiums on Corporate Surety Bonds","'0","'50","'50",
"'524 In-Service/Staff Development","'555","'1,000","'2,000",
"'599 Other Charges","'8","'1,000","'1,000",
"'708 Communication Equipment","'4,635","'7,000","'12,000",
"'718 Motor Vehicles","'14,403","'0","'0",
"'718-DA Motor Vehicles-Direct Appropriations Grant","'5,000","'0","'0",
"'790 Other Equipment","'1,306","'1,000","'1,000",
"'Total Civil Defense","'160,676","'163,158","'192,933",
"'54420 Rescue Squad","'","'","'",
"'316 Contributions","'25,000","'35,000","'0",
"'515 Liability Claims","'9,495","'0","'0",
"'Total Rescue Squad","'34,495","'35,000","'0",
"'54610 County Coroner","'","'","'",
"'131 Medical Personnel","'4,750","'5,000","'5,000",
"'341 Pauper Burials","'0","'1,000","'1,000",
"'399 Other Contracted Services","'66,300","'50,000","'50,000",
"'508 Premiums on Corporate Surety Bonds","'0","'0","'0",
"'Total County Coroner","'71,050","'56,000","'56,000",
"'Total Public Safety","'3,585,086","'3,869,371","'4,377,540",
"'55000 PUBLIC HEALTH AND WELFARE","'","'","'",
"'55110 Local Health Center","'","'","'",
"'316 Contributions","'19,056","'39,031","'39,031",
"'335 Maintenance and Repair Service-Building","'1,797","'1,000","'1,000",
"'399 Other Contracted Services","'0","'6,100","'6,100",
"'435 Office Supplies","'36","'1,520","'1,520",
"'499 Other Supplies & Materials","'0","'2,250","'2,250",
"'599 Other Charges","'598","'700","'700",
"'599-PPI Other Charges","'0","'0","'0",
"'Total Local Health Center","'21,487","'50,601","'50,601",
"'55130 Ambulance/Emergency Medical Services","'","'","'",
"'105 Supervisor/Director","'59,744","'59,833","'64,620",
"'131 Medical Personnel","'828,023","'1,075,666","'1,220,252",
"'169 Part-time Personnel","'109,294","'140,000","'150,000",
,,,

'Confidence Scores % (Table Cell)
""'51.22070313","'93.84765625","'95.26367188","'96.53320313",
"'48.77929688","'89.35546875","'90.67382813","'91.89453125",
"'48.85253906","'89.50195313","'90.82031250","'92.04101563",
"'49.29199219","'90.28320313","'91.65039063","'92.82226563",
"'49.36523438","'90.42968750","'91.74804688","'92.96875000",
"'48.55957031","'88.91601563","'90.28320313","'91.45507813",
"'48.63281250","'89.06250000","'90.38085938","'91.60156250",
"'49.04785156","'89.84375000","'91.16210938","'92.33398438",
"'48.36425781","'88.62304688","'89.94140625","'91.11328125",
"'48.95019531","'89.69726563","'91.01562500","'92.23632813",
"'48.33984375","'88.57421875","'89.89257813","'91.06445313",
"'48.36425781","'88.62304688","'89.94140625","'91.11328125",
"'48.87695313","'89.55078125","'90.86914063","'92.08984375",
"'49.19433594","'90.08789063","'91.45507813","'92.62695313",
"'45.94726563","'84.13085938","'85.40039063","'86.52343750",
"'50.92773438","'93.26171875","'94.62890625","'95.89843750",
"'61.42578125","'61.42578125","'61.42578125","'61.42578125",
"'40.79589844","'74.70703125","'75.83007813","'76.80664063",
"'47.99804688","'87.93945313","'89.20898438","'90.38085938",
"'51.12304688","'93.70117188","'95.06835938","'96.33789063",
"'61.86523438","'61.86523438","'61.86523438","'61.86523438",
"'42.89550781","'78.56445313","'79.73632813","'80.81054688",
"'48.68164063","'89.16015625","'90.47851563","'91.69921875",
"'47.60742188","'87.20703125","'88.52539063","'89.69726563",
"'46.77734375","'85.69335938","'86.96289063","'88.08593750",
"'50.78125000","'92.96875000","'94.38476563","'95.60546875",
"'50.58593750","'92.72460938","'94.09179688","'95.31250000",
"'64.06250000","'64.06250000","'64.06250000","'64.06250000",
"'52.14843750","'52.14843750","'52.14843750","'52.14843750",
"'48.31542969","'88.52539063","'89.84375000","'91.01562500",
"'48.73046875","'89.25781250","'90.57617188","'91.79687500",
"'48.85253906","'89.50195313","'90.82031250","'92.04101563",
"'48.80371094","'89.40429688","'90.72265625","'91.94335938",
"'49.04785156","'89.84375000","'91.16210938","'92.33398438",
"'47.19238281","'86.42578125","'87.69531250","'88.86718750",
"'47.11914063","'86.27929688","'87.59765625","'88.72070313",
"'50.92773438","'93.31054688","'94.67773438","'95.94726563",
"'48.24218750","'48.24218750","'48.24218750","'48.24218750",
"'45.36132813","'83.10546875","'84.32617188","'85.44921875",
"'48.95019531","'89.69726563","'91.01562500","'92.23632813",
"'50.78125000","'93.01757813","'94.43359375","'95.65429688",
