"'The Nonprofit Appropriation Resolution","'1",
"'The General Appropriation Resolution","'4",
"'Summary Statement of Proposed Operation","'10",
"'The Tax Levy Resolution","'11",
"'Statement of Estimated Revenue From Current Property Taxes","'13",
"'Fund 101-General Fund","'14",
"'Fund 122-Drug Control Fund","'34",
"'Fund 125-Adequate Facilities Tax Fund","'35",
"'Fund 127-American Rescue Plan Act(SLFRF)","'36",
"'Fund 131-Highway/Public Works Fund","'37",
"'Fund 141-General Purpose School Fund","'41",
"'Fund 143-Central Cafeteria Fund","'51",
"'Fund 151-General Debt Service Fund","'53",
"'Fund 207-Solid Waste Disposal Fund","'56",
,

'Confidence Scores % (Table Cell)
""'94.53125000","'39.79492188",
"'93.06640625","'39.18457031",
"'93.50585938","'39.37988281",
"'91.84570313","'38.67187500",
"'93.75000000","'39.47753906",
"'92.82226563","'39.06250000",
"'92.72460938","'39.03808594",
"'93.16406250","'39.23339844",
"'92.18750000","'38.81835938",
"'93.21289063","'39.25781250",
"'92.57812500","'38.96484375",
"'92.52929688","'38.96484375",
"'93.26171875","'39.28222656",
"'92.48046875","'38.94042969",
