"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'Total Central and Other","'188,964","'257,500","'257,883",
"'Total Support Services","'10,745,002","'12,594,580","'13,318,228",
"'73000 Operation of Non-Instructional Services","'","'","'",
"'73100 Food Service","'","'","'",
"'105 Supervisor/Director","'23,000","'30,000","'32,500",
"'165 Cafeteria Personnel","'20,100","'0","'0",
"'201 Social Security","'3,297","'2,295","'2,486",
"'204 State Retirement","'4,342","'3,309","'3,585",
"'422 Food Supplies","'11,631","'0","'0",
"'Total Food Service","'62,370","'35,604","'38,571",
"'73300 Community Services","'","'","'",
"'105 Supervisor/Director","'31,500","'31,894","'34,150",
"'189 Other Salaries and Wages","'56,802","'58,075","'62,667",
"'201 Social security","'6,466","'6,883","'7,406",
"'204 State Retirement","'9,819","'9,924","'10,679",
"'207 Medical Insurance","'18,000","'18,540","'18,911",
"'499 Other Supplies and Materials","'4,235","'5,000","'5,000",
"'524 Inservice","'0","'0","'0",
"'719 Office Equipment","'2,995","'2,000","'5,000",
"'Total Community Services","'129,817","'132,316","'143,813",
"'73400 Early Childhood Education","'","'","'",
"'105 Supervisor/Director","'39,820","'40,720","'42,100",
"'116 Teachers","'188,708","'195,800","'205,805",
"'163 Educational Assistants","'62,204","'69,200","'74,791",
"'189 Other Salaries and Wages","'8,970","'12,000","'12,000",
"'198 Non-Certified Substitute Teachers","'0","'5,000","'5,000",
"'201 Social Security","'22,506","'24,306","'25,604",
"'204 Retirement","'34,334","'35,045","'36,917",
"'207 Medical Insurance","'49,000","'50,470","'51,479",
"'355 Travel","'0","'500","'500",
"'399 Other Contracted Services","'457","'2,000","'2,000",
"'429 Instructional Supplies and Materials","'10,498","'10,500","'10,500",
"'499 Other Supplies and Materials","'17,152","'10,500","'10,500",
"'524 Inservice","'125","'2,000","'2,000",
"'790 Other Equipment","'400","'15,000","'15,000",
"'Total Early Childhood Education","'434,174","'473,041","'494,196",
"'Total Operation of Non-Instructional Services","'626,361","'640,961","'676,580",
"'76000 Capital Outlay","'","'","'",
"'76100 Regular Capital Outlay","'","'","'",
"'799 Other Capital Outlay","'77,192","'450,000","'690,000",
"'Total Regular Capital Outlay","'77,192","'450,000","'690,000",
,,,

'Confidence Scores % (Table Cell)
""'49.75585938","'93.35937500","'93.11523438","'96.28906250",
"'46.72851563","'87.64648438","'87.40234375","'90.42968750",
"'49.58496094","'93.01757813","'92.77343750","'95.94726563",
"'54.39453125","'54.39453125","'54.39453125","'54.39453125",
"'44.94628906","'44.94628906","'44.94628906","'44.94628906",
"'46.45996094","'87.20703125","'86.96289063","'89.94140625",
"'47.21679688","'88.57421875","'88.33007813","'91.35742188",
"'46.99707031","'88.13476563","'87.93945313","'90.91796875",
"'46.09375000","'86.47460938","'86.27929688","'89.20898438",
"'46.31347656","'86.91406250","'86.66992188","'89.64843750",
"'49.53613281","'92.91992188","'92.67578125","'95.84960938",
"'61.76757813","'61.76757813","'61.76757813","'61.76757813",
"'42.67578125","'80.07812500","'79.83398438","'82.56835938",
"'46.26464844","'86.81640625","'86.57226563","'89.55078125",
"'47.29003906","'88.72070313","'88.47656250","'91.50390625",
"'46.43554688","'87.15820313","'86.91406250","'89.89257813",
"'47.14355469","'88.42773438","'88.23242188","'91.21093750",
"'46.53320313","'87.30468750","'87.10937500","'90.08789063",
"'44.53125000","'83.54492188","'83.30078125","'86.18164063",
"'46.50878906","'87.25585938","'87.06054688","'90.03906250",
"'49.73144531","'93.31054688","'93.06640625","'96.24023438",
"'55.66406250","'55.66406250","'55.66406250","'55.66406250",
"'41.35742188","'77.63671875","'77.39257813","'80.02929688",
"'45.58105469","'85.49804688","'85.30273438","'88.23242188",
"'45.70312500","'85.74218750","'85.54687500","'88.42773438",
"'46.11816406","'86.52343750","'86.32812500","'89.25781250",
"'46.28906250","'86.86523438","'86.62109375","'89.59960938",
"'46.77734375","'87.74414063","'87.50000000","'90.47851563",
"'46.85058594","'87.89062500","'87.64648438","'90.62500000",
"'45.06835938","'84.57031250","'84.32617188","'87.20703125",
"'46.67968750","'87.59765625","'87.35351563","'90.38085938",
"'45.50781250","'85.40039063","'85.15625000","'88.08593750",
"'46.65527344","'87.54882813","'87.35351563","'90.33203125",
"'47.48535156","'89.06250000","'88.86718750","'91.89453125",
"'44.62890625","'83.74023438","'83.49609375","'86.32812500",
"'45.31250000","'85.00976563","'84.81445313","'87.69531250",
"'49.48730469","'92.82226563","'92.57812500","'95.75195313",
"'48.65722656","'91.30859375","'91.06445313","'94.18945313",
"'61.62109375","'61.62109375","'61.62109375","'61.62109375",
"'43.40820313","'43.40820313","'43.40820313","'43.40820313",
"'43.45703125","'81.54296875","'81.34765625","'84.13085938",
"'49.90234375","'93.60351563","'93.35937500","'96.58203125",
