"'Fund","'Proposed Tax Rate","'Amount of Tax Levy","'7.00% Reserve for Delinquency","'Estimated Collection of Taxes",
"'General","'$1.6724","'$ 9,054,180","'$ 633,793","'$8,420,387",
"'Highway/Public Works","'$0.0571","'$ 309,133","'$ 21,639","'$ 287,493",
"'General Purpose School","'$0.5866","'$ 3,175,784","'$ 222,305","'$2,953,479",
"'General Debt Service","'$0.0163","'$ 88,246","'$ 6,177","'$ 82,069",
"'Total","'$2.3324","'$12,627,343","'$ 883,914","'$11,743,429",
,,,,

'Confidence Scores % (Table Cell)
""'95.50781250","'91.45507813","'94.09179688","'94.14062500","'94.09179688",
"'93.31054688","'89.40429688","'91.89453125","'91.99218750","'91.89453125",
"'91.06445313","'87.20703125","'89.69726563","'89.74609375","'89.69726563",
"'90.91796875","'87.06054688","'89.55078125","'89.64843750","'89.55078125",
"'86.96289063","'83.30078125","'85.64453125","'85.74218750","'85.64453125",
"'91.11328125","'87.25585938","'89.69726563","'89.79492188","'89.69726563",
