"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'355 Travel","'31","'500","'400",
"'399 Other Contracted Services","'1,758","'9,000","'4,000",
"'435 Office Supplies","'0","'500","'800",
"'499 Other Supplies and Materials","'325","'500","'800",
"'524 In-Service/Staff Development","'0","'500","'0",
"'719 Office Equipment","'0","'5,000","'22,000",
"'790 Other Equipment","'12,957","'0","'0",
"'790-DA Other Equipment-Direct Appropriations","'20,000","'0","'0",
"'Total Other General Administration","'137,824","'121,349","'124,643",
"'51910 Preservation of Records","'","'","'",
"'140 Salary Supplement","'1,500","'1,500","'1,500",
"'162 Clerical Personnel","'29,461","'30,356","'31,571",
"'186 Longevity Pay","'2,300","'2,400","'2,500",
"'355 Travel","'68","'150","'150",
"'399 Other Contracted Services","'2,035","'4,200","'4,000",
"'435 Office Supplies","'321","'350","'550",
"'499 Other Supplies and Materials","'359","'400","'680",
"'499-ADP Other Supplies and Materials","'0","'0","'0",
"'524 In-Service/Staff Development","'185","'180","'100",
"'599 Other Charges","'169","'300","'100",
"'Total Preservation of Records","'36,398","'39,836","'41,151",
"'Total General Administration","'1,707,072","'1,703,610","'2,296,511",
"'52000 FINANCE","'","'","'",
"'52100 Accounting and Budgeting","'","'","'",
"'101 Administrative Officer","'80,668","'80,668","'86,395",
"'103 Assistants","'44,654","'46,010","'45,000",
"'119 Accounts/Bookkeepers","'115,445","'120,375","'125,190",
"'140 Salary Supplement","'8,625","'9,000","'6,375",
"'186 Longevity Pay","'4,600","'5,500","'3,200",
"'317 Data Processing Services","'18,275","'19,500","'21,005",
"'332 Legal Notices Rec Court Costs","'6,603","'4,300","'4,300",
"'349 Printing Stationary Forms","'3,231","'5,500","'5,500",
"'355 Travel","'34","'2,300","'2,100",
"'399 Other Contracted Services","'1,709","'3,000","'3,000",
"'435 Office Supplies","'2,327","'3,500","'3,500",
"'508 Surety Bond","'0","'300","'300",
"'524 In-Service/Staff Development","'650","'800","'1,000",
"'719 Office Equipment","'1,941","'2,000","'2,000",
"'Total Accounting and Budgeting","'288,762","'302,753","'308,865",
"'52300 Property Assessor Office","'","'","'",
"'101 County Official","'80,668","'80,668","'86,395",
"'106 Deputy","'42,857","'41,891","'0",
,,,

'Confidence Scores % (Table Cell)
""'95.99609375","'93.99414063","'94.67773438","'96.53320313",
"'92.18750000","'90.28320313","'90.91796875","'92.67578125",
"'91.60156250","'89.74609375","'90.38085938","'92.13867188",
"'92.48046875","'90.57617188","'91.21093750","'92.96875000",
"'92.72460938","'90.82031250","'91.45507813","'93.21289063",
"'91.50390625","'89.64843750","'90.28320313","'92.04101563",
"'92.23632813","'90.33203125","'90.96679688","'92.72460938",
"'91.30859375","'89.40429688","'90.03906250","'91.79687500",
"'92.08984375","'90.18554688","'90.82031250","'92.57812500",
"'95.80078125","'93.79882813","'94.48242188","'96.33789063",
"'72.02148438","'72.02148438","'72.02148438","'72.02148438",
"'83.30078125","'81.59179688","'82.17773438","'83.78906250",
"'91.79687500","'89.89257813","'90.57617188","'92.33398438",
"'91.99218750","'90.08789063","'90.77148438","'92.52929688",
"'91.45507813","'89.59960938","'90.23437500","'91.99218750",
"'91.89453125","'89.99023438","'90.67382813","'92.43164063",
"'89.45312500","'87.59765625","'88.23242188","'89.94140625",
"'91.11328125","'89.20898438","'89.84375000","'91.60156250",
"'89.99023438","'88.13476563","'88.76953125","'90.47851563",
"'91.21093750","'89.30664063","'89.94140625","'91.69921875",
"'86.13281250","'84.32617188","'84.96093750","'86.57226563",
"'95.26367188","'93.31054688","'93.99414063","'95.80078125",
"'95.26367188","'93.31054688","'93.99414063","'95.80078125",
"'70.41015625","'70.41015625","'70.41015625","'70.41015625",
"'47.36328125","'47.36328125","'47.36328125","'47.36328125",
"'91.01562500","'89.11132813","'89.74609375","'91.50390625",
"'88.23242188","'86.42578125","'87.06054688","'88.72070313",
"'91.74804688","'89.89257813","'90.52734375","'92.28515625",
"'87.35351563","'85.54687500","'86.18164063","'87.84179688",
"'91.21093750","'89.30664063","'89.94140625","'91.69921875",
"'90.18554688","'88.33007813","'88.96484375","'90.67382813",
"'88.81835938","'87.01171875","'87.59765625","'89.30664063",
"'89.20898438","'87.35351563","'87.98828125","'89.69726563",
"'86.76757813","'85.00976563","'85.59570313","'87.25585938",
"'91.35742188","'89.50195313","'90.13671875","'91.89453125",
"'89.94140625","'88.08593750","'88.72070313","'90.42968750",
"'90.91796875","'89.01367188","'89.64843750","'91.40625000",
"'88.47656250","'86.66992188","'87.30468750","'88.96484375",
"'88.62304688","'86.81640625","'87.40234375","'89.11132813",
"'95.45898438","'93.50585938","'94.14062500","'95.99609375",
"'65.67382813","'65.67382813","'65.67382813","'65.67382813",
"'82.03125000","'80.32226563","'80.90820313","'82.47070313",
"'94.14062500","'92.18750000","'92.87109375","'94.62890625",
