"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'46990","'Other State Revenues","'7,126","'7,000","'7,000",
"'","'Total Other State Revenues","'1,811,062","'979,189","'1,030,515",
"'","'TOTAL STATE OF TENNESSEE","'2,135,619","'1,315,062","'1,363,705",
"'47000","'FEDERAL GOVERNMENT","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47230","'Disaster Relief","'21,668","'0","'0",
"'47235","'Homeland Security Grants","'42,224","'41,710","'39,727",
"'47235-TSEE","'Homeland Security Grants-Traffic Safety Enforcem","'4,998","'0","'0",
"'47301-CRF","'COVID-19 Grant-Coronavirus Relief Fund","'339,350","'0","'0",
"'47305-LIB","'COVID-19 Grant-Coronavirus Relief Fund","'4,550","'","'0",
"'47306-CAG","'COVID-19 Grant-Coronavirus Relief Fund","'3,450","'","'0",
"'47590","'Other Federal Through State","'0","'0","'0",
"'47990","'Other Direct Federal Revenue","'0","'0","'0",
"'","'Total Federal Through State","'416,240","'41,710","'39,727",
"'47600","'DIRECT FEDERAL REVENUE","'","'","'",
"'47901","'COVID-19 Grant(CESF Video Arraignment)","'0","'0","'0",
"'47990","'Other Direct Federal","'0","'0","'0",
"'","'Total Direct Federal","'0","'0","'0",
"'","'TOTAL FEDERAL GOVERNMENT","'416,240","'41,710","'39,727",
"'48000","'OTHER GOVERNMENTS AND CITIZEN GROUPS","'","'","'",
"'48100","'Other Governments","'","'","'",
"'48130","'Contributions","'44,000","'47,000","'45,000",
"'48900","'Other","'","'","'",
"'48990-LIB","'Other","'0","'","'",
"'","'Total Other Governments","'44,000","'47,000","'45,000",
"'48600","'Citizens Groups","'","'","'",
"'48610","'Donations","'0","'0","'0",
"'48610-AMB","'Donation-Ambulance Service","'1,200","'0","'0",
"'48610-HOSP","'Donations-Ascension St. Thomas Hickman","'5,000","'5,000","'5,000",
"'48610-LIB","'Donations-Library","'0","'0","'0",
"'","'Total Citizen Groups","'6,200","'5,000","'5,000",
"'","'TOTAL OTHER GOVERNMENTS AND CITIZEN (","'50,200","'52,000","'50,000",
"'","'TOTAL ESIMATED REVENUES","'14,551,391","'13,066,848","'13,514,244",
"'49000","'ESTIMATED OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'166,200","'40,000","'40,000",
,,,,

'Confidence Scores % (Table Cell)
""'50.87890625","'74.21875000","'93.35937500","'95.16601563","'95.60546875",
"'48.38867188","'70.55664063","'88.76953125","'90.47851563","'90.91796875",
"'50.53710938","'73.73046875","'92.72460938","'94.53125000","'94.97070313",
"'50.39062500","'73.48632813","'92.43164063","'94.23828125","'94.62890625",
"'45.04394531","'45.04394531","'45.04394531","'45.04394531","'45.04394531",
"'43.31054688","'43.31054688","'43.31054688","'43.31054688","'43.31054688",
"'48.43750000","'70.65429688","'88.86718750","'90.57617188","'91.01562500",
"'48.21777344","'70.36132813","'88.47656250","'90.23437500","'90.62500000",
"'48.87695313","'71.28906250","'89.69726563","'91.45507813","'91.84570313",
"'48.02246094","'70.06835938","'88.13476563","'89.84375000","'90.23437500",
"'47.92480469","'69.87304688","'87.93945313","'89.64843750","'90.03906250",
"'48.36425781","'70.50781250","'88.72070313","'90.42968750","'90.86914063",
"'47.72949219","'69.58007813","'87.54882813","'89.25781250","'89.69726563",
"'46.67968750","'68.11523438","'85.64453125","'87.35351563","'87.74414063",
"'50.19531250","'73.19335938","'92.08984375","'93.89648438","'94.33593750",
"'45.28808594","'66.01562500","'83.05664063","'84.71679688","'85.05859375",
"'39.40429688","'57.47070313","'72.26562500","'73.68164063","'74.02343750",
"'45.11718750","'65.82031250","'82.81250000","'84.42382813","'84.81445313",
"'50.53710938","'73.68164063","'92.67578125","'94.53125000","'94.92187500",
"'49.97558594","'72.90039063","'91.69921875","'93.45703125","'93.89648438",
"'49.80468750","'49.80468750","'49.80468750","'49.80468750","'49.80468750",
"'27.49023438","'40.08789063","'50.43945313","'51.41601563","'51.66015625",
"'45.55664063","'66.45507813","'83.59375000","'85.20507813","'85.59570313",
"'35.57128906","'51.85546875","'65.23437500","'66.50390625","'66.84570313",
"'37.25585938","'54.34570313","'68.35937500","'69.67773438","'70.01953125",
"'48.85253906","'71.24023438","'89.64843750","'91.40625000","'91.79687500",
"'50.58593750","'50.58593750","'50.58593750","'50.58593750","'50.58593750",
"'40.67382813","'59.32617188","'74.60937500","'76.07421875","'76.41601563",
"'47.11914063","'68.70117188","'86.42578125","'88.13476563","'88.52539063",
"'48.09570313","'70.16601563","'88.23242188","'89.99023438","'90.38085938",
"'47.24121094","'68.89648438","'86.66992188","'88.37890625","'88.76953125",
"'50.48828125","'73.63281250","'92.57812500","'94.43359375","'94.82421875",
"'50.00000000","'72.94921875","'91.74804688","'93.55468750","'93.99414063",
"'50.00000000","'72.90039063","'91.69921875","'93.50585938","'93.94531250",
"'24.21875000","'35.32714844","'44.43359375","'45.28808594","'42.06542969",
"'24.26757813","'35.40039063","'44.50683594","'45.38574219","'42.06542969",
