"'51100 County Commission","'55,869",
"'51210 Board of Equalization","'3,500",
"'51220 Beer Board","'1,000",
"'51300 County Mayor","'149,122",
"'51400 County Attorney","'20,000",
"'51500 Election Commission(Including Voter Registration)","'713,291",
"'51600 Register of Deeds","'178,083",
"'51720 Planning","'212,064",
"'51800 County Building","'394,788",
"'51810 Other Facilities","'403,000",
"'51900 Other General Administration","'124,643",
"'51910 Preservation of Records","'41,151",
"'52100 Accounting and Budgeting","'308,865",
"'52300 Property Assessor's Office","'297,787",
"'52400 County Trustee's Office","'249,043",
"'52500 County Clerk's Office","'314,651",
"'53100 Circuit Court","'330,698",
"'53300 General Sessions Court","'237,137",
"'53310 General Sessions Judge","'4,000",
"'53400 Chancery Court","'170,950",
"'53700 Judicial Commissioners","'60,465",
"'53920 Courtroom Security","'0",
"'54110 Sheriff's Department","'2,360,882",
"'54160 Adm. Of Sexual Offender Registry","'7,500",
"'54210 Jail","'1,594,675",
"'54310 Fire Prevention and Control","'15,550",
"'54320 Rural Fire Protection","'150,000",
,

'Confidence Scores % (Table Cell)
""'93.94531250","'84.86328125",
"'91.06445313","'82.27539063",
"'91.45507813","'82.61718750",
"'92.43164063","'83.54492188",
"'91.06445313","'82.27539063",
"'91.65039063","'82.81250000",
"'91.79687500","'82.91015625",
"'91.79687500","'82.91015625",
"'91.60156250","'82.76367188",
"'90.23437500","'81.54296875",
"'92.72460938","'83.78906250",
"'92.08984375","'83.25195313",
"'91.50390625","'82.66601563",
"'90.91796875","'82.17773438",
"'92.33398438","'83.44726563",
"'91.45507813","'82.61718750",
"'90.67382813","'81.93359375",
"'92.62695313","'83.69140625",
"'91.84570313","'82.95898438",
"'89.69726563","'81.05468750",
"'90.77148438","'81.98242188",
"'90.08789063","'81.39648438",
"'89.94140625","'81.29882813",
"'89.16015625","'80.56640625",
"'89.25781250","'80.66406250",
"'90.03906250","'81.34765625",
"'92.62695313","'83.69140625",
