"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'Total Federal Through State","'0","'0","'0",
"'","'Total Federal Government","'0","'0","'0",
"'48000","'OTHER GOVERNMENTS AND CITIZENS","'GROUPS","'","'",
"'48100","'Other Governments","'","'","'",
"'48140","'Contracted Services","'161,164","'284,760","'284,760",
"'","'Total Other Governments","'161,164","'284,760","'284,760",
"'49000","'Non-Revenue","'","'","'",
"'49100","'Bonds Issured","'0","'0","'0",
"'49700","'Insurance Recovery","'0","'0","'0",
"'49800","'Transfer In","'0","'0","'0",
"'","'Total Estimated Revenues","'1,610,963","'1,674,560","'1,729,560",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'55000","'PUBLIC HEALTH AND WELFARE","'","'","'",
"'55710","'Sanitation Management","'","'","'",
"'105","'Supervisor/Director","'57,276","'57,698","'60,006",
"'106","'Deputy(ies)","'34,775","'34,081","'36,126",
"'121","'Data Processing Personnel","'29,096","'28,906","'23,796",
"'140","'Salary Supplements","'0","'0","'750",
"'143","'Equipment Operators","'28,739","'38,326","'75,821",
"'144","'Equipment Operators-Heavy","'38,342","'38,326","'39,868",
"'149","'Laborers","'136,415","'180,000","'120,000",
"'162","'Clerical Personnel","'32,329","'31,465","'32,723",
"'169","'Part-Time Personnel","'118,927","'84,598","'120,000",
"'186","'Longevity Pay","'16,500","'15,600","'11,300",
"'187","'Overtime Pay","'14,180","'14,000","'14,000",
"'188","'Bonus Payments","'0","'0","'0",
"'201","'Social Security","'37,731","'41,406","'43,063",
"'204","'State Retirement","'46,374","'57,000","'57,000",
"'207","'Medical Insurance","'106,322","'130,000","'130,000",
"'302","'Advertising","'0","'2,500","'2,500",
"'307","'Communication","'6,071","'6,500","'7,000",
"'309","'Contracts with Government Agencies","'10,131","'6,000","'10,000",
"'317","'Data Processing Services","'7,104","'7,200","'7,200",
"'318","'Debt Collection Services","'14,166","'9,000","'9,000",
"'331","'Legal Services","'0","'1,000","'1,000",
"'332","'Legal Notices, Recording, and Court Cost","'0","'1,500","'1,500",
"'335","'Maintenance and Repair Services - Buildings","'5,281","'7,000","'7,000",
"'336","'Maintenance & Repair Services - Equipment","'32,415","'35,000","'38,000",
"'338","'Maintenance & Repair Services - Vehicles","'11,116","'15,000","'18,000",
"'347","'Pest Control","'1,755","'1,700","'1,700",
