"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'TOTAL FINES, FORFEITURES AND PENALTIES","'84,966","'75,800","'75,800",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43100","'General Services","'","'","'",
"'43102","'Other Employee Benefit Charges/Contrib","'34,954","'32,000","'25,000",
"'43120","'Patient Charges","'1,105,921","'1,200,000","'1,200,000",
"'","'Total Charges for General Services","'1,140,875","'1,232,000","'1,225,000",
"'43300","'Fees","'","'","'",
"'43350","'Copy Fees","'2,354","'1,500","'1,700",
"'43350-LIB","'Copy Fees-Library","'4,141","'3,500","'5,000",
"'43360","'Library Fees","'170","'150","'800",
"'43365","'Archives and Records Management Fees","'11,533","'10,000","'12,000",
"'43370","'Telephone Commissions","'43,820","'45,000","'25,000",
"'43392","'Data Processing Fees Register","'13,474","'12,500","'14,000",
"'43393","'Probation Fees","'1,312","'1,000","'1,300",
"'43394","'Data Processing Fees-Sheriff","'76","'150","'150",
"'43395","'Sexual Offenders Registration Fees-Sheriff","'4,770","'7,500","'5,500",
"'43396","'Data Processing Fee-County Clerk","'627","'500","'600",
"'43399","'Vehicle Insurance Coverage and Reinstatement F","'1,115","'1,000","'1,000",
"'","'Total Charges for Fees","'83,392","'82,800","'67,050",
"'","'TOTAL CHARGES FOR CURRENT SERVICES","'1,224,267","'1,314,800","'1,292,050",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring items","'","'","'",
"'44110","'Investment Income","'1,678","'0","'1,000",
"'44110-LIB","'Investment Income-Library","'4,459","'1,500","'1,500",
"'44120","'Lease/Rentals","'4,609","'5,000","'5,000",
"'44131","'Commissary Sales","'15,029","'14,000","'15,000",
"'44170","'Miscellaneous Refunds","'272,098","'12,000","'12,000",
"'","'Total Recurring Items","'297,873","'32,500","'34,500",
"'44500","'Nonrecurring Items","'","'","'",
"'44530","'Sale of Equipment","'11,310","'0","'0",
"'44530-AMB","'Sale of Equipment-Ambulance Service","'14,800","'0","'0",
"'44540","'Sale of Property","'3,896","'0","'0",
"'44570","'Contributions and Gifts","'0","'0","'0",
"'44570-AMB","'Contributions and Gifts-Ambulance Service","'1,000","'0","'0",
"'44570-LIB","'Contributions and Gifts-Library","'4,091","'2,500","'2,500",
"'44990","'Other Local Revenue","'0","'0","'0",
"'44990-LIB","'Other Local Revenue-Library","'0","'1,000","'0",
"'","'Total Nonrecurring Items","'35,097","'3,500","'2,500",
"'","'TOTAL OTHER LOCAL REVENUES","'332,970","'36,000","'37,000",
,,,,

'Confidence Scores % (Table Cell)
""'35.15625000","'37.10937500","'92.57812500","'94.09179688","'94.72656250",
"'45.14160156","'45.14160156","'89.16015625","'90.62500000","'91.25976563",
"'51.85546875","'51.85546875","'51.85546875","'51.85546875","'51.85546875",
"'40.20996094","'40.20996094","'40.20996094","'40.20996094","'40.20996094",
"'42.91992188","'42.91992188","'85.83984375","'87.20703125","'87.84179688",
"'42.16308594","'42.16308594","'82.76367188","'84.13085938","'84.71679688",
"'44.45800781","'44.45800781","'92.33398438","'93.84765625","'94.48242188",
"'56.78710938","'56.78710938","'56.78710938","'56.78710938","'56.78710938",
"'40.91796875","'40.91796875","'76.61132813","'77.83203125","'78.41796875",
"'34.00878906","'35.88867188","'89.55078125","'90.96679688","'91.65039063",
"'33.49609375","'35.35156250","'88.23242188","'89.64843750","'90.28320313",
"'40.45410156","'40.45410156","'88.47656250","'89.89257813","'90.52734375",
"'33.39843750","'35.22949219","'87.93945313","'89.35546875","'89.99023438",
"'40.35644531","'40.35644531","'88.96484375","'90.38085938","'91.01562500",
"'33.59375000","'35.44921875","'88.47656250","'89.89257813","'90.52734375",
"'43.40820313","'43.40820313","'88.42773438","'89.84375000","'90.52734375",
"'44.26269531","'44.26269531","'85.40039063","'86.76757813","'87.40234375",
"'42.16308594","'42.16308594","'84.57031250","'85.93750000","'86.57226563",
"'45.33691406","'45.33691406","'87.25585938","'88.62304688","'89.25781250",
"'46.77734375","'46.77734375","'92.18750000","'93.65234375","'94.33593750",
"'46.77734375","'46.77734375","'91.21093750","'92.67578125","'93.31054688",
"'61.13281250","'61.13281250","'61.13281250","'61.13281250","'61.13281250",
"'44.75097656","'44.75097656","'44.75097656","'44.75097656","'44.75097656",
"'41.87011719","'41.87011719","'85.10742188","'86.47460938","'87.10937500",
"'43.11523438","'43.11523438","'88.81835938","'90.23437500","'90.86914063",
"'40.45410156","'40.45410156","'87.93945313","'89.35546875","'89.99023438",
"'41.96777344","'41.96777344","'84.22851563","'85.54687500","'86.18164063",
"'41.87011719","'41.87011719","'88.08593750","'89.50195313","'90.13671875",
"'43.87207031","'43.87207031","'92.52929688","'94.04296875","'94.67773438",
"'65.57617188","'65.57617188","'65.57617188","'65.57617188","'65.57617188",
"'74.70703125","'74.70703125","'76.07421875","'77.29492188","'77.83203125",
"'86.76757813","'86.76757813","'87.98828125","'89.40429688","'90.03906250",
"'74.41406250","'74.41406250","'89.06250000","'90.52734375","'91.16210938",
"'68.01757813","'68.01757813","'88.03710938","'89.45312500","'90.08789063",
"'61.13281250","'61.13281250","'88.91601563","'90.33203125","'90.96679688",
"'68.01757813","'68.01757813","'88.28125000","'89.74609375","'90.38085938",
"'65.57617188","'65.57617188","'87.10937500","'88.52539063","'89.16015625",
"'53.02734375","'53.02734375","'88.91601563","'90.33203125","'90.96679688",
"'45.50781250","'45.50781250","'92.52929688","'94.04296875","'94.67773438",
"'50.87890625","'50.87890625","'92.38281250","'93.89648438","'94.53125000",
