"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'410","'Custodial Supplies","'2,528","'1,800","'1,800",
"'412","'Diesel Fuel","'30,339","'38,000","'42,000",
"'415","'Electricity","'15,451","'19,000","'19,000",
"'420","'Fertilizer, Lime Chemicals and Seed","'0","'1,000","'1,000",
"'425","'Gasoline","'1,839","'3,000","'4,000",
"'433","'Lubricants","'2,405","'4,000","'4,000",
"'435","'Office Supplies","'2,323","'2,500","'3,000",
"'436","'Other Road Materials","'0","'1,000","'1,000",
"'446","'Small Tools","'301","'1,000","'2,000",
"'450","'Tires and Tubes","'12,124","'10,000","'12,000",
"'451","'Uniforms","'4,769","'4,200","'5,000",
"'452","'Utilities","'8,876","'7,700","'8,000",
"'462","'Wire","'3,975","'4,000","'4,000",
"'463","'Testing","'775","'12,500","'13,000",
"'499","'Other Supplies and Materials","'1,492","'4,000","'4,000",
"'510","'Trustees Commission","'13,895","'14,000","'15,000",
"'514","'Depreciation","'102,348","'45,171","'45,171",
"'517","'Surcharge","'6,300","'5,850","'6,000",
"'524","'In Service/Staff Development","'500","'650","'650",
"'599","'Other Charges","'352","'0","'0",
"'612","'Principal on Other Loans","'0","'73,000","'75,000",
"'613","'Interest on Other Loans","'0","'11,850","'21,970",
"'719","'Office Equipment","'959","'2,500","'3,000",
"'733","'Solid Waste Equipment","'5,682","'2,810","'0",
"'791","'Other Construction","'21,753","'15,000","'15,000",
"'","'Total Sanitation Management","'1,580,126","'1,668,797","'1,771,244",
"'60000","'HIGHWAYS","'","'","'",
"'64000","'Litter and Trash Collection","'","'","'",
"'105","'Supervisor/Director","'19,320","'26,000","'25,900",
"'429","'Instructional Supply and Materials","'2,306","'12,350","'12,325",
"'599","'Other Charges","'2,302","'10,950","'11,075",
"'","'Total Litter and Trash Collection","'23,928","'49,300","'49,300",
"'90000","'CAPITAL PROJECTS","'","'","'",
"'91140","'Public Health and Welfare Projects","'","'","'",
"'606","'Other Debt Issuance Charge","'0","'0","'0",
"'799","'Other Capital Outlay-Reserve","'5,500","'56,000","'56,000",
"'799-LOAN","'Other Capital Outlay-Loan","'0","'0","'0",
"'","'Total Public Health and Welfare Projects","'5,500","'56,000","'56,000",
"'","'Total Estimated Expenditures","'1,609,554","'1,774,097","'1,876,544",
"'","'Excess of Estimated Revenue Over (under)","'","'","'",
"'","'Estimated Expenditures","'1,409","'(99,537)","'(146,984)",
"'","'Estimated Beginning Fund Balance July 1","'1,019,624","'1,021,033","'631,164",
"'","'Fund Balance Audit Adjustment","'","'","'",
"'","'Estimated Ending Fund Balance June 30","'1,021,033","'921,496","'484,180",
,,,,

'Confidence Scores % (Table Cell)
""'38.74511719","'41.72363281","'93.40820313","'92.67578125","'95.70312500",
"'36.93847656","'39.79492188","'89.06250000","'88.33007813","'91.25976563",
"'37.15820313","'40.03906250","'89.64843750","'88.91601563","'91.79687500",
"'37.47558594","'40.35644531","'90.38085938","'89.64843750","'92.57812500",
"'36.84082031","'39.67285156","'88.86718750","'88.13476563","'91.01562500",
"'36.71875000","'39.55078125","'88.57421875","'87.84179688","'90.72265625",
"'37.06054688","'39.91699219","'89.40429688","'88.67187500","'91.55273438",
"'37.23144531","'40.08789063","'89.79492188","'89.01367188","'91.94335938",
"'36.96289063","'39.81933594","'89.16015625","'88.42773438","'91.35742188",
