"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'Total Estimated Expenditures","'13,648,398","'14,474,349","'15,863,678",
"'99000 OTHER USES","'","'","'",
"'91190 Other General Government Projects","'","'","'",
"'706-DA Building Construction","'0","'0","'0",
"'Total Estimated General Administration Projects","'0","'0","'0",
"'91200 Highway & Street Capital Projects","'","'","'",
"'713 Highway Construction","'19,590","'0","'0",
"'Total Estimated Highway & Street Capital Projects","'19,590","'0","'0",
"'99000 ESTIMATED OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'107,777","'100,000","'100,000",
"'590-DA Transfers to Other Funds","'360,000","'0","'0",
"'Total Estimated Other Uses","'467,777","'100,000","'100,000",
"'Total Estimated Expenditures and other uses","'14,135,765","'14,574,349","'15,963,678",
"'Excess of Estimated Revenue and Other Sources over (under) Estimated Expenditures and Othe","'615,695","'(1,432,501)","'(2,374,434)",
"'Estimated Begin Fund Balance July 1","'5,237,699","'5,853,394","'6,500,000",
"'Estimated Ending Fund Balance June 30","'5,853,394","'4,420,893","'4,125,566",
,,,

'Confidence Scores % (Table Cell)
""'45.99609375","'90.33203125","'93.21289063","'94.87304688",
"'41.60156250","'81.73828125","'84.27734375","'85.79101563",
"'43.01757813","'43.01757813","'43.01757813","'43.01757813",
"'23.38867188","'45.94726563","'47.38769531","'48.24218750",
"'35.37597656","'69.48242188","'71.67968750","'72.94921875",
"'44.45800781","'87.30468750","'90.03906250","'91.69921875",
"'42.82226563","'42.82226563","'42.82226563","'42.82226563",
"'33.37402344","'65.52734375","'67.62695313","'68.84765625",
"'44.67773438","'87.74414063","'90.52734375","'92.13867188",
"'48.63281250","'48.63281250","'48.63281250","'48.63281250",
"'35.98632813","'35.98632813","'35.98632813","'35.98632813",
"'37.01171875","'72.70507813","'75.00000000","'76.36718750",
"'40.96679688","'80.46875000","'83.00781250","'84.47265625",
"'45.31250000","'89.01367188","'91.79687500","'93.45703125",
"'45.36132813","'89.11132813","'91.89453125","'93.55468750",
"'19.23828125","'37.79296875","'38.98925781","'39.67285156",
"'38.76953125","'76.17187500","'78.56445313","'79.98046875",
"'44.45800781","'87.35351563","'90.08789063","'91.74804688",
