"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'45000","'FEES RECEIVED FROM COUNTY OFFICALS","'","'","'",
"'45100","'Excess Fees","'","'","'",
"'45160","'Juvenile Court Clerk","'0","'5,000","'0",
"'45500","'Fees in Lieu of Salary","'","'","'",
"'45510","'County Clerk","'273,401","'250,000","'260,000",
"'45520","'Circuit Court Clerk","'20,715","'20,000","'18,000",
"'45540","'General Sessions Court Clerk","'123,405","'100,000","'140,000",
"'45550","'Clerk & Master","'98,730","'85,000","'100,000",
"'45560","'Juvenile Court Clerk","'6,693","'0","'6,700",
"'45580","'Register","'158,485","'143,000","'165,000",
"'45590","'Sheriff","'21,004","'20,000","'20,000",
"'45610","'Trustee","'421,615","'410,000","'422,000",
"'","'TOTAL FEES RECEIVED FROM COUNTY OFFIC","'1,124,048","'1,033,000","'1,131,700",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46100","'General Government Grants","'","'","'",
"'46110","'Juvenile Service Program","'9,000","'9,000","'9,000",
"'46175","'On-Behalf Contributions for OPEB","'0","'0","'0",
"'","'Total General Government Grants","'9,000","'9,000","'9,000",
"'46200","'Public Safety Grants","'","'","'",
"'46210","'Law Enforcement Training Programs","'22,400","'25,500","'29,000",
"'46290","'Other Public Safety Grants","'0","'0","'0",
"'","'Total Public Safety Grants","'22,400","'25,500","'29,000",
"'46300","'Health and Welfare Grants","'","'","'",
"'46310","'Health Department Programs","'293,157","'301,373","'295,190",
"'46390","'Other Health and Welfare Grants","'0","'0","'0",
"'","'Total Health and Welfare Grants","'293,157","'301,373","'295,190",
"'46800","'Other State Revenues","'","'","'",
"'46820","'Income Tax","'21,576","'10,000","'10,000",
"'46830","'Beer Tax","'18,369","'18,000","'18,000",
"'46835","'Vehicle Certificates of Title Fees","'7,290","'7,000","'7,000",
"'46840","'Alcoholic Beverage Tax","'93,242","'90,000","'93,000",
"'46851","'State Revenue Sharing-TVA","'557,369","'600,000","'554,000",
"'46852","'State Revenue Sharing-Telecommunications","'66,248","'60,000","'60,000",
"'46855","'State Shared Sports Gaming","'7,777","'0","'1,800",
"'46915","'Contracted Prisoner Boarding","'136,110","'150,000","'100,000",
"'46960","'Registrar's Salary Supplement","'15,164","'16,164","'15,164",
"'46980","'Other State Grants","'7,223","'0","'160,000",
"'46980-DA","'Other State Grants-Direct Appropriations","'870,734","'0","'0",
"'46980-ADP","'Other State Grants-Archive ADP Grant","'0","'0","'0",
"'46980-LIB","'Other State Grants-Library","'2,834","'21,025","'4,551",
,,,,

'Confidence Scores % (Table Cell)
""'50.53710938","'71.24023438","'93.11523438","'95.41015625","'95.75195313",
"'47.75390625","'47.75390625","'47.75390625","'47.75390625","'47.75390625",
"'40.91796875","'40.91796875","'40.91796875","'40.91796875","'40.91796875",
"'48.02246094","'67.72460938","'88.47656250","'90.67382813","'91.01562500",
"'35.37597656","'49.90234375","'65.18554688","'66.79687500","'67.04101563",
"'47.72949219","'67.33398438","'87.98828125","'90.13671875","'90.47851563",
"'48.33984375","'68.16406250","'89.06250000","'91.30859375","'91.60156250",
"'48.48632813","'68.40820313","'89.35546875","'91.60156250","'91.89453125",
"'47.68066406","'67.28515625","'87.89062500","'90.08789063","'90.38085938",
"'47.77832031","'67.38281250","'88.08593750","'90.23437500","'90.57617188",
"'47.70507813","'67.28515625","'87.93945313","'90.13671875","'90.42968750",
"'47.63183594","'67.18750000","'87.79296875","'89.99023438","'90.28320313",
"'45.60546875","'64.35546875","'84.03320313","'86.13281250","'86.42578125",
"'41.77246094","'41.77246094","'92.28515625","'94.58007813","'94.87304688",
"'44.55566406","'44.55566406","'44.55566406","'44.55566406","'44.55566406",
"'32.61718750","'46.02050781","'60.10742188","'61.62109375","'61.81640625",
"'45.80078125","'64.59960938","'84.42382813","'86.52343750","'86.81640625",
"'45.89843750","'64.74609375","'84.57031250","'86.66992188","'86.96289063",
"'50.04882813","'70.60546875","'92.28515625","'94.58007813","'94.87304688",
"'47.85156250","'47.85156250","'47.85156250","'47.85156250","'47.85156250",
"'39.42871094","'55.61523438","'72.65625000","'74.46289063","'74.70703125",
"'43.57910156","'61.47460938","'80.32226563","'82.32421875","'82.61718750",
"'49.24316406","'69.43359375","'90.72265625","'93.01757813","'93.31054688",
"'48.14453125","'48.14453125","'48.14453125","'48.14453125","'48.14453125",
"'37.98828125","'53.56445313","'69.97070313","'71.72851563","'71.97265625",
"'47.60742188","'67.13867188","'87.74414063","'89.94140625","'90.23437500",
"'50.19531250","'70.80078125","'92.48046875","'94.77539063","'95.11718750",
"'48.14453125","'48.14453125","'48.14453125","'48.14453125","'48.14453125",
"'39.25781250","'55.37109375","'72.31445313","'74.12109375","'74.41406250",
"'47.48535156","'66.99218750","'87.50000000","'89.69726563","'89.99023438",
"'48.48632813","'68.40820313","'89.35546875","'91.60156250","'91.89453125",
"'47.41210938","'66.89453125","'87.35351563","'89.55078125","'89.84375000",
"'48.02246094","'67.72460938","'88.47656250","'90.67382813","'91.01562500",
"'47.31445313","'66.74804688","'87.20703125","'89.35546875","'89.64843750",
"'48.21777344","'68.01757813","'88.86718750","'91.06445313","'91.35742188",
