"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'Total Other Local Health Services","'202,263","'231,050","'209,150",
"'55900","'Other Public Health Services","'","'","'",
"'599-ENV","'Other Charges (Environment Grant)","'20,000","'0","'0",
"'599-HOSP","'Other Charges (Hospital Donation)","'5,000","'5,000","'5,000",
"'599-TOBG","'Other Charges(Tobacco Grant)","'1,952","'4,743","'1,244",
"'","'Total Other Public Health Services","'26,952","'9,743","'6,244",
"'","'Total Public Health & Welfare","'2,384,766","'2,524,190","'2,699,343",
"'56000","'SOCIAL, CULTURAL AND RECREATIONAL SERVICES","'","'","'",
"'56300","'Senior Citizens Assistance","'","'","'",
"'316","'Contributions","'10,000","'10,000","'0",
"'316-DA","'Contributions","'4,000","'0","'0",
"'","'Total Senior Citizens Assistance","'14,000","'10,000","'0",
"'56500","'Libraries","'","'","'",
"'103","'Assistants","'108,002","'111,282","'115,735",
"'129","'Librarians","'38,208","'39,368","'40,943",
"'186","'Longevity","'4,100","'4,700","'5,400",
"'189","'Other Salaries and Wages","'12,605","'13,897","'19,453",
"'317","'Data Processing Services","'3,235","'3,600","'3,600",
"'320","'Dues & Memberships","'60","'750","'750",
"'335","'Maint & Repair Services Buildings","'595","'3,000","'3,000",
"'348","'Postal Charges","'1,006","'1,000","'1,000",
"'355","'Travel","'0","'2,000","'2,000",
"'399","'Other Contracted Services","'14,838","'17,854","'17,854",
"'432","'Library Books & Media","'5,499","'5,500","'5,500",
"'435","'Office Supplies","'5,335","'7,000","'7,000",
"'452","'Utilities","'5,354","'6,000","'6,000",
"'499","'Other Supplies & Materials","'702","'1,000","'1,000",
"'524","'In-Service/Staff Development","'214","'1,000","'1,000",
"'599","'Other Charges","'16,633","'15,000","'15,000",
"'599-LIB","'Other Charges-LIB","'2,171","'0","'0",
"'599-PS","'Other Charges-PS","'10,996","'0","'0",
"'790","'Other Equipment","'0","'8,000","'8,000",
"'790-DA","'Other Equipment-Direct Appropriations Grant","'3,734","'0","'0",
"'799","'Other Capital Outlay","'0","'0","'0",
"'799-DA","'Other Capital Outlay-Direct Appropriations Grant","'11,236","'0","'0",
"'","'Total Estimated Expenditures","'244,523","'240,951","'253,235",
"'56700","'Parks and Fair Boards","'","'","'",
"'316","'Contributions","'0","'0","'3,000",
"'","'Total Senior Citizens Assistance","'0","'0","'3,000",
,,,,

'Confidence Scores % (Table Cell)
""'45.28808594","'53.46679688","'92.48046875","'94.38476563","'95.55664063",
"'45.01953125","'53.12500000","'91.89453125","'93.79882813","'94.92187500",
"'46.19140625","'46.19140625","'46.19140625","'46.19140625","'46.19140625",
"'34.93652344","'41.25976563","'71.33789063","'72.80273438","'73.73046875",
"'42.28515625","'49.92675781","'86.32812500","'88.13476563","'89.20898438",
"'43.16406250","'50.97656250","'88.13476563","'89.94140625","'91.06445313",
"'44.94628906","'53.02734375","'91.74804688","'93.65234375","'94.77539063",
"'44.53125000","'52.58789063","'90.91796875","'92.82226563","'93.94531250",
"'52.14843750","'52.14843750","'52.14843750","'52.14843750","'52.14843750",
"'39.69726563","'39.69726563","'39.69726563","'39.69726563","'39.69726563",
"'39.79492188","'46.97265625","'81.25000000","'82.91015625","'83.93554688",
"'42.28515625","'49.92675781","'86.32812500","'88.13476563","'89.20898438",
"'45.16601563","'53.32031250","'92.18750000","'94.14062500","'95.26367188",
"'56.68945313","'56.68945313","'56.68945313","'56.68945313","'56.68945313",
"'37.20703125","'43.92089844","'75.97656250","'77.53906250","'78.51562500",
"'43.04199219","'50.78125000","'87.84179688","'89.64843750","'90.77148438",
"'42.18750000","'49.78027344","'86.08398438","'87.89062500","'88.96484375",
"'42.28515625","'49.92675781","'86.32812500","'88.13476563","'89.20898438",
"'41.72363281","'49.26757813","'85.20507813","'86.96289063","'88.03710938",
"'42.43164063","'50.09765625","'86.62109375","'88.42773438","'89.50195313",
"'42.60253906","'50.29296875","'86.96289063","'88.76953125","'89.84375000",
"'42.35839844","'50.00000000","'86.47460938","'88.28125000","'89.35546875",
"'41.82128906","'49.36523438","'85.35156250","'87.15820313","'88.23242188",
"'42.40722656","'50.04882813","'86.57226563","'88.37890625","'89.45312500",
"'42.48046875","'50.14648438","'86.71875000","'88.52539063","'89.59960938",
"'40.79589844","'48.16894531","'83.30078125","'85.05859375","'86.08398438",
"'42.65136719","'50.34179688","'87.06054688","'88.86718750","'89.94140625",
"'42.62695313","'50.34179688","'87.01171875","'88.81835938","'89.89257813",
"'42.43164063","'50.09765625","'86.62109375","'88.42773438","'89.50195313",
"'42.43164063","'50.09765625","'86.62109375","'88.42773438","'89.50195313",
"'42.30957031","'49.95117188","'86.37695313","'88.18359375","'89.25781250",
"'42.38281250","'50.04882813","'86.52343750","'88.33007813","'89.40429688",
"'42.35839844","'50.00000000","'86.47460938","'88.28125000","'89.35546875",
"'43.45703125","'51.31835938","'88.72070313","'90.57617188","'91.65039063",
"'41.57714844","'49.07226563","'84.86328125","'86.62109375","'87.69531250",
"'42.99316406","'50.73242188","'87.74414063","'89.59960938","'90.67382813",
"'45.04394531","'53.17382813","'91.99218750","'93.89648438","'95.01953125",
"'50.58593750","'50.58593750","'50.58593750","'50.58593750","'50.58593750",
"'37.28027344","'44.01855469","'76.12304688","'77.68554688","'78.66210938",
"'39.03808594","'39.03808594","'92.43164063","'94.33593750","'95.50781250",
