"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'135 Assessment Personnel","'32,672","'31,462","'0",
"'140 Salary Supplement","'2,762","'4,750","'4,000",
"'162 Clerical Personnel","'34,753","'33,466","'121,092",
"'186 Longevity Pay","'2,300","'2,400","'500",
"'187 Overtime Pay(Re-appraisal)","'0","'0","'0",
"'187-RA Overtime Pay(Re-appraisal)","'0","'5,000","'0",
"'312 Contracts with Private Agencies","'3,939","'10,000","'10,000",
"'317 Data Processing Services","'30,704","'33,000","'36,300",
"'332 Legal Notices","'52","'200","'200",
"'337 Maint and Repair-Office Equipment","'375","'1,000","'1,000",
"'338 Maint and Repair-Vehicle","'803","'1,500","'1,500",
"'349 Printing Stationary Forms","'1,053","'1,500","'1,900",
"'349-RA Printing Stationary Forms(Re-appraisal)","'0","'3,500","'0",
"'355 Travel","'933","'3,000","'3,000",
"'399 Other Contracted Services","'3,220","'4,000","'5,000",
"'425 Gasoline","'846","'2,500","'3,000",
"'435 Office Supplies","'1,345","'3,500","'3,500",
"'524 In-Service/Staff Development","'1,050","'2,400","'2,400",
"'599 Other Charges","'0","'0","'4,000",
"'599-RA Other Charges(Re-appraisal)","'0","'7,500","'0",
"'599-PY Other Charges-PY Reappraisal Carryover","'0","'0","'9,000",
"'718 Motor Vehicles","'0","'0","'0",
"'719 Office Equipment","'9,423","'5,000","'5,000",
"'Total Property Assessor's Office","'249,755","'278,237","'297,787",
"'52400 County Trustee's Office","'","'","'",
"'101 County Official","'80,668","'80,668","'86,395",
"'106 Deputy","'32,920","'33,920","'35,277",
"'121 Data Processing Personnel","'26,282","'27,081","'28,165",
"'140 Salary Supplement","'2,887","'4,875","'5,250",
"'162 Clerical Personnel","'29,691","'30,592","'31,816",
"'169 Part-time Personnel","'6,760","'11,200","'11,650",
"'186 Longevity Pay","'1,700","'1,900","'2,600",
"'317 Data Processing Services","'11,890","'13,000","'14,000",
"'332 Legal Notices, Recording and Court Costs","'88","'350","'400",
"'349 Printing Stationary Forms","'4,378","'5,000","'6,500",
"'355 Travel","'901","'2,200","'2,200",
"'399 Other Contracted Services","'1,489","'2,000","'3,325",
"'435 Office Supplies","'2,791","'3,000","'3,500",
"'508 Surety Bond","'0","'0","'13,365",
"'524 In-Service/Staff Development","'680","'1,600","'1,600",
"'719 Office Equipment","'5,499","'3,000","'3,000",
"'Total Trustees Office","'208,624","'220,386","'249,043",
"'52500 County Clerk Office","'","'","'",
"'101 County Official","'80,668","'80,668","'86,395",
"'106 Deputy","'31,475","'32,431","'33,729",
,,,

'Confidence Scores % (Table Cell)
""'80.61523438","'94.33593750","'94.62890625","'96.77734375",
"'76.07421875","'89.01367188","'89.30664063","'91.30859375",
"'76.31835938","'89.35546875","'89.64843750","'91.65039063",
"'76.75781250","'89.79492188","'90.08789063","'92.08984375",
"'78.17382813","'91.50390625","'91.79687500","'93.84765625",
"'76.12304688","'89.06250000","'89.35546875","'91.35742188",
"'77.53906250","'90.77148438","'91.01562500","'93.06640625",
"'77.39257813","'90.62500000","'90.86914063","'92.91992188",
"'77.24609375","'90.42968750","'90.72265625","'92.72460938",
"'77.14843750","'90.28320313","'90.57617188","'92.57812500",
"'76.17187500","'89.16015625","'89.45312500","'91.45507813",
"'76.02539063","'88.96484375","'89.25781250","'91.25976563",
"'76.80664063","'89.89257813","'90.18554688","'92.18750000",
"'77.34375000","'90.52734375","'90.77148438","'92.82226563",
"'77.39257813","'90.57617188","'90.82031250","'92.87109375",
"'77.63671875","'90.86914063","'91.16210938","'93.21289063",
"'76.95312500","'90.03906250","'90.33203125","'92.33398438",
"'77.49023438","'90.72265625","'90.96679688","'93.01757813",
"'76.31835938","'89.35546875","'89.64843750","'91.65039063",
"'76.31835938","'89.30664063","'89.59960938","'91.60156250",
"'76.85546875","'89.94140625","'90.23437500","'92.23632813",
"'76.26953125","'89.25781250","'89.55078125","'91.55273438",
"'75.34179688","'88.18359375","'88.47656250","'90.42968750",
"'77.00195313","'90.13671875","'90.42968750","'92.43164063",
"'80.32226563","'93.99414063","'94.28710938","'96.43554688",
"'70.55664063","'70.55664063","'70.55664063","'70.55664063",
"'67.87109375","'79.39453125","'79.63867188","'81.44531250",
"'73.73046875","'86.32812500","'86.57226563","'88.52539063",
"'76.56250000","'89.64843750","'89.89257813","'91.94335938",
"'74.51171875","'87.20703125","'87.45117188","'89.45312500",
"'76.31835938","'89.30664063","'89.59960938","'91.60156250",
"'76.12304688","'89.11132813","'89.40429688","'91.40625000",
"'75.83007813","'88.72070313","'89.01367188","'91.01562500",
"'76.56250000","'89.59960938","'89.84375000","'91.89453125",
"'75.04882813","'87.84179688","'88.13476563","'90.08789063",
"'76.56250000","'89.59960938","'89.84375000","'91.89453125",
"'74.41406250","'87.10937500","'87.40234375","'89.35546875",
"'77.58789063","'90.82031250","'91.06445313","'93.11523438",
"'77.39257813","'90.62500000","'90.86914063","'92.91992188",
"'77.58789063","'90.82031250","'91.06445313","'93.11523438",
"'74.16992188","'86.76757813","'87.06054688","'89.01367188",
"'75.68359375","'88.57421875","'88.81835938","'90.82031250",
"'80.22460938","'93.89648438","'94.14062500","'96.28906250",
"'65.38085938","'65.38085938","'65.38085938","'65.38085938",
"'69.87304688","'81.78710938","'82.03125000","'83.88671875",
"'79.44335938","'92.96875000","'93.26171875","'95.36132813",
