"'Account No. Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'207 Medical Insurance","'11,900","'12,257","'12,502",
"'307 Communication","'750","'3,000","'3,000",
"'336 Maint and Repair Services - Equipment","'16,172","'20,000","'20,000",
"'348 Postal Charges","'0","'1,000","'1,000",
"'355 Travel","'1,258","'3,400","'3,400",
"'399 Other Contracted Service","'3,050","'5,000","'5,000",
"'435 Office Supplies","'1,410","'2,500","'2,500",
"'499 Other Supplies and Materials","'1,065","'3,500","'3,500",
"'599 Other Charges","'18,162","'0","'0",
"'Total Office of the Superintendent","'291,596","'292,764","'303,453",
"'72410 Office of the Principal","'","'","'",
"'104 Principals","'617,005","'721,600","'750,000",
"'139 Assistant Principals","'416,336","'500,000","'525,000",
"'189 Other Salaries and Wages","'0","'75,000","'90,000",
"'201 Social Security","'76,921","'99,190","'104,423",
"'204 State Retirement","'122,110","'143,015","'136,500",
"'207 Medical Insurance","'97,276","'145,780","'148,696",
"'348 Postal Charges","'1,600","'1,600","'1,600",
"'355 Travel","'3,500","'3,600","'3,600",
"'399 Other Contracted Services","'160,078","'164,000","'164,000",
"'Total Office of the Principal","'1,494,826","'1,853,785","'1,923,819",
"'72510 Fiscal Services","'","'","'",
"'399 Other Contracted Services","'43,306","'45,000","'50,000",
"'Total Fiscal Services","'43,306","'45,000","'50,000",
"'72610 Operation of Plant","'","'","'",
"'307 Communication","'46,030","'50,000","'50,000",
"'399 Other Contracted Services","'609,652","'710,000","'750,000",
"'410 Custodial Supplies","'33,306","'35,000","'35,000",
"'415 Electricity","'749,184","'915,000","'950,000",
"'434 Natural Gas","'100,525","'165,000","'200,000",
"'454 Water and Sewer","'198,618","'245,000","'245,000",
"'499 Other Supplies and Materials","'1,023","'3,500","'3,500",
"'501 Boiler Insurance","'5,755","'8,000","'10,000",
"'502 Building and Contents Insurance","'160,744","'180,000","'190,000",
"'720 Plant Operation Equipment","'82,111","'69,000","'0",
"'Total Operation of Plant","'1,986,948","'2,380,500","'2,433,500",
"'72620 Maintenance of Plant","'","'","'",
"'105 Supervisor/Director","'63,000","'63,788","'68,300",
"'161 Secretary(s)","'10,458","'11,500","'12,429",
"'189 Other Salaries and Wages","'167,500","'209,572","'240,000",
"'201 Social Security","'16,502","'21,792","'24,536",
"'204 State Retirement","'27,218","'31,420","'35,376",
"'207 Medical Insurance","'33,160","'43,950","'44,829",
,,,

'Confidence Scores % (Table Cell)
""'83.05664063","'94.09179688","'94.53125000","'96.97265625",
"'77.34375000","'87.64648438","'88.03710938","'90.33203125",
"'77.29492188","'87.59765625","'87.98828125","'90.28320313",
"'79.88281250","'90.52734375","'90.91796875","'93.31054688",
"'78.36914063","'88.81835938","'89.20898438","'91.55273438",
"'79.24804688","'89.84375000","'90.23437500","'92.57812500",
"'79.39453125","'89.94140625","'90.38085938","'92.72460938",
"'78.51562500","'88.96484375","'89.40429688","'91.74804688",
"'79.63867188","'90.23437500","'90.67382813","'93.01757813",
"'78.36914063","'88.81835938","'89.20898438","'91.55273438",
"'82.76367188","'93.75000000","'94.18945313","'96.67968750",
"'67.13867188","'67.13867188","'67.13867188","'67.13867188",
"'67.08984375","'76.02539063","'76.36718750","'78.36914063",
"'77.83203125","'88.18359375","'88.62304688","'90.91796875",
"'78.41796875","'88.86718750","'89.25781250","'91.60156250",
"'78.85742188","'89.35546875","'89.74609375","'92.08984375",
"'76.61132813","'86.81640625","'87.20703125","'89.45312500",
"'78.22265625","'88.62304688","'89.01367188","'91.35742188",
"'77.19726563","'87.45117188","'87.84179688","'90.13671875",
"'77.44140625","'87.79296875","'88.18359375","'90.47851563",
"'76.95312500","'87.15820313","'87.59765625","'89.84375000",
"'82.71484375","'93.70117188","'94.14062500","'96.63085938",
"'62.25585938","'62.25585938","'62.25585938","'62.25585938",
"'56.39648438","'63.91601563","'64.20898438","'65.86914063",
"'82.61718750","'93.65234375","'94.04296875","'96.53320313",
"'66.01562500","'66.01562500","'66.01562500","'66.01562500",
"'65.33203125","'74.02343750","'74.36523438","'76.31835938",
"'75.73242188","'85.83984375","'86.23046875","'88.47656250",
"'77.09960938","'87.35351563","'87.74414063","'90.03906250",
"'78.75976563","'89.25781250","'89.69726563","'91.99218750",
"'74.56054688","'84.47265625","'84.86328125","'87.06054688",
"'78.90625000","'89.40429688","'89.79492188","'92.13867188",
"'77.88085938","'88.23242188","'88.67187500","'90.96679688",
"'75.39062500","'85.44921875","'85.83984375","'88.08593750",
"'78.12500000","'88.52539063","'88.91601563","'91.25976563",
"'72.21679688","'81.83593750","'82.22656250","'84.32617188",
"'81.83593750","'92.77343750","'93.16406250","'95.60546875",
"'70.80078125","'70.80078125","'70.80078125","'70.80078125",
"'69.77539063","'79.05273438","'79.39453125","'81.49414063",
"'79.29687500","'89.89257813","'90.28320313","'92.62695313",
"'77.83203125","'88.18359375","'88.62304688","'90.91796875",
"'77.97851563","'88.37890625","'88.76953125","'91.11328125",
"'79.78515625","'90.42968750","'90.82031250","'93.21289063",
"'82.08007813","'92.96875000","'93.40820313","'95.84960938",
