"'Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'49800 Transfers In","'33,870","'35,000","'35,000",
"'TOTAL ESTIMATED OTHER SOURCES (NON-R","'200,070","'75,000","'75,000",
"'TOTAL ESTIMATED REVENUES AND OTHER S","'14,751,461","'13,141,848","'13,589,244",
"'ESTIMATED EXPENDITURES","'","'","'",
"'51000 GENERAL ADMINISTRATION","'","'","'",
"'51100 County Commission","'","'","'",
"'191 Board and Committee Members Fees","'50,400","'50,400","'36,400",
"'215 On-behalf Payments to OPEB","'0","'0","'0",
"'301 Accounting Services","'0","'1,500","'1,500",
"'305 Audit Services","'9,876","'10,000","'10,469",
"'332 Legal Notices, Recording and Court Cost","'4,975","'4,500","'5,000",
"'355 Travel","'461","'2,500","'2,500",
"'51210 Board of Equalization","'","'","'",
"'191 Board and Committee Members Fees","'2,550","'3,500","'3,500",
"'51220 Beer Board","'","'","'",
"'533 Criminal Investigation of Applicants","'116","'1,000","'1,000",
"'Total County Commission","'68,378","'73,400","'60,369",
"'51300 County Mayor","'","'","'",
"'101 County Official","'93,170","'93,172","'99,787",
"'140 Salary Supplement","'0","'1,500","'2,250",
"'161 Secretary","'31,154","'32,100","'33,385",
"'186 Longevity","'0","'0","'500",
"'332 Legal Notices, Rec & Court Cost","'357","'1,200","'1,200",
"'355 Travel","'528","'4,000","'3,000",
"'399 Other Contracted Services","'4,765","'5,000","'5,000",
"'399-DA Other Contracted Services-Direct Approp. Grant","'7,750","'15,500","'0",
"'435 Office Supplies","'1,025","'1,000","'1,500",
"'508 Premiums on Corp Surety Bonds","'0","'0","'0",
"'524 In-Service/Staff Development","'1,226","'1,500","'1,500",
"'719 Office Equipment","'200","'1,000","'1,000",
"'Total County Mayor","'140,175","'155,972","'149,122",
"'51400 County Attorney","'","'","'",
"'331 Legal Services","'7,451","'10,000","'15,000",
"'599 Other Charges(Deductibles)","'0","'5,000","'5,000",
"'Total County Attorney","'7,451","'15,000","'20,000",
,,,

'Confidence Scores % (Table Cell)
""'37.57324219","'92.38281250","'94.09179688","'95.16601563",
"'35.59570313","'87.54882813","'89.16015625","'90.18554688",
"'37.32910156","'91.79687500","'93.50585938","'94.53125000",
"'36.66992188","'90.18554688","'91.84570313","'92.91992188",
"'74.07226563","'74.07226563","'74.07226563","'74.07226563",
"'46.67968750","'46.67968750","'46.67968750","'46.67968750",
"'44.84863281","'44.84863281","'44.84863281","'44.84863281",
"'36.01074219","'88.52539063","'90.18554688","'91.21093750",
"'35.93750000","'88.33007813","'89.99023438","'91.01562500",
"'36.08398438","'88.72070313","'90.38085938","'91.40625000",
"'35.54687500","'87.40234375","'89.01367188","'90.03906250",
"'35.71777344","'87.84179688","'89.50195313","'90.47851563",
"'35.32714844","'86.86523438","'88.52539063","'89.50195313",
"'52.63671875","'52.63671875","'52.63671875","'52.63671875",
"'27.85644531","'68.50585938","'69.77539063","'70.55664063",
"'53.22265625","'53.22265625","'53.22265625","'53.22265625",
"'25.48828125","'62.69531250","'63.86718750","'64.59960938",
"'36.88964844","'90.72265625","'92.43164063","'93.45703125",
"'63.86718750","'63.86718750","'63.86718750","'63.86718750",
"'30.41992188","'74.80468750","'76.22070313","'77.05078125",
"'34.79003906","'85.49804688","'87.10937500","'88.08593750",
"'35.62011719","'87.54882813","'89.20898438","'90.23437500",
"'35.40039063","'87.01171875","'88.67187500","'89.64843750",
"'35.59570313","'87.54882813","'89.16015625","'90.18554688",
"'35.10742188","'86.27929688","'87.89062500","'88.91601563",
"'35.54687500","'87.40234375","'89.01367188","'90.03906250",
"'35.22949219","'86.62109375","'88.23242188","'89.20898438",
"'34.91210938","'85.83984375","'87.45117188","'88.42773438",
"'36.23046875","'89.06250000","'90.77148438","'91.79687500",
"'35.03417969","'86.13281250","'87.74414063","'88.76953125",
"'34.96093750","'85.98632813","'87.59765625","'88.57421875",
"'37.37792969","'91.89453125","'93.65234375","'94.67773438",
"'66.35742188","'66.35742188","'66.35742188","'66.35742188",
"'30.17578125","'74.21875000","'75.58593750","'76.46484375",
"'35.40039063","'87.06054688","'88.72070313","'89.69726563",
"'37.69531250","'92.67578125","'94.43359375","'95.50781250",
