"134","2021","Fund","Estimated Beginning Fund Balance 7/1/2021","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2022",
"125","2024","General Purpose School","11,968,733","31,765,369","25,000","43,759,102","39,119,974","0","39,119,974","4,639,128",
"126","2024","Central Cafeteria","1,173,886","2,707,467","0","3,881,353","3,248,963","0","3,248,963","632,390",
"127","2024","Solid Waste Disposal","550,000","1,773,300","0","2,323,300","2,244,029","0","2,244,029","79,271",
"128","2024","Totals","29,180,339","64,931,407","703,373","94,815,119","78,598,079","678,373","79,276,452","15,538,667",
"134","2024","Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"135","2024","General","$1.9300","10,850,964","759,567","10,091,397",
"136","2024","Highway/Public Works","$0.0600","337,336","23,613","313,722",
"137","2024","General Purpose School","$0.5800","3,260,911","228,264","3,032,648",
"138","2024","General Debt Service","$0.0000","0","0","0",
"139","2024","Total","$2.5700","14,449,211","1,011,444","13,437,767",
"119","2025","Fund","Estimated Beginning Fund Balance 7/1/2025","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2026",
"120","2025","General","4,100,000","19,308,174","35,000","23,443,174","20,398,483","115,000","20,513,483","2,929,691",
"121","2025","Drug Control","125,000","65,000","0","190,000","115,000","0","115,000","75,000",
"122","2025","Adequate Facilities Tax","950,689","310,000","0","1,260,689","3,500","400,000","403,500","857,189",
"123","2025","American Rescue Plan(SLFRF)","1,258,303","0","0","1,258,303","1,083,000","0","1,083,000","175,303",
"124","2025","Highway/Public Works","900,000","6,703,505","40,000","7,643,505","6,613,677","143,157","6,756,834","886,671",
"125","2025","General Debt Service","5,100,000","1,635,000","583,157","7,318,157","2,797,963","0","2,797,963","4,520,194",
"126","2025","General Purpose School","11,825,415","33,090,067","10,000","44,925,482","39,270,696","0","39,270,696","5,654,786",
"127","2025","Central Cafeteria","850,000","2,840,500","0","3,690,500","2,957,934","0","2,957,934","732,566",
"128","2025","Solid Waste Disposal","580,000","1,896,300","0","2,476,300","2,420,373","0","2,420,373","55,927",
"129","2025","Totals","25,689,407","65,848,546","668,157","92,206,110","75,660,626","658,157","76,318,783","15,887,327",
"140","2025","Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"141","2025","General","$2.0800","11,928,313","834,981","11,093,332",
"142","2025","Highway/Public Works","$0.0600","344,086","24,086","320,000",
"143","2025","General Purpose School","$0.5200","2,982,078","208,745","2,773,333",
"144","2025","General Debt Service","$0.0000","0","0","0",
"145","2025","Total","$2.6600","15,254,478","1,067,812","14,186,665",
